iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2015_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
pnt,Grek,pnt_Grek,Pontic, ,Zs,SPACE,275495,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",4768,8128,2922,30251,62682,19587,33054,21438,26525,43885,17165,5090
pnt,Grek,pnt_Grek,Pontic,α,Ll,GREEK SMALL LETTER ALPHA,149664,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2740,4193,1740,16890,35176,11099,18058,11413,13924,22512,9228,2691
pnt,Grek,pnt_Grek,Pontic,ν,Ll,GREEK SMALL LETTER NU,123624,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2322,4395,1374,13191,28063,9151,14769,8603,11572,19915,7996,2273
pnt,Grek,pnt_Grek,Pontic,τ,Ll,GREEK SMALL LETTER TAU,91432,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1763,2942,930,10251,20619,6374,10808,6858,8822,14564,5685,1816
pnt,Grek,pnt_Grek,Pontic,ο,Ll,GREEK SMALL LETTER OMICRON,91262,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1703,3122,928,9865,20294,6206,11256,6763,8889,14684,5908,1644
pnt,Grek,pnt_Grek,Pontic,ε,Ll,GREEK SMALL LETTER EPSILON,89761,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1575,2613,1174,10128,20671,6456,10303,6159,8960,14813,5373,1536
pnt,Grek,pnt_Grek,Pontic,ι,Ll,GREEK SMALL LETTER IOTA,68833,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1322,2014,614,7665,16128,4855,8032,5360,6257,11061,4307,1218
pnt,Grek,pnt_Grek,Pontic,ρ,Ll,GREEK SMALL LETTER RHO,58395,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1058,1662,600,6463,13323,4195,6905,4602,5371,9402,3785,1029
pnt,Grek,pnt_Grek,Pontic,κ,Ll,GREEK SMALL LETTER KAPPA,56644,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",999,1862,640,6809,12939,3949,6733,4261,4918,9044,3516,974
pnt,Grek,pnt_Grek,Pontic,σ,Ll,GREEK SMALL LETTER SIGMA,52048,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",858,1600,567,5744,11791,3692,6101,3858,4914,8595,3394,934
pnt,Grek,pnt_Grek,Pontic,μ,Ll,GREEK SMALL LETTER MU,46216,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",751,1270,573,4726,11217,3304,6017,3334,4108,7116,2907,893
pnt,Grek,pnt_Grek,Pontic,ά,Ll,GREEK SMALL LETTER ALPHA WITH TONOS,41428,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",699,1144,423,4653,9558,2989,4989,3322,3806,6431,2666,748
pnt,Grek,pnt_Grek,Pontic,π,Ll,GREEK SMALL LETTER PI,40867,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",637,1127,503,4579,9346,2958,4855,3103,3833,6660,2534,732
pnt,Grek,pnt_Grek,Pontic,λ,Ll,GREEK SMALL LETTER LAMDA,40527,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",966,1442,326,4348,9288,2957,4739,3027,3806,6414,2520,694
pnt,Grek,pnt_Grek,Pontic,ί,Ll,GREEK SMALL LETTER IOTA WITH TONOS,33765,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",704,967,404,3409,7759,2497,4143,2521,3238,5399,2109,615
pnt,Grek,pnt_Grek,Pontic,έ,Ll,GREEK SMALL LETTER EPSILON WITH TONOS,32694,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",526,859,409,3591,7645,2382,3740,2393,3450,5125,2014,560
pnt,Grek,pnt_Grek,Pontic,ς,Ll,GREEK SMALL LETTER FINAL SIGMA,32634,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",516,976,293,3598,6919,2100,3871,2711,3222,5767,2113,548
