iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2019_frequency
pny,Latn,pny_Latn,Pinyin, ,Zs,SPACE,206,1,2019,206
pny,Latn,pny_Latn,Pinyin,ə,Ll,LATIN SMALL LETTER SCHWA,143,1,2019,143
pny,Latn,pny_Latn,Pinyin,̀,Mn,COMBINING GRAVE ACCENT,108,1,2019,108
pny,Latn,pny_Latn,Pinyin,n,Ll,LATIN SMALL LETTER N,82,1,2019,82
pny,Latn,pny_Latn,Pinyin,à,Ll,LATIN SMALL LETTER A WITH GRAVE,45,1,2019,45
pny,Latn,pny_Latn,Pinyin,ɨ,Ll,LATIN SMALL LETTER I WITH STROKE,40,1,2019,40
pny,Latn,pny_Latn,Pinyin,w,Ll,LATIN SMALL LETTER W,36,1,2019,36
pny,Latn,pny_Latn,Pinyin,a,Ll,LATIN SMALL LETTER A,36,1,2019,36
pny,Latn,pny_Latn,Pinyin,s,Ll,LATIN SMALL LETTER S,33,1,2019,33
pny,Latn,pny_Latn,Pinyin,l,Ll,LATIN SMALL LETTER L,33,1,2019,33
pny,Latn,pny_Latn,Pinyin,m,Ll,LATIN SMALL LETTER M,26,1,2019,26
pny,Latn,pny_Latn,Pinyin,ù,Ll,LATIN SMALL LETTER U WITH GRAVE,23,1,2019,23
pny,Latn,pny_Latn,Pinyin,h,Ll,LATIN SMALL LETTER H,22,1,2019,22
pny,Latn,pny_Latn,Pinyin,ʼ,Lm,MODIFIER LETTER APOSTROPHE,22,1,2019,22
pny,Latn,pny_Latn,Pinyin,ŋ,Ll,LATIN SMALL LETTER ENG,21,1,2019,21
pny,Latn,pny_Latn,Pinyin,u,Ll,LATIN SMALL LETTER U,20,1,2019,20
pny,Latn,pny_Latn,Pinyin,t,Ll,LATIN SMALL LETTER T,20,1,2019,20
pny,Latn,pny_Latn,Pinyin,r,Ll,LATIN SMALL LETTER R,18,1,2019,18
pny,Latn,pny_Latn,Pinyin,.,Po,FULL STOP,17,1,2019,17
pny,Latn,pny_Latn,Pinyin,p,Ll,LATIN SMALL LETTER P,16,1,2019,16
pny,Latn,pny_Latn,Pinyin,1,Nd,DIGIT ONE,15,1,2019,15
pny,Latn,pny_Latn,Pinyin,Y,Lu,LATIN CAPITAL LETTER Y,13,1,2019,13
pny,Latn,pny_Latn,Pinyin,g,Ll,LATIN SMALL LETTER G,12,1,2019,12
pny,Latn,pny_Latn,Pinyin,z,Ll,LATIN SMALL LETTER Z,11,1,2019,11
pny,Latn,pny_Latn,Pinyin,è,Ll,LATIN SMALL LETTER E WITH GRAVE,11,1,2019,11
