iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
ptu,Latn,ptu_Latn,Bambam,a,Ll,LATIN SMALL LETTER A,532069,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",265070,12403,3496,29103,211830,2302,403,3302,1664,1892,604
ptu,Latn,ptu_Latn,Bambam, ,Zs,SPACE,424889,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",199656,8848,2490,20706,185299,1668,344,2404,1545,1420,509
ptu,Latn,ptu_Latn,Bambam,n,Ll,LATIN SMALL LETTER N,226885,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",109177,4979,1469,11861,95185,936,169,1326,805,714,264
ptu,Latn,ptu_Latn,Bambam,i,Ll,LATIN SMALL LETTER I,152214,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",73395,3144,932,7787,64013,608,132,824,545,623,211
ptu,Latn,ptu_Latn,Bambam,u,Ll,LATIN SMALL LETTER U,146106,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",72890,3110,977,7926,58409,671,87,866,614,390,166
ptu,Latn,ptu_Latn,Bambam,m,Ll,LATIN SMALL LETTER M,137469,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",68087,2947,865,6736,56115,604,98,862,454,531,170
ptu,Latn,ptu_Latn,Bambam,o,Ll,LATIN SMALL LETTER O,131592,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",61721,2856,755,6072,57760,628,94,688,463,420,135
ptu,Latn,ptu_Latn,Bambam,l,Ll,LATIN SMALL LETTER L,124072,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",60849,2813,767,7221,50016,570,86,737,383,508,122
ptu,Latn,ptu_Latn,Bambam,e,Ll,LATIN SMALL LETTER E,113581,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",47456,2011,545,4471,57098,402,129,560,393,359,157
ptu,Latn,ptu_Latn,Bambam,t,Ll,LATIN SMALL LETTER T,107533,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",50688,2293,695,5479,46601,413,97,534,327,330,76
ptu,Latn,ptu_Latn,Bambam,s,Ll,LATIN SMALL LETTER S,106754,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",47817,2021,594,5759,48798,330,94,525,336,360,120
ptu,Latn,ptu_Latn,Bambam,',Po,APOSTROPHE,91016,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",46281,2261,579,4645,35775,361,44,532,286,174,78
ptu,Latn,ptu_Latn,Bambam,k,Ll,LATIN SMALL LETTER K,86294,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",43488,2067,593,4576,33885,404,43,544,279,270,145
ptu,Latn,ptu_Latn,Bambam,p,Ll,LATIN SMALL LETTER P,74244,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",37012,1834,452,3878,29676,350,55,472,228,232,55
ptu,Latn,ptu_Latn,Bambam,d,Ll,LATIN SMALL LETTER D,68331,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",32690,1550,384,3218,29063,252,48,436,259,268,163
ptu,Latn,ptu_Latn,Bambam,g,Ll,LATIN SMALL LETTER G,54125,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",26674,1272,412,2892,22014,217,37,236,194,153,24
ptu,Latn,ptu_Latn,Bambam,h,Ll,LATIN SMALL LETTER H,52481,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",22449,999,349,2464,25325,229,50,276,141,139,60
ptu,Latn,ptu_Latn,Bambam,b,Ll,LATIN SMALL LETTER B,49496,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",23033,1054,305,2059,22140,172,37,258,199,181,58
ptu,Latn,ptu_Latn,Bambam,ä,Ll,LATIN SMALL LETTER A WITH DIAERESIS,30809,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",15651,683,210,1544,12089,102,14,205,133,74,104
ptu,Latn,ptu_Latn,Bambam,.,Po,FULL STOP,26345,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",11906,583,169,1353,11744,121,34,198,110,108,19
ptu,Latn,ptu_Latn,Bambam,",",Po,COMMA,20635,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",9569,441,86,927,9159,83,70,119,51,70,60
ptu,Latn,ptu_Latn,Bambam,r,Ll,LATIN SMALL LETTER R,19452,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",3245,130,36,378,15488,18,32,35,16,35,39
ptu,Latn,ptu_Latn,Bambam,P,Lu,LATIN CAPITAL LETTER P,14726,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",7023,332,86,956,6107,47,7,64,65,32,7
ptu,Latn,ptu_Latn,Bambam,A,Lu,LATIN CAPITAL LETTER A,13261,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",6594,382,104,840,5026,77,19,95,39,62,23
ptu,Latn,ptu_Latn,Bambam,1,Nd,DIGIT ONE,10204,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",3675,213,50,870,5176,44,1,88,31,18,38
