iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2015_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2022_frequency
quf,Latn,quf_Latn,Lambayeque Quechua,a,Ll,LATIN SMALL LETTER A,508703,8,"2013,2014,2015,2016,2017,2018,2019,2022",263524,135383,1288,3646,1401,101710,1412,339
quf,Latn,quf_Latn,Lambayeque Quechua, ,Zs,SPACE,265398,8,"2013,2014,2015,2016,2017,2018,2019,2022",138715,70434,686,1878,907,51727,888,163
quf,Latn,quf_Latn,Lambayeque Quechua,n,Ll,LATIN SMALL LETTER N,194353,8,"2013,2014,2015,2016,2017,2018,2019,2022",98901,51851,516,1398,783,40203,584,117
quf,Latn,quf_Latn,Lambayeque Quechua,i,Ll,LATIN SMALL LETTER I,176118,8,"2013,2014,2015,2016,2017,2018,2019,2022",91372,46960,504,1250,399,34978,565,90
quf,Latn,quf_Latn,Lambayeque Quechua,u,Ll,LATIN SMALL LETTER U,160569,8,"2013,2014,2015,2016,2017,2018,2019,2022",82530,42972,432,1226,425,32443,419,122
quf,Latn,quf_Latn,Lambayeque Quechua,k,Ll,LATIN SMALL LETTER K,113149,8,"2013,2014,2015,2016,2017,2018,2019,2022",59446,30199,306,836,348,21626,303,85
quf,Latn,quf_Latn,Lambayeque Quechua,y,Ll,LATIN SMALL LETTER Y,107243,8,"2013,2014,2015,2016,2017,2018,2019,2022",55929,28937,271,694,277,20744,313,78
quf,Latn,quf_Latn,Lambayeque Quechua,l,Ll,LATIN SMALL LETTER L,101820,8,"2013,2014,2015,2016,2017,2018,2019,2022",54096,27113,252,777,110,19199,215,58
quf,Latn,quf_Latn,Lambayeque Quechua,r,Ll,LATIN SMALL LETTER R,95069,8,"2013,2014,2015,2016,2017,2018,2019,2022",48222,25049,226,641,288,20268,305,70
quf,Latn,quf_Latn,Lambayeque Quechua,h,Ll,LATIN SMALL LETTER H,94784,8,"2013,2014,2015,2016,2017,2018,2019,2022",49686,25315,303,647,209,18275,283,66
quf,Latn,quf_Latn,Lambayeque Quechua,m,Ll,LATIN SMALL LETTER M,91672,8,"2013,2014,2015,2016,2017,2018,2019,2022",47645,24266,255,694,246,18229,275,62
quf,Latn,quf_Latn,Lambayeque Quechua,p,Ll,LATIN SMALL LETTER P,89634,8,"2013,2014,2015,2016,2017,2018,2019,2022",47285,23595,204,631,328,17301,229,61
quf,Latn,quf_Latn,Lambayeque Quechua,q,Ll,LATIN SMALL LETTER Q,86001,8,"2013,2014,2015,2016,2017,2018,2019,2022",44161,22745,209,651,215,17706,263,51
quf,Latn,quf_Latn,Lambayeque Quechua,s,Ll,LATIN SMALL LETTER S,83440,8,"2013,2014,2015,2016,2017,2018,2019,2022",43079,22537,247,592,196,16511,246,32
quf,Latn,quf_Latn,Lambayeque Quechua,t,Ll,LATIN SMALL LETTER T,77523,8,"2013,2014,2015,2016,2017,2018,2019,2022",39841,20544,184,563,164,15939,233,55
quf,Latn,quf_Latn,Lambayeque Quechua,c,Ll,LATIN SMALL LETTER C,48252,8,"2013,2014,2015,2016,2017,2018,2019,2022",26637,13384,170,344,136,7382,157,42
quf,Latn,quf_Latn,Lambayeque Quechua,.,Po,FULL STOP,26407,8,"2013,2014,2015,2016,2017,2018,2019,2022",13525,6823,66,193,62,5634,87,17
quf,Latn,quf_Latn,Lambayeque Quechua,",",Po,COMMA,22941,8,"2013,2014,2015,2016,2017,2018,2019,2022",12193,6132,52,151,49,4264,74,26
quf,Latn,quf_Latn,Lambayeque Quechua,w,Ll,LATIN SMALL LETTER W,21079,8,"2013,2014,2015,2016,2017,2018,2019,2022",11147,5471,59,136,66,4127,39,34
quf,Latn,quf_Latn,Lambayeque Quechua,C,Lu,LATIN CAPITAL LETTER C,18331,8,"2013,2014,2015,2016,2017,2018,2019,2022",9285,4903,46,133,55,3857,48,4
quf,Latn,quf_Latn,Lambayeque Quechua,e,Ll,LATIN SMALL LETTER E,12238,7,"2013,2014,2015,2016,2017,2018,2019",6156,3029,19,56,68,2858,52,0
quf,Latn,quf_Latn,Lambayeque Quechua,',Po,APOSTROPHE,9143,7,"2013,2014,2015,2016,2017,2018,2019",5735,3190,26,73,70,1,48,0
quf,Latn,quf_Latn,Lambayeque Quechua,d,Ll,LATIN SMALL LETTER D,8369,7,"2013,2014,2015,2016,2017,2018,2019",4142,2204,19,61,17,1905,21,0
quf,Latn,quf_Latn,Lambayeque Quechua,b,Ll,LATIN SMALL LETTER B,6778,7,"2013,2014,2015,2016,2017,2018,2019",3532,1749,14,9,14,1450,10,0
quf,Latn,quf_Latn,Lambayeque Quechua,D,Lu,LATIN CAPITAL LETTER D,6629,7,"2013,2014,2015,2016,2017,2018,2019",3589,1776,12,55,1,1157,39,0
quf,Latn,quf_Latn,Lambayeque Quechua,J,Lu,LATIN CAPITAL LETTER J,6588,7,"2013,2014,2015,2016,2017,2018,2019",2916,1682,11,41,6,1896,36,0
quf,Latn,quf_Latn,Lambayeque Quechua,1,Nd,DIGIT ONE,6294,7,"2013,2014,2015,2016,2017,2018,2019",3003,1516,17,42,14,1685,17,0
quf,Latn,quf_Latn,Lambayeque Quechua,P,Lu,LATIN CAPITAL LETTER P,5182,8,"2013,2014,2015,2016,2017,2018,2019,2022",2678,1307,6,29,7,1127,24,4
quf,Latn,quf_Latn,Lambayeque Quechua,:,Po,COLON,4950,6,"2013,2014,2015,2016,2018,2019",2155,1386,13,33,0,1329,34,0
quf,Latn,quf_Latn,Lambayeque Quechua,2,Nd,DIGIT TWO,4734,7,"2013,2014,2015,2016,2017,2018,2019",2131,1152,14,33,13,1376,15,0
quf,Latn,quf_Latn,Lambayeque Quechua,o,Ll,LATIN SMALL LETTER O,4713,7,"2013,2014,2015,2016,2017,2018,2019",2839,983,10,21,47,800,13,0
quf,Latn,quf_Latn,Lambayeque Quechua,-,Pd,HYPHEN-MINUS,4284,8,"2013,2014,2015,2016,2017,2018,2019,2022",1865,1548,3,30,2,781,53,2
quf,Latn,quf_Latn,Lambayeque Quechua,A,Lu,LATIN CAPITAL LETTER A,3961,8,"2013,2014,2015,2016,2017,2018,2019,2022",2241,943,14,23,116,606,16,2
quf,Latn,quf_Latn,Lambayeque Quechua,g,Ll,LATIN SMALL LETTER G,3684,7,"2013,2014,2015,2016,2017,2018,2019",1779,1031,8,32,6,822,6,0
quf,Latn,quf_Latn,Lambayeque Quechua,3,Nd,DIGIT THREE,3326,7,"2013,2014,2015,2016,2017,2018,2019",1413,792,3,31,4,1068,15,0
quf,Latn,quf_Latn,Lambayeque Quechua,j,Ll,LATIN SMALL LETTER J,3252,7,"2013,2014,2015,2016,2017,2018,2019",1738,781,8,30,46,648,1,0
quf,Latn,quf_Latn,Lambayeque Quechua,T,Lu,LATIN CAPITAL LETTER T,3093,7,"2013,2014,2015,2016,2017,2018,2019",1708,887,9,13,4,451,21,0
quf,Latn,quf_Latn,Lambayeque Quechua,M,Lu,LATIN CAPITAL LETTER M,2722,8,"2013,2014,2015,2016,2017,2018,2019,2022",1097,720,2,13,41,832,13,4
quf,Latn,quf_Latn,Lambayeque Quechua,4,Nd,DIGIT FOUR,2475,7,"2013,2014,2015,2016,2017,2018,2019",1002,598,3,23,3,831,15,0
quf,Latn,quf_Latn,Lambayeque Quechua,I,Lu,LATIN CAPITAL LETTER I,2437,8,"2013,2014,2015,2016,2017,2018,2019,2022",1210,631,1,11,99,469,15,1
quf,Latn,quf_Latn,Lambayeque Quechua,S,Lu,LATIN CAPITAL LETTER S,2222,7,"2013,2014,2015,2016,2017,2018,2019",1066,489,1,10,63,576,17,0
quf,Latn,quf_Latn,Lambayeque Quechua,"""",Po,QUOTATION MARK,2145,6,"2013,2014,2015,2016,2017,2019",1112,971,9,45,2,0,6,0
quf,Latn,quf_Latn,Lambayeque Quechua,ĉ,Ll,LATIN SMALL LETTER C WITH CIRCUMFLEX,2000,1,2018,0,0,0,0,0,2000,0,0
quf,Latn,quf_Latn,Lambayeque Quechua,5,Nd,DIGIT FIVE,1867,7,"2013,2014,2015,2016,2017,2018,2019",802,472,3,11,3,569,7,0
quf,Latn,quf_Latn,Lambayeque Quechua,N,Lu,LATIN CAPITAL LETTER N,1858,7,"2013,2014,2015,2016,2017,2018,2019",942,415,3,7,120,356,15,0
quf,Latn,quf_Latn,Lambayeque Quechua,?,Po,QUESTION MARK,1838,5,"2013,2014,2016,2018,2019",925,444,0,23,0,436,10,0
quf,Latn,quf_Latn,Lambayeque Quechua,6,Nd,DIGIT SIX,1549,7,"2013,2014,2015,2016,2017,2018,2019",698,401,4,10,3,428,5,0
quf,Latn,quf_Latn,Lambayeque Quechua,K,Lu,LATIN CAPITAL LETTER K,1537,8,"2013,2014,2015,2016,2017,2018,2019,2022",804,368,5,8,82,265,4,1
quf,Latn,quf_Latn,Lambayeque Quechua,0,Nd,DIGIT ZERO,1415,7,"2013,2014,2015,2016,2017,2018,2019",585,403,3,11,3,405,5,0
quf,Latn,quf_Latn,Lambayeque Quechua,7,Nd,DIGIT SEVEN,1414,7,"2013,2014,2015,2016,2017,2018,2019",653,352,2,11,3,388,5,0
quf,Latn,quf_Latn,Lambayeque Quechua,8,Nd,DIGIT EIGHT,1380,7,"2013,2014,2015,2016,2017,2018,2019",623,328,2,10,3,409,5,0
quf,Latn,quf_Latn,Lambayeque Quechua,¿,Po,INVERTED QUESTION MARK,1334,5,"2013,2014,2016,2018,2019",421,444,0,23,0,436,10,0
quf,Latn,quf_Latn,Lambayeque Quechua,9,Nd,DIGIT NINE,1308,7,"2013,2014,2015,2016,2017,2018,2019",577,318,4,11,3,390,5,0
quf,Latn,quf_Latn,Lambayeque Quechua,!,Po,EXCLAMATION MARK,1179,6,"2013,2014,2015,2016,2018,2019",652,301,1,4,0,218,3,0
quf,Latn,quf_Latn,Lambayeque Quechua,ñ,Ll,LATIN SMALL LETTER N WITH TILDE,1087,7,"2013,2014,2015,2016,2017,2018,2022",463,372,3,15,2,230,0,2
quf,Latn,quf_Latn,Lambayeque Quechua,f,Ll,LATIN SMALL LETTER F,1056,6,"2013,2014,2016,2017,2018,2019",570,258,0,4,2,220,2,0
quf,Latn,quf_Latn,Lambayeque Quechua,—,Pd,EM DASH,841,2,"2013,2018",164,0,0,0,0,677,0,0
quf,Latn,quf_Latn,Lambayeque Quechua,R,Lu,LATIN CAPITAL LETTER R,825,7,"2013,2014,2015,2016,2017,2018,2019",422,191,1,5,8,190,8,0
quf,Latn,quf_Latn,Lambayeque Quechua,“,Pi,LEFT DOUBLE QUOTATION MARK,811,2,"2013,2018",280,0,0,0,0,531,0,0
quf,Latn,quf_Latn,Lambayeque Quechua,U,Lu,LATIN CAPITAL LETTER U,793,6,"2013,2014,2016,2017,2018,2019",391,178,0,11,66,146,1,0
quf,Latn,quf_Latn,Lambayeque Quechua,Q,Lu,LATIN CAPITAL LETTER Q,766,6,"2013,2014,2016,2017,2018,2019",370,192,0,5,15,175,9,0
quf,Latn,quf_Latn,Lambayeque Quechua,¡,Po,INVERTED EXCLAMATION MARK,763,5,"2013,2014,2016,2018,2019",255,285,0,3,0,217,3,0
