iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2015_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
qug,Latn,qug_Latn,Chimborazo Highland Quichua,a,Ll,LATIN SMALL LETTER A,2192292,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2577,2722,1049,55500,59738,26651,10797,668809,1169555,160838,18310,15746
qug,Latn,qug_Latn,Chimborazo Highland Quichua, ,Zs,SPACE,1980571,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1460,1508,550,31941,33386,15348,6249,582981,1112641,162802,17825,13880
qug,Latn,qug_Latn,Chimborazo Highland Quichua,i,Ll,LATIN SMALL LETTER I,1133291,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1316,1405,544,27100,28575,12660,5330,348952,606078,83132,9776,8423
qug,Latn,qug_Latn,Chimborazo Highland Quichua,c,Ll,LATIN SMALL LETTER C,914575,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1158,1229,459,25589,26847,12328,4703,273872,484331,69654,7597,6808
qug,Latn,qug_Latn,Chimborazo Highland Quichua,u,Ll,LATIN SMALL LETTER U,825541,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",985,992,366,21307,22407,9742,4079,248896,441149,62252,7578,5788
qug,Latn,qug_Latn,Chimborazo Highland Quichua,n,Ll,LATIN SMALL LETTER N,802632,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",800,781,340,17628,18589,8589,3456,250579,431205,58110,6703,5852
qug,Latn,qug_Latn,Chimborazo Highland Quichua,h,Ll,LATIN SMALL LETTER H,676188,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",780,779,335,19116,19927,8900,3749,199332,360909,52181,5472,4708
qug,Latn,qug_Latn,Chimborazo Highland Quichua,s,Ll,LATIN SMALL LETTER S,575486,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",615,581,240,12790,13204,6149,2498,179383,311891,39299,4954,3882
qug,Latn,qug_Latn,Chimborazo Highland Quichua,t,Ll,LATIN SMALL LETTER T,480465,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",477,543,195,9866,10986,5036,2189,157464,252233,33628,4266,3582
qug,Latn,qug_Latn,Chimborazo Highland Quichua,r,Ll,LATIN SMALL LETTER R,414937,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",401,477,160,7503,8221,3960,1600,134226,223590,27915,3487,3397
qug,Latn,qug_Latn,Chimborazo Highland Quichua,m,Ll,LATIN SMALL LETTER M,411941,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",390,412,178,8928,9732,4466,1695,127635,223058,29077,3409,2961
