iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2015_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
quz,Latn,quz_Latn,Cusco Quechua,a,Ll,LATIN SMALL LETTER A,1009629,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",153021,134020,19469,21856,106578,34784,158620,50957,135733,45420,103765,45406
quz,Latn,quz_Latn,Cusco Quechua, ,Zs,SPACE,718933,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",97620,80317,10788,13921,87945,27707,94244,36094,121977,37731,75329,35260
quz,Latn,quz_Latn,Cusco Quechua,n,Ll,LATIN SMALL LETTER N,464970,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",67304,59795,8690,9681,50182,15486,74745,22591,68570,21147,45887,20892
quz,Latn,quz_Latn,Cusco Quechua,i,Ll,LATIN SMALL LETTER I,396483,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",54182,47637,6666,7975,43169,13706,59077,20193,62338,19527,42076,19937
quz,Latn,quz_Latn,Cusco Quechua,u,Ll,LATIN SMALL LETTER U,306478,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",45208,38933,5712,6608,35964,11133,44762,16176,40661,14589,32615,14117
quz,Latn,quz_Latn,Cusco Quechua,s,Ll,LATIN SMALL LETTER S,261424,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",35804,30401,4099,5129,35407,9656,35273,12041,42355,13006,25571,12682
quz,Latn,quz_Latn,Cusco Quechua,t,Ll,LATIN SMALL LETTER T,216600,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",29827,24756,3237,4552,24128,8019,29994,10677,34913,10889,24230,11378
quz,Latn,quz_Latn,Cusco Quechua,q,Ll,LATIN SMALL LETTER Q,215805,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",36750,34137,5092,5362,20951,6268,34328,10680,23669,9104,20880,8584
quz,Latn,quz_Latn,Cusco Quechua,k,Ll,LATIN SMALL LETTER K,206250,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",33224,29975,4523,4624,20137,6305,33977,11096,22862,8746,21836,8945
quz,Latn,quz_Latn,Cusco Quechua,r,Ll,LATIN SMALL LETTER R,205557,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",28606,22520,3135,3983,24783,8274,26810,10445,34257,10700,21559,10485
quz,Latn,quz_Latn,Cusco Quechua,e,Ll,LATIN SMALL LETTER E,197801,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",20688,13373,1347,3167,31694,8818,19079,9988,42379,12451,22254,12563
quz,Latn,quz_Latn,Cusco Quechua,l,Ll,LATIN SMALL LETTER L,185021,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",22929,18373,2628,3240,21906,7669,23503,9992,32795,10312,21887,9787
quz,Latn,quz_Latn,Cusco Quechua,h,Ll,LATIN SMALL LETTER H,183337,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",29319,27313,3947,4159,19976,6331,28093,9008,19933,8587,18486,8185
quz,Latn,quz_Latn,Cusco Quechua,p,Ll,LATIN SMALL LETTER P,180640,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",27794,25109,3561,3889,19640,6236,27990,9029,22899,7844,18649,8000
quz,Latn,quz_Latn,Cusco Quechua,c,Ll,LATIN SMALL LETTER C,180234,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",23707,20359,2686,3366,21609,6806,23539,8491,32546,9130,19134,8861
quz,Latn,quz_Latn,Cusco Quechua,y,Ll,LATIN SMALL LETTER Y,171712,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",25767,22889,3365,3816,21150,6007,24467,9088,21005,8020,18175,7963
quz,Latn,quz_Latn,Cusco Quechua,o,Ll,LATIN SMALL LETTER O,166877,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",20657,13857,1943,2790,24828,7483,18486,7961,32600,9615,17736,8921
quz,Latn,quz_Latn,Cusco Quechua,m,Ll,LATIN SMALL LETTER M,160876,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",23378,19094,2619,3263,18518,5690,24474,8350,22066,7644,17792,7988
quz,Latn,quz_Latn,Cusco Quechua,.,Po,FULL STOP,78902,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",7262,6978,902,1140,8029,1788,8499,2456,31878,2692,5168,2110
quz,Latn,quz_Latn,Cusco Quechua,d,Ll,LATIN SMALL LETTER D,71413,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",6789,3592,419,903,10663,3487,5609,3584,19147,4526,8467,4227
quz,Latn,quz_Latn,Cusco Quechua,",",Po,COMMA,67802,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",9476,8845,1263,1305,10574,3254,7360,3402,9808,3188,6269,3058
quz,Latn,quz_Latn,Cusco Quechua,w,Ll,LATIN SMALL LETTER W,67720,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",10560,9496,1503,1545,7276,2692,10415,3592,7303,2967,7282,3089
quz,Latn,quz_Latn,Cusco Quechua,A,Lu,LATIN CAPITAL LETTER A,33889,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2028,5151,300,167,9238,2267,2733,1077,6998,1228,1806,896
quz,Latn,quz_Latn,Cusco Quechua,b,Ll,LATIN SMALL LETTER B,23187,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2784,1546,158,266,2919,920,3246,1185,4723,1394,2523,1523
quz,Latn,quz_Latn,Cusco Quechua,ñ,Ll,LATIN SMALL LETTER N WITH TILDE,23070,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",4261,3706,669,653,2812,704,3411,1286,1716,934,1987,931
quz,Latn,quz_Latn,Cusco Quechua,C,Lu,LATIN CAPITAL LETTER C,21619,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2556,2997,301,373,3023,1034,2815,930,3822,1009,1954,805
quz,Latn,quz_Latn,Cusco Quechua,g,Ll,LATIN SMALL LETTER G,20902,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1944,975,102,273,2752,939,2484,1076,4627,1360,2876,1494
quz,Latn,quz_Latn,Cusco Quechua,I,Lu,LATIN CAPITAL LETTER I,20266,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1211,2551,184,127,3899,982,2371,688,5712,707,1172,662
quz,Latn,quz_Latn,Cusco Quechua,v,Ll,LATIN SMALL LETTER V,18161,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1920,1056,132,286,2517,870,2138,866,3993,1233,2038,1112
quz,Latn,quz_Latn,Cusco Quechua,S,Lu,LATIN CAPITAL LETTER S,18005,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2163,3431,329,401,3349,851,1395,723,2768,754,1203,638
quz,Latn,quz_Latn,Cusco Quechua,’,Pf,RIGHT SINGLE QUOTATION MARK,14377,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",803,227,9,177,1995,481,2746,938,3669,829,1604,899
quz,Latn,quz_Latn,Cusco Quechua,P,Lu,LATIN CAPITAL LETTER P,14353,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1330,1665,134,172,2586,872,1571,740,2585,817,1212,669
quz,Latn,quz_Latn,Cusco Quechua,E,Lu,LATIN CAPITAL LETTER E,14127,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1059,2890,77,150,1873,732,1047,528,3713,792,811,455
quz,Latn,quz_Latn,Cusco Quechua,j,Ll,LATIN SMALL LETTER J,14101,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1085,531,101,316,1840,549,2743,866,3287,912,988,883
quz,Latn,quz_Latn,Cusco Quechua,N,Lu,LATIN CAPITAL LETTER N,13648,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",541,2094,92,50,4160,912,1204,385,2763,464,606,377
quz,Latn,quz_Latn,Cusco Quechua,D,Lu,LATIN CAPITAL LETTER D,13103,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2224,2784,289,276,1213,356,2348,470,1788,431,560,364
quz,Latn,quz_Latn,Cusco Quechua,',Po,APOSTROPHE,12943,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",3621,3748,541,468,1192,231,525,491,295,317,1285,229
quz,Latn,quz_Latn,Cusco Quechua,M,Lu,LATIN CAPITAL LETTER M,12838,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1103,1566,153,192,2435,627,1538,760,2158,650,1110,546
quz,Latn,quz_Latn,Cusco Quechua,1,Nd,DIGIT ONE,12613,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1864,1947,300,280,731,367,2661,808,1935,339,1021,360
quz,Latn,quz_Latn,Cusco Quechua,f,Ll,LATIN SMALL LETTER F,11748,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1156,781,99,205,1738,540,1116,505,2228,781,1709,890
quz,Latn,quz_Latn,Cusco Quechua,T,Lu,LATIN CAPITAL LETTER T,10857,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",538,1285,63,92,2225,545,1008,472,2858,500,873,398
quz,Latn,quz_Latn,Cusco Quechua,L,Lu,LATIN CAPITAL LETTER L,10317,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",582,1684,63,97,1975,481,830,458,2504,514,874,255
quz,Latn,quz_Latn,Cusco Quechua,:,Po,COLON,10263,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1636,1569,222,315,835,321,1817,631,885,540,1042,450
quz,Latn,quz_Latn,Cusco Quechua,H,Lu,LATIN CAPITAL LETTER H,9928,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1194,1615,160,155,2403,518,972,401,1079,336,784,311
quz,Latn,quz_Latn,Cusco Quechua,ó,Ll,LATIN SMALL LETTER O WITH ACUTE,9926,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",940,318,34,96,1051,402,552,541,3477,624,1319,572
quz,Latn,quz_Latn,Cusco Quechua,K,Lu,LATIN CAPITAL LETTER K,9862,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",587,952,115,96,2410,526,983,502,2061,340,909,381
quz,Latn,quz_Latn,Cusco Quechua,2,Nd,DIGIT TWO,9475,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1575,1613,253,236,682,283,1512,445,1420,276,854,326
quz,Latn,quz_Latn,Cusco Quechua,R,Lu,LATIN CAPITAL LETTER R,9429,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",587,1809,68,101,1642,629,943,405,1753,400,759,333
quz,Latn,quz_Latn,Cusco Quechua,U,Lu,LATIN CAPITAL LETTER U,9002,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",273,1378,78,44,2887,688,653,274,1770,376,412,169
quz,Latn,quz_Latn,Cusco Quechua,J,Lu,LATIN CAPITAL LETTER J,8565,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1145,1463,206,244,885,259,1741,262,1458,282,345,275
quz,Latn,quz_Latn,Cusco Quechua,í,Ll,LATIN SMALL LETTER I WITH ACUTE,8349,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1080,590,88,180,1140,430,579,463,2119,444,840,396
quz,Latn,quz_Latn,Cusco Quechua,Q,Lu,LATIN CAPITAL LETTER Q,8200,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",558,1065,96,108,2504,433,740,417,1151,301,502,325
quz,Latn,quz_Latn,Cusco Quechua,á,Ll,LATIN SMALL LETTER A WITH ACUTE,8017,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",864,469,71,99,1090,317,1353,404,1833,405,776,336
quz,Latn,quz_Latn,Cusco Quechua,-,Pd,HYPHEN-MINUS,7277,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",915,725,91,153,814,615,961,461,590,416,1173,363
quz,Latn,quz_Latn,Cusco Quechua,O,Lu,LATIN CAPITAL LETTER O,7061,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",268,1712,21,66,1310,295,422,158,2002,321,317,169
quz,Latn,quz_Latn,Cusco Quechua,z,Ll,LATIN SMALL LETTER Z,6929,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",777,517,71,140,1126,365,566,338,1277,485,841,426
quz,Latn,quz_Latn,Cusco Quechua,Y,Lu,LATIN CAPITAL LETTER Y,6761,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",279,683,53,35,2437,593,548,277,960,242,473,181
