iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2021_frequency
qva,Latn,qva_Latn,Ambo-Pasco Quechua,a,Ll,LATIN SMALL LETTER A,22448,1,2021,22448
qva,Latn,qva_Latn,Ambo-Pasco Quechua, ,Zs,SPACE,13461,1,2021,13461
qva,Latn,qva_Latn,Ambo-Pasco Quechua,n,Ll,LATIN SMALL LETTER N,10885,1,2021,10885
qva,Latn,qva_Latn,Ambo-Pasco Quechua,c,Ll,LATIN SMALL LETTER C,9317,1,2021,9317
qva,Latn,qva_Latn,Ambo-Pasco Quechua,u,Ll,LATIN SMALL LETTER U,8587,1,2021,8587
qva,Latn,qva_Latn,Ambo-Pasco Quechua,i,Ll,LATIN SMALL LETTER I,8399,1,2021,8399
qva,Latn,qva_Latn,Ambo-Pasco Quechua,y,Ll,LATIN SMALL LETTER Y,5593,1,2021,5593
qva,Latn,qva_Latn,Ambo-Pasco Quechua,r,Ll,LATIN SMALL LETTER R,5553,1,2021,5553
qva,Latn,qva_Latn,Ambo-Pasco Quechua,p,Ll,LATIN SMALL LETTER P,4456,1,2021,4456
qva,Latn,qva_Latn,Ambo-Pasco Quechua,s,Ll,LATIN SMALL LETTER S,4311,1,2021,4311
qva,Latn,qva_Latn,Ambo-Pasco Quechua,t,Ll,LATIN SMALL LETTER T,4082,1,2021,4082
qva,Latn,qva_Latn,Ambo-Pasco Quechua,h,Ll,LATIN SMALL LETTER H,4026,1,2021,4026
qva,Latn,qva_Latn,Ambo-Pasco Quechua,g,Ll,LATIN SMALL LETTER G,3973,1,2021,3973
qva,Latn,qva_Latn,Ambo-Pasco Quechua,m,Ll,LATIN SMALL LETTER M,3928,1,2021,3928
qva,Latn,qva_Latn,Ambo-Pasco Quechua,l,Ll,LATIN SMALL LETTER L,2105,1,2021,2105
qva,Latn,qva_Latn,Ambo-Pasco Quechua,o,Ll,LATIN SMALL LETTER O,1884,1,2021,1884
qva,Latn,qva_Latn,Ambo-Pasco Quechua,ä,Ll,LATIN SMALL LETTER A WITH DIAERESIS,1763,1,2021,1763
qva,Latn,qva_Latn,Ambo-Pasco Quechua,.,Po,FULL STOP,1644,1,2021,1644
qva,Latn,qva_Latn,Ambo-Pasco Quechua,e,Ll,LATIN SMALL LETTER E,1335,1,2021,1335
qva,Latn,qva_Latn,Ambo-Pasco Quechua,w,Ll,LATIN SMALL LETTER W,1121,1,2021,1121
qva,Latn,qva_Latn,Ambo-Pasco Quechua,q,Ll,LATIN SMALL LETTER Q,957,1,2021,957
qva,Latn,qva_Latn,Ambo-Pasco Quechua,C,Lu,LATIN CAPITAL LETTER C,717,1,2021,717
qva,Latn,qva_Latn,Ambo-Pasco Quechua,1,Nd,DIGIT ONE,588,1,2021,588
qva,Latn,qva_Latn,Ambo-Pasco Quechua,J,Lu,LATIN CAPITAL LETTER J,560,1,2021,560
qva,Latn,qva_Latn,Ambo-Pasco Quechua,D,Lu,LATIN CAPITAL LETTER D,522,1,2021,522
qva,Latn,qva_Latn,Ambo-Pasco Quechua,T,Lu,LATIN CAPITAL LETTER T,451,1,2021,451
qva,Latn,qva_Latn,Ambo-Pasco Quechua,j,Ll,LATIN SMALL LETTER J,405,1,2021,405
qva,Latn,qva_Latn,Ambo-Pasco Quechua,b,Ll,LATIN SMALL LETTER B,344,1,2021,344
qva,Latn,qva_Latn,Ambo-Pasco Quechua,2,Nd,DIGIT TWO,313,1,2021,313
qva,Latn,qva_Latn,Ambo-Pasco Quechua,d,Ll,LATIN SMALL LETTER D,312,1,2021,312
qva,Latn,qva_Latn,Ambo-Pasco Quechua,P,Lu,LATIN CAPITAL LETTER P,278,1,2021,278
qva,Latn,qva_Latn,Ambo-Pasco Quechua,S,Lu,LATIN CAPITAL LETTER S,259,1,2021,259
qva,Latn,qva_Latn,Ambo-Pasco Quechua,",",Po,COMMA,204,1,2021,204
qva,Latn,qva_Latn,Ambo-Pasco Quechua,ñ,Ll,LATIN SMALL LETTER N WITH TILDE,187,1,2021,187
qva,Latn,qva_Latn,Ambo-Pasco Quechua,ü,Ll,LATIN SMALL LETTER U WITH DIAERESIS,182,1,2021,182
qva,Latn,qva_Latn,Ambo-Pasco Quechua,3,Nd,DIGIT THREE,171,1,2021,171
qva,Latn,qva_Latn,Ambo-Pasco Quechua,4,Nd,DIGIT FOUR,149,1,2021,149
qva,Latn,qva_Latn,Ambo-Pasco Quechua,M,Lu,LATIN CAPITAL LETTER M,148,1,2021,148
qva,Latn,qva_Latn,Ambo-Pasco Quechua,ï,Ll,LATIN SMALL LETTER I WITH DIAERESIS,142,1,2021,142
qva,Latn,qva_Latn,Ambo-Pasco Quechua,5,Nd,DIGIT FIVE,138,1,2021,138
qva,Latn,qva_Latn,Ambo-Pasco Quechua,v,Ll,LATIN SMALL LETTER V,133,1,2021,133
qva,Latn,qva_Latn,Ambo-Pasco Quechua,A,Lu,LATIN CAPITAL LETTER A,113,1,2021,113
qva,Latn,qva_Latn,Ambo-Pasco Quechua,I,Lu,LATIN CAPITAL LETTER I,112,1,2021,112
qva,Latn,qva_Latn,Ambo-Pasco Quechua,N,Lu,LATIN CAPITAL LETTER N,112,1,2021,112
qva,Latn,qva_Latn,Ambo-Pasco Quechua,“,Pi,LEFT DOUBLE QUOTATION MARK,110,1,2021,110
qva,Latn,qva_Latn,Ambo-Pasco Quechua,7,Nd,DIGIT SEVEN,109,1,2021,109
qva,Latn,qva_Latn,Ambo-Pasco Quechua,6,Nd,DIGIT SIX,108,1,2021,108
qva,Latn,qva_Latn,Ambo-Pasco Quechua,-,Pd,HYPHEN-MINUS,103,1,2021,103
qva,Latn,qva_Latn,Ambo-Pasco Quechua,G,Lu,LATIN CAPITAL LETTER G,100,1,2021,100
qva,Latn,qva_Latn,Ambo-Pasco Quechua,:,Po,COLON,99,1,2021,99
qva,Latn,qva_Latn,Ambo-Pasco Quechua,8,Nd,DIGIT EIGHT,97,1,2021,97
qva,Latn,qva_Latn,Ambo-Pasco Quechua,0,Nd,DIGIT ZERO,96,1,2021,96
qva,Latn,qva_Latn,Ambo-Pasco Quechua,9,Nd,DIGIT NINE,92,1,2021,92
qva,Latn,qva_Latn,Ambo-Pasco Quechua,”,Pf,RIGHT DOUBLE QUOTATION MARK,87,1,2021,87
qva,Latn,qva_Latn,Ambo-Pasco Quechua,E,Lu,LATIN CAPITAL LETTER E,85,1,2021,85
qva,Latn,qva_Latn,Ambo-Pasco Quechua,f,Ll,LATIN SMALL LETTER F,84,1,2021,84
qva,Latn,qva_Latn,Ambo-Pasco Quechua,ó,Ll,LATIN SMALL LETTER O WITH ACUTE,78,1,2021,78
qva,Latn,qva_Latn,Ambo-Pasco Quechua,W,Lu,LATIN CAPITAL LETTER W,69,1,2021,69
qva,Latn,qva_Latn,Ambo-Pasco Quechua,),Pe,RIGHT PARENTHESIS,65,1,2021,65
qva,Latn,qva_Latn,Ambo-Pasco Quechua,(,Ps,LEFT PARENTHESIS,65,1,2021,65
qva,Latn,qva_Latn,Ambo-Pasco Quechua,;,Po,SEMICOLON,64,1,2021,64
qva,Latn,qva_Latn,Ambo-Pasco Quechua,ú,Ll,LATIN SMALL LETTER U WITH ACUTE,63,1,2021,63
qva,Latn,qva_Latn,Ambo-Pasco Quechua,ë,Ll,LATIN SMALL LETTER E WITH DIAERESIS,62,1,2021,62
qva,Latn,qva_Latn,Ambo-Pasco Quechua,í,Ll,LATIN SMALL LETTER I WITH ACUTE,61,1,2021,61
qva,Latn,qva_Latn,Ambo-Pasco Quechua,ö,Ll,LATIN SMALL LETTER O WITH DIAERESIS,58,1,2021,58
qva,Latn,qva_Latn,Ambo-Pasco Quechua,L,Lu,LATIN CAPITAL LETTER L,56,1,2021,56
qva,Latn,qva_Latn,Ambo-Pasco Quechua,R,Lu,LATIN CAPITAL LETTER R,55,1,2021,55
qva,Latn,qva_Latn,Ambo-Pasco Quechua,z,Ll,LATIN SMALL LETTER Z,44,1,2021,44
qva,Latn,qva_Latn,Ambo-Pasco Quechua,é,Ll,LATIN SMALL LETTER E WITH ACUTE,44,1,2021,44
qva,Latn,qva_Latn,Ambo-Pasco Quechua,F,Lu,LATIN CAPITAL LETTER F,32,1,2021,32
qva,Latn,qva_Latn,Ambo-Pasco Quechua,O,Lu,LATIN CAPITAL LETTER O,32,1,2021,32
qva,Latn,qva_Latn,Ambo-Pasco Quechua,Y,Lu,LATIN CAPITAL LETTER Y,28,1,2021,28
qva,Latn,qva_Latn,Ambo-Pasco Quechua,H,Lu,LATIN CAPITAL LETTER H,24,1,2021,24
qva,Latn,qva_Latn,Ambo-Pasco Quechua,¿,Po,INVERTED QUESTION MARK,20,1,2021,20
qva,Latn,qva_Latn,Ambo-Pasco Quechua,?,Po,QUESTION MARK,20,1,2021,20
qva,Latn,qva_Latn,Ambo-Pasco Quechua,Z,Lu,LATIN CAPITAL LETTER Z,20,1,2021,20
qva,Latn,qva_Latn,Ambo-Pasco Quechua,’,Pf,RIGHT SINGLE QUOTATION MARK,19,1,2021,19
qva,Latn,qva_Latn,Ambo-Pasco Quechua,‘,Pi,LEFT SINGLE QUOTATION MARK,19,1,2021,19
qva,Latn,qva_Latn,Ambo-Pasco Quechua,!,Po,EXCLAMATION MARK,19,1,2021,19
qva,Latn,qva_Latn,Ambo-Pasco Quechua,¡,Po,INVERTED EXCLAMATION MARK,19,1,2021,19
qva,Latn,qva_Latn,Ambo-Pasco Quechua,U,Lu,LATIN CAPITAL LETTER U,17,1,2021,17
qva,Latn,qva_Latn,Ambo-Pasco Quechua,B,Lu,LATIN CAPITAL LETTER B,16,1,2021,16
qva,Latn,qva_Latn,Ambo-Pasco Quechua,—,Pd,EM DASH,15,1,2021,15
qva,Latn,qva_Latn,Ambo-Pasco Quechua,*,Po,ASTERISK,11,1,2021,11
qva,Latn,qva_Latn,Ambo-Pasco Quechua,É,Lu,LATIN CAPITAL LETTER E WITH ACUTE,11,1,2021,11
qva,Latn,qva_Latn,Ambo-Pasco Quechua,á,Ll,LATIN SMALL LETTER A WITH ACUTE,8,1,2021,8
qva,Latn,qva_Latn,Ambo-Pasco Quechua,✡,So,STAR OF DAVID,7,1,2021,7
qva,Latn,qva_Latn,Ambo-Pasco Quechua,#,Po,NUMBER SIGN,7,1,2021,7
qva,Latn,qva_Latn,Ambo-Pasco Quechua,],Pe,RIGHT SQUARE BRACKET,5,1,2021,5
qva,Latn,qva_Latn,Ambo-Pasco Quechua,[,Ps,LEFT SQUARE BRACKET,5,1,2021,5
qva,Latn,qva_Latn,Ambo-Pasco Quechua,Q,Lu,LATIN CAPITAL LETTER Q,4,1,2021,4
qva,Latn,qva_Latn,Ambo-Pasco Quechua,†,Po,DAGGER,4,1,2021,4
qva,Latn,qva_Latn,Ambo-Pasco Quechua,Ñ,Lu,LATIN CAPITAL LETTER N WITH TILDE,3,1,2021,3
qva,Latn,qva_Latn,Ambo-Pasco Quechua,x,Ll,LATIN SMALL LETTER X,3,1,2021,3
qva,Latn,qva_Latn,Ambo-Pasco Quechua,Ö,Lu,LATIN CAPITAL LETTER O WITH DIAERESIS,2,1,2021,2
qva,Latn,qva_Latn,Ambo-Pasco Quechua,Á,Lu,LATIN CAPITAL LETTER A WITH ACUTE,1,1,2021,1
qva,Latn,qva_Latn,Ambo-Pasco Quechua,Ó,Lu,LATIN CAPITAL LETTER O WITH ACUTE,1,1,2021,1
qva,Latn,qva_Latn,Ambo-Pasco Quechua,k,Ll,LATIN SMALL LETTER K,1,1,2021,1
qva,Latn,qva_Latn,Ambo-Pasco Quechua,Ü,Lu,LATIN CAPITAL LETTER U WITH DIAERESIS,1,1,2021,1
