iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2015_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency
qve,Latn,qve_Latn,Eastern Apurímac Quechua,a,Ll,LATIN SMALL LETTER A,266974,11,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",72115,45870,30358,48735,41869,319,6374,2345,1059,17712,218
qve,Latn,qve_Latn,Eastern Apurímac Quechua, ,Zs,SPACE,146506,11,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",40154,24409,15866,26053,22643,454,4822,1902,630,9473,100
qve,Latn,qve_Latn,Eastern Apurímac Quechua,n,Ll,LATIN SMALL LETTER N,124770,11,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",34060,21761,14187,22819,19844,207,2419,819,410,8150,94
qve,Latn,qve_Latn,Eastern Apurímac Quechua,i,Ll,LATIN SMALL LETTER I,92491,11,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",24878,15865,10440,17059,14148,146,2367,933,435,6154,66
qve,Latn,qve_Latn,Eastern Apurímac Quechua,u,Ll,LATIN SMALL LETTER U,72403,11,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",19652,12448,8360,12938,11400,113,1560,605,366,4882,79
qve,Latn,qve_Latn,Eastern Apurímac Quechua,s,Ll,LATIN SMALL LETTER S,63260,11,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",17140,10997,7304,11254,9733,202,1605,637,256,4097,35
qve,Latn,qve_Latn,Eastern Apurímac Quechua,k,Ll,LATIN SMALL LETTER K,58351,11,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",15427,9886,6717,10554,8784,104,1808,795,242,3969,65
qve,Latn,qve_Latn,Eastern Apurímac Quechua,q,Ll,LATIN SMALL LETTER Q,54281,11,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",14934,9679,6355,10194,8669,73,427,28,101,3780,41
qve,Latn,qve_Latn,Eastern Apurímac Quechua,p,Ll,LATIN SMALL LETTER P,48711,11,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",13263,8307,5586,8919,7769,32,1041,386,201,3163,44
qve,Latn,qve_Latn,Eastern Apurímac Quechua,t,Ll,LATIN SMALL LETTER T,47607,11,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",12721,7881,5280,8633,7507,93,1444,591,220,3196,41
qve,Latn,qve_Latn,Eastern Apurímac Quechua,h,Ll,LATIN SMALL LETTER H,47214,11,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",12513,8163,5377,8431,7321,56,1237,449,325,3309,33
qve,Latn,qve_Latn,Eastern Apurímac Quechua,r,Ll,LATIN SMALL LETTER R,43325,11,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",11759,7126,4647,7746,7232,79,1239,547,184,2748,18
qve,Latn,qve_Latn,Eastern Apurímac Quechua,y,Ll,LATIN SMALL LETTER Y,41211,11,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",11072,7086,4691,7972,6167,93,956,364,148,2627,35
qve,Latn,qve_Latn,Eastern Apurímac Quechua,c,Ll,LATIN SMALL LETTER C,37730,11,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",10011,6535,4281,6413,6060,70,1126,457,165,2587,25
qve,Latn,qve_Latn,Eastern Apurímac Quechua,m,Ll,LATIN SMALL LETTER M,37217,11,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",10025,6506,4157,6862,5690,54,817,327,151,2596,32
qve,Latn,qve_Latn,Eastern Apurímac Quechua,l,Ll,LATIN SMALL LETTER L,36905,11,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",9455,5903,4315,6520,5596,92,1538,618,176,2660,32
qve,Latn,qve_Latn,Eastern Apurímac Quechua,o,Ll,LATIN SMALL LETTER O,30168,11,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",8033,4879,3303,5312,4745,211,1130,547,88,1904,16
qve,Latn,qve_Latn,Eastern Apurímac Quechua,e,Ll,LATIN SMALL LETTER E,26428,11,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",6763,4077,2640,4630,4211,185,1480,678,118,1636,10
qve,Latn,qve_Latn,Eastern Apurímac Quechua,w,Ll,LATIN SMALL LETTER W,16708,11,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",4573,2985,1977,3017,2529,9,292,145,91,1076,14
qve,Latn,qve_Latn,Eastern Apurímac Quechua,",",Po,COMMA,14535,11,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",3917,2501,1606,2751,2311,17,358,123,76,863,12
qve,Latn,qve_Latn,Eastern Apurímac Quechua,.,Po,FULL STOP,13507,11,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",3705,2343,1529,2385,2100,21,292,92,45,991,4
qve,Latn,qve_Latn,Eastern Apurímac Quechua,d,Ll,LATIN SMALL LETTER D,6590,11,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",1526,867,620,1119,1026,43,680,315,55,334,5
qve,Latn,qve_Latn,Eastern Apurímac Quechua,ñ,Ll,LATIN SMALL LETTER N WITH TILDE,6329,11,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",1726,1139,801,1138,953,3,128,40,31,369,1
qve,Latn,qve_Latn,Eastern Apurímac Quechua,J,Lu,LATIN CAPITAL LETTER J,4797,10,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",1432,889,517,803,796,4,76,9,1,270,0
qve,Latn,qve_Latn,Eastern Apurímac Quechua,C,Lu,LATIN CAPITAL LETTER C,4597,10,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",1248,784,469,826,779,10,129,52,32,268,0
qve,Latn,qve_Latn,Eastern Apurímac Quechua,D,Lu,LATIN CAPITAL LETTER D,3694,11,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",922,674,421,726,502,10,127,48,12,250,2
qve,Latn,qve_Latn,Eastern Apurímac Quechua,H,Lu,LATIN CAPITAL LETTER H,3677,11,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",1078,600,413,680,630,3,51,7,9,205,1
qve,Latn,qve_Latn,Eastern Apurímac Quechua,',Po,APOSTROPHE,3427,8,"2013,2014,2015,2016,2017,2019,2021,2022",994,559,382,613,561,0,22,0,35,261,0
qve,Latn,qve_Latn,Eastern Apurímac Quechua,b,Ll,LATIN SMALL LETTER B,3314,11,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",950,583,298,570,503,8,115,49,21,211,6
