iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2015_frequency,year_2018_frequency,year_2019_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
qxn,Latn,qxn_Latn,Northern Conchucos Ancash Quechua,a,Ll,LATIN SMALL LETTER A,123834,9,"2013,2014,2015,2018,2019,2021,2022,2023,2024",1171,5887,1696,1119,832,11380,96249,3663,1837
qxn,Latn,qxn_Latn,Northern Conchucos Ancash Quechua, ,Zs,SPACE,75087,9,"2013,2014,2015,2018,2019,2021,2022,2023,2024",758,3868,1028,610,467,7121,57869,2233,1133
qxn,Latn,qxn_Latn,Northern Conchucos Ancash Quechua,n,Ll,LATIN SMALL LETTER N,61664,9,"2013,2014,2015,2018,2019,2021,2022,2023,2024",593,5112,828,441,360,5392,46097,1883,958
qxn,Latn,qxn_Latn,Northern Conchucos Ancash Quechua,i,Ll,LATIN SMALL LETTER I,45873,9,"2013,2014,2015,2018,2019,2021,2022,2023,2024",490,2153,625,380,224,4380,35526,1515,580
qxn,Latn,qxn_Latn,Northern Conchucos Ancash Quechua,u,Ll,LATIN SMALL LETTER U,41881,9,"2013,2014,2015,2018,2019,2021,2022,2023,2024",399,1886,488,422,211,3809,32817,1247,602
qxn,Latn,qxn_Latn,Northern Conchucos Ancash Quechua,c,Ll,LATIN SMALL LETTER C,40019,9,"2013,2014,2015,2018,2019,2021,2022,2023,2024",380,1739,455,316,61,3868,31251,1385,564
qxn,Latn,qxn_Latn,Northern Conchucos Ancash Quechua,s,Ll,LATIN SMALL LETTER S,31488,9,"2013,2014,2015,2018,2019,2021,2022,2023,2024",325,1660,448,257,170,3044,24027,1086,471
qxn,Latn,qxn_Latn,Northern Conchucos Ancash Quechua,y,Ll,LATIN SMALL LETTER Y,28996,9,"2013,2014,2015,2018,2019,2021,2022,2023,2024",242,1241,362,302,196,2718,22672,879,384
qxn,Latn,qxn_Latn,Northern Conchucos Ancash Quechua,r,Ll,LATIN SMALL LETTER R,28799,9,"2013,2014,2015,2018,2019,2021,2022,2023,2024",285,1716,414,194,144,2575,22169,855,447
qxn,Latn,qxn_Latn,Northern Conchucos Ancash Quechua,t,Ll,LATIN SMALL LETTER T,25647,9,"2013,2014,2015,2018,2019,2021,2022,2023,2024",234,1390,312,206,173,2269,19844,798,421
qxn,Latn,qxn_Latn,Northern Conchucos Ancash Quechua,g,Ll,LATIN SMALL LETTER G,25220,8,"2013,2014,2015,2018,2021,2022,2023,2024",262,1208,351,232,0,2375,19731,689,372
qxn,Latn,qxn_Latn,Northern Conchucos Ancash Quechua,m,Ll,LATIN SMALL LETTER M,23847,9,"2013,2014,2015,2018,2019,2021,2022,2023,2024",249,1240,325,200,138,2113,18513,698,371
qxn,Latn,qxn_Latn,Northern Conchucos Ancash Quechua,l,Ll,LATIN SMALL LETTER L,21662,9,"2013,2014,2015,2018,2019,2021,2022,2023,2024",263,933,324,182,110,2149,16800,578,323
qxn,Latn,qxn_Latn,Northern Conchucos Ancash Quechua,p,Ll,LATIN SMALL LETTER P,21558,9,"2013,2014,2015,2018,2019,2021,2022,2023,2024",197,939,282,179,135,1968,16888,677,293
qxn,Latn,qxn_Latn,Northern Conchucos Ancash Quechua,o,Ll,LATIN SMALL LETTER O,14620,9,"2013,2014,2015,2018,2019,2021,2022,2023,2024",119,2299,149,77,38,1256,9990,481,211
qxn,Latn,qxn_Latn,Northern Conchucos Ancash Quechua,e,Ll,LATIN SMALL LETTER E,11166,9,"2013,2014,2015,2018,2019,2021,2022,2023,2024",126,895,143,55,15,975,8391,345,221
qxn,Latn,qxn_Latn,Northern Conchucos Ancash Quechua,h,Ll,LATIN SMALL LETTER H,10418,9,"2013,2014,2015,2018,2019,2021,2022,2023,2024",110,451,166,98,62,957,8143,313,118
qxn,Latn,qxn_Latn,Northern Conchucos Ancash Quechua,ä,Ll,LATIN SMALL LETTER A WITH DIAERESIS,7747,9,"2013,2014,2015,2018,2019,2021,2022,2023,2024",59,264,76,51,59,636,6307,190,105
qxn,Latn,qxn_Latn,Northern Conchucos Ancash Quechua,w,Ll,LATIN SMALL LETTER W,6457,9,"2013,2014,2015,2018,2019,2021,2022,2023,2024",49,315,88,43,32,585,5037,203,105
qxn,Latn,qxn_Latn,Northern Conchucos Ancash Quechua,q,Ll,LATIN SMALL LETTER Q,6255,9,"2013,2014,2015,2018,2019,2021,2022,2023,2024",60,270,81,97,182,521,4839,153,52
qxn,Latn,qxn_Latn,Northern Conchucos Ancash Quechua,.,Po,FULL STOP,6010,9,"2013,2014,2015,2018,2019,2021,2022,2023,2024",45,336,109,68,84,559,4553,162,94
qxn,Latn,qxn_Latn,Northern Conchucos Ancash Quechua,ö,Ll,LATIN SMALL LETTER O WITH DIAERESIS,5911,9,"2013,2014,2015,2018,2019,2021,2022,2023,2024",52,251,86,56,44,591,4549,194,88
qxn,Latn,qxn_Latn,Northern Conchucos Ancash Quechua,",",Po,COMMA,4631,9,"2013,2014,2015,2018,2019,2021,2022,2023,2024",41,194,80,41,10,426,3610,143,86
qxn,Latn,qxn_Latn,Northern Conchucos Ancash Quechua,d,Ll,LATIN SMALL LETTER D,3927,9,"2013,2014,2015,2018,2019,2021,2022,2023,2024",30,229,54,12,13,290,3121,108,70
qxn,Latn,qxn_Latn,Northern Conchucos Ancash Quechua,T,Lu,LATIN CAPITAL LETTER T,3416,9,"2013,2014,2015,2018,2019,2021,2022,2023,2024",19,173,54,29,35,299,2645,115,47
qxn,Latn,qxn_Latn,Northern Conchucos Ancash Quechua,j,Ll,LATIN SMALL LETTER J,3128,9,"2013,2014,2015,2018,2019,2021,2022,2023,2024",19,103,28,23,24,213,2558,100,60
qxn,Latn,qxn_Latn,Northern Conchucos Ancash Quechua,ñ,Ll,LATIN SMALL LETTER N WITH TILDE,2482,9,"2013,2014,2015,2018,2019,2021,2022,2023,2024",27,153,12,17,2,261,1855,104,51
qxn,Latn,qxn_Latn,Northern Conchucos Ancash Quechua,S,Lu,LATIN CAPITAL LETTER S,2316,9,"2013,2014,2015,2018,2019,2021,2022,2023,2024",33,171,19,5,1,273,1668,98,48
qxn,Latn,qxn_Latn,Northern Conchucos Ancash Quechua,D,Lu,LATIN CAPITAL LETTER D,2127,9,"2013,2014,2015,2018,2019,2021,2022,2023,2024",30,102,51,24,27,241,1545,87,20
qxn,Latn,qxn_Latn,Northern Conchucos Ancash Quechua,1,Nd,DIGIT ONE,2096,9,"2013,2014,2015,2018,2019,2021,2022,2023,2024",13,124,19,14,26,275,1531,55,39
qxn,Latn,qxn_Latn,Northern Conchucos Ancash Quechua,P,Lu,LATIN CAPITAL LETTER P,2010,9,"2013,2014,2015,2018,2019,2021,2022,2023,2024",17,82,21,13,6,171,1609,61,30
qxn,Latn,qxn_Latn,Northern Conchucos Ancash Quechua,J,Lu,LATIN CAPITAL LETTER J,1938,9,"2013,2014,2015,2018,2019,2021,2022,2023,2024",23,206,13,4,1,257,1320,68,46
qxn,Latn,qxn_Latn,Northern Conchucos Ancash Quechua,b,Ll,LATIN SMALL LETTER B,1914,9,"2013,2014,2015,2018,2019,2021,2022,2023,2024",34,104,27,6,2,155,1515,48,23
qxn,Latn,qxn_Latn,Northern Conchucos Ancash Quechua,Y,Lu,LATIN CAPITAL LETTER Y,1786,9,"2013,2014,2015,2018,2019,2021,2022,2023,2024",23,77,41,21,28,216,1277,84,19
qxn,Latn,qxn_Latn,Northern Conchucos Ancash Quechua,2,Nd,DIGIT TWO,1408,9,"2013,2014,2015,2018,2019,2021,2022,2023,2024",15,91,18,14,17,134,1064,30,25
qxn,Latn,qxn_Latn,Northern Conchucos Ancash Quechua,:,Po,COLON,1196,9,"2013,2014,2015,2018,2019,2021,2022,2023,2024",13,99,22,9,13,157,848,15,20
qxn,Latn,qxn_Latn,Northern Conchucos Ancash Quechua,ï,Ll,LATIN SMALL LETTER I WITH DIAERESIS,1194,9,"2013,2014,2015,2018,2019,2021,2022,2023,2024",8,63,26,7,2,92,927,36,33
qxn,Latn,qxn_Latn,Northern Conchucos Ancash Quechua,v,Ll,LATIN SMALL LETTER V,1081,8,"2013,2014,2015,2018,2021,2022,2023,2024",14,78,29,6,0,98,816,27,13
qxn,Latn,qxn_Latn,Northern Conchucos Ancash Quechua,f,Ll,LATIN SMALL LETTER F,994,8,"2013,2014,2015,2018,2021,2022,2023,2024",14,54,6,1,0,104,759,45,11
qxn,Latn,qxn_Latn,Northern Conchucos Ancash Quechua,A,Lu,LATIN CAPITAL LETTER A,891,9,"2013,2014,2015,2018,2019,2021,2022,2023,2024",23,63,12,9,5,103,638,25,13
qxn,Latn,qxn_Latn,Northern Conchucos Ancash Quechua,3,Nd,DIGIT THREE,888,9,"2013,2014,2015,2018,2019,2021,2022,2023,2024",3,52,18,9,7,82,686,25,6
qxn,Latn,qxn_Latn,Northern Conchucos Ancash Quechua,“,Pi,LEFT DOUBLE QUOTATION MARK,835,8,"2013,2014,2015,2018,2021,2022,2023,2024",8,81,22,9,0,70,630,3,12
qxn,Latn,qxn_Latn,Northern Conchucos Ancash Quechua,ë,Ll,LATIN SMALL LETTER E WITH DIAERESIS,737,9,"2013,2014,2015,2018,2019,2021,2022,2023,2024",5,36,8,1,8,75,584,15,5
qxn,Latn,qxn_Latn,Northern Conchucos Ancash Quechua,”,Pf,RIGHT DOUBLE QUOTATION MARK,731,8,"2013,2014,2015,2018,2021,2022,2023,2024",8,77,22,1,0,69,540,3,11
qxn,Latn,qxn_Latn,Northern Conchucos Ancash Quechua,C,Lu,LATIN CAPITAL LETTER C,689,9,"2013,2014,2015,2018,2019,2021,2022,2023,2024",4,41,7,4,3,85,521,16,8
qxn,Latn,qxn_Latn,Northern Conchucos Ancash Quechua,M,Lu,LATIN CAPITAL LETTER M,659,9,"2013,2014,2015,2018,2019,2021,2022,2023,2024",11,68,19,11,3,41,480,11,15
qxn,Latn,qxn_Latn,Northern Conchucos Ancash Quechua,4,Nd,DIGIT FOUR,639,9,"2013,2014,2015,2018,2019,2021,2022,2023,2024",3,48,18,4,5,73,467,11,10
qxn,Latn,qxn_Latn,Northern Conchucos Ancash Quechua,5,Nd,DIGIT FIVE,490,9,"2013,2014,2015,2018,2019,2021,2022,2023,2024",3,30,18,3,5,48,365,11,7
qxn,Latn,qxn_Latn,Northern Conchucos Ancash Quechua,6,Nd,DIGIT SIX,462,9,"2013,2014,2015,2018,2019,2021,2022,2023,2024",4,27,18,3,8,45,337,12,8
qxn,Latn,qxn_Latn,Northern Conchucos Ancash Quechua,7,Nd,DIGIT SEVEN,407,9,"2013,2014,2015,2018,2019,2021,2022,2023,2024",3,21,18,3,4,42,299,10,7
qxn,Latn,qxn_Latn,Northern Conchucos Ancash Quechua,8,Nd,DIGIT EIGHT,402,9,"2013,2014,2015,2018,2019,2021,2022,2023,2024",3,26,9,3,3,44,299,9,6
qxn,Latn,qxn_Latn,Northern Conchucos Ancash Quechua,E,Lu,LATIN CAPITAL LETTER E,398,8,"2013,2014,2015,2019,2021,2022,2023,2024",9,39,6,0,1,28,274,33,8
qxn,Latn,qxn_Latn,Northern Conchucos Ancash Quechua,ü,Ll,LATIN SMALL LETTER U WITH DIAERESIS,396,7,"2013,2014,2015,2021,2022,2023,2024",1,13,3,0,0,27,336,10,6
