iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2015_frequency,year_2016_frequency,year_2018_frequency,year_2019_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency
qxo,Latn,qxo_Latn,Southern Conchucos Ancash Quechua,a,Ll,LATIN SMALL LETTER A,80112,9,"2013,2014,2015,2016,2018,2019,2021,2022,2023",1157,1409,764,1293,1063,1421,20963,25609,26433
qxo,Latn,qxo_Latn,Southern Conchucos Ancash Quechua, ,Zs,SPACE,47288,9,"2013,2014,2015,2016,2018,2019,2021,2022,2023",824,862,428,695,547,873,12633,15267,15159
qxo,Latn,qxo_Latn,Southern Conchucos Ancash Quechua,n,Ll,LATIN SMALL LETTER N,38996,9,"2013,2014,2015,2016,2018,2019,2021,2022,2023",583,713,379,640,437,607,10235,12595,12807
qxo,Latn,qxo_Latn,Southern Conchucos Ancash Quechua,i,Ll,LATIN SMALL LETTER I,30253,9,"2013,2014,2015,2016,2018,2019,2021,2022,2023",513,551,218,401,320,398,8644,10225,8983
qxo,Latn,qxo_Latn,Southern Conchucos Ancash Quechua,u,Ll,LATIN SMALL LETTER U,26546,9,"2013,2014,2015,2016,2018,2019,2021,2022,2023",325,442,253,407,379,340,7088,8857,8455
qxo,Latn,qxo_Latn,Southern Conchucos Ancash Quechua,c,Ll,LATIN SMALL LETTER C,25179,9,"2013,2014,2015,2016,2018,2019,2021,2022,2023",265,400,226,379,302,104,7677,7499,8327
qxo,Latn,qxo_Latn,Southern Conchucos Ancash Quechua,y,Ll,LATIN SMALL LETTER Y,21884,9,"2013,2014,2015,2016,2018,2019,2021,2022,2023",185,336,166,331,354,323,6042,7308,6839
qxo,Latn,qxo_Latn,Southern Conchucos Ancash Quechua,s,Ll,LATIN SMALL LETTER S,21249,9,"2013,2014,2015,2016,2018,2019,2021,2022,2023",348,409,211,353,225,307,6025,6946,6425
qxo,Latn,qxo_Latn,Southern Conchucos Ancash Quechua,t,Ll,LATIN SMALL LETTER T,19350,9,"2013,2014,2015,2016,2018,2019,2021,2022,2023",236,370,188,260,248,325,5526,6332,5865
qxo,Latn,qxo_Latn,Southern Conchucos Ancash Quechua,r,Ll,LATIN SMALL LETTER R,16223,9,"2013,2014,2015,2016,2018,2019,2021,2022,2023",362,281,198,266,170,275,4343,4911,5417
qxo,Latn,qxo_Latn,Southern Conchucos Ancash Quechua,m,Ll,LATIN SMALL LETTER M,15789,9,"2013,2014,2015,2016,2018,2019,2021,2022,2023",268,272,141,221,198,265,4020,5038,5366
qxo,Latn,qxo_Latn,Southern Conchucos Ancash Quechua,g,Ll,LATIN SMALL LETTER G,14858,9,"2013,2014,2015,2016,2018,2019,2021,2022,2023",219,316,160,264,157,2,3990,3927,5823
qxo,Latn,qxo_Latn,Southern Conchucos Ancash Quechua,p,Ll,LATIN SMALL LETTER P,14392,9,"2013,2014,2015,2016,2018,2019,2021,2022,2023",213,219,107,251,189,267,3809,4745,4592
qxo,Latn,qxo_Latn,Southern Conchucos Ancash Quechua,l,Ll,LATIN SMALL LETTER L,10820,9,"2013,2014,2015,2016,2018,2019,2021,2022,2023",141,152,84,169,113,157,3143,3641,3220
qxo,Latn,qxo_Latn,Southern Conchucos Ancash Quechua,ä,Ll,LATIN SMALL LETTER A WITH DIAERESIS,7836,9,"2013,2014,2015,2016,2018,2019,2021,2022,2023",40,100,60,107,115,111,2109,2661,2533
qxo,Latn,qxo_Latn,Southern Conchucos Ancash Quechua,o,Ll,LATIN SMALL LETTER O,6681,9,"2013,2014,2015,2016,2018,2019,2021,2022,2023",164,132,43,81,64,60,2278,2016,1843
qxo,Latn,qxo_Latn,Southern Conchucos Ancash Quechua,h,Ll,LATIN SMALL LETTER H,6630,9,"2013,2014,2015,2016,2018,2019,2021,2022,2023",83,96,59,91,78,121,1719,2082,2301
qxo,Latn,qxo_Latn,Southern Conchucos Ancash Quechua,.,Po,FULL STOP,5346,9,"2013,2014,2015,2016,2018,2019,2021,2022,2023",136,108,50,89,64,159,1442,1623,1675
qxo,Latn,qxo_Latn,Southern Conchucos Ancash Quechua,e,Ll,LATIN SMALL LETTER E,4707,9,"2013,2014,2015,2016,2018,2019,2021,2022,2023",128,107,66,96,27,41,1401,1589,1252
qxo,Latn,qxo_Latn,Southern Conchucos Ancash Quechua,q,Ll,LATIN SMALL LETTER Q,4521,9,"2013,2014,2015,2016,2018,2019,2021,2022,2023",18,67,19,62,68,275,935,1923,1154
qxo,Latn,qxo_Latn,Southern Conchucos Ancash Quechua,ö,Ll,LATIN SMALL LETTER O WITH DIAERESIS,4438,9,"2013,2014,2015,2016,2018,2019,2021,2022,2023",30,60,34,65,55,72,1118,1453,1551
qxo,Latn,qxo_Latn,Southern Conchucos Ancash Quechua,w,Ll,LATIN SMALL LETTER W,3993,9,"2013,2014,2015,2016,2018,2019,2021,2022,2023",66,66,32,80,29,48,1145,1289,1238
qxo,Latn,qxo_Latn,Southern Conchucos Ancash Quechua,T,Lu,LATIN CAPITAL LETTER T,3735,9,"2013,2014,2015,2016,2018,2019,2021,2022,2023",33,70,31,53,50,102,1054,1193,1149
qxo,Latn,qxo_Latn,Southern Conchucos Ancash Quechua,D,Lu,LATIN CAPITAL LETTER D,1675,9,"2013,2014,2015,2016,2018,2019,2021,2022,2023",29,37,7,15,27,40,527,598,395
qxo,Latn,qxo_Latn,Southern Conchucos Ancash Quechua,1,Nd,DIGIT ONE,1667,9,"2013,2014,2015,2016,2018,2019,2021,2022,2023",30,44,22,40,14,51,550,504,412
qxo,Latn,qxo_Latn,Southern Conchucos Ancash Quechua,k,Ll,LATIN SMALL LETTER K,1601,3,"2019,2022,2023",0,0,0,0,0,381,0,1218,2
qxo,Latn,qxo_Latn,Southern Conchucos Ancash Quechua,j,Ll,LATIN SMALL LETTER J,1570,9,"2013,2014,2015,2016,2018,2019,2021,2022,2023",18,17,19,26,20,61,315,550,544
qxo,Latn,qxo_Latn,Southern Conchucos Ancash Quechua,J,Lu,LATIN CAPITAL LETTER J,1567,9,"2013,2014,2015,2016,2018,2019,2021,2022,2023",70,62,24,48,3,8,475,491,386
qxo,Latn,qxo_Latn,Southern Conchucos Ancash Quechua,d,Ll,LATIN SMALL LETTER D,1445,9,"2013,2014,2015,2016,2018,2019,2021,2022,2023",60,30,14,27,11,30,306,539,428
qxo,Latn,qxo_Latn,Southern Conchucos Ancash Quechua,2,Nd,DIGIT TWO,951,9,"2013,2014,2015,2016,2018,2019,2021,2022,2023",20,20,14,27,14,36,284,279,257
qxo,Latn,qxo_Latn,Southern Conchucos Ancash Quechua,ñ,Ll,LATIN SMALL LETTER N WITH TILDE,909,9,"2013,2014,2015,2016,2018,2019,2021,2022,2023",3,4,5,9,19,3,337,290,239
qxo,Latn,qxo_Latn,Southern Conchucos Ancash Quechua,",",Po,COMMA,873,9,"2013,2014,2015,2016,2018,2019,2021,2022,2023",16,23,11,13,9,13,260,260,268
qxo,Latn,qxo_Latn,Southern Conchucos Ancash Quechua,S,Lu,LATIN CAPITAL LETTER S,770,8,"2013,2014,2015,2016,2018,2021,2022,2023",28,11,1,5,4,0,307,258,156
qxo,Latn,qxo_Latn,Southern Conchucos Ancash Quechua,P,Lu,LATIN CAPITAL LETTER P,729,9,"2013,2014,2015,2016,2018,2019,2021,2022,2023",8,24,4,11,6,9,269,203,195
qxo,Latn,qxo_Latn,Southern Conchucos Ancash Quechua,ï,Ll,LATIN SMALL LETTER I WITH DIAERESIS,722,8,"2014,2015,2016,2018,2019,2021,2022,2023",0,18,17,13,3,4,97,252,318
qxo,Latn,qxo_Latn,Southern Conchucos Ancash Quechua,“,Pi,LEFT DOUBLE QUOTATION MARK,706,8,"2013,2014,2015,2016,2018,2021,2022,2023",7,30,13,15,13,0,85,210,333
qxo,Latn,qxo_Latn,Southern Conchucos Ancash Quechua,b,Ll,LATIN SMALL LETTER B,674,9,"2013,2014,2015,2016,2018,2019,2021,2022,2023",59,12,2,6,5,3,253,162,172
qxo,Latn,qxo_Latn,Southern Conchucos Ancash Quechua,”,Pf,RIGHT DOUBLE QUOTATION MARK,673,8,"2013,2014,2015,2016,2018,2021,2022,2023",6,30,13,15,13,0,85,178,333
qxo,Latn,qxo_Latn,Southern Conchucos Ancash Quechua,:,Po,COLON,591,9,"2013,2014,2015,2016,2018,2019,2021,2022,2023",8,27,11,15,4,16,91,178,241
qxo,Latn,qxo_Latn,Southern Conchucos Ancash Quechua,v,Ll,LATIN SMALL LETTER V,583,9,"2013,2014,2015,2016,2018,2019,2021,2022,2023",30,22,15,4,3,2,158,194,155
qxo,Latn,qxo_Latn,Southern Conchucos Ancash Quechua,3,Nd,DIGIT THREE,570,9,"2013,2014,2015,2016,2018,2019,2021,2022,2023",6,20,5,18,9,12,142,188,170
qxo,Latn,qxo_Latn,Southern Conchucos Ancash Quechua,M,Lu,LATIN CAPITAL LETTER M,533,9,"2013,2014,2015,2016,2018,2019,2021,2022,2023",32,20,8,17,5,5,106,184,156
qxo,Latn,qxo_Latn,Southern Conchucos Ancash Quechua,ë,Ll,LATIN SMALL LETTER E WITH DIAERESIS,520,9,"2013,2014,2015,2016,2018,2019,2021,2022,2023",7,14,7,9,5,13,98,131,236
qxo,Latn,qxo_Latn,Southern Conchucos Ancash Quechua,4,Nd,DIGIT FOUR,498,9,"2013,2014,2015,2016,2018,2019,2021,2022,2023",8,19,8,19,4,11,123,145,161
qxo,Latn,qxo_Latn,Southern Conchucos Ancash Quechua,C,Lu,LATIN CAPITAL LETTER C,455,9,"2013,2014,2015,2016,2018,2019,2021,2022,2023",2,5,9,6,8,6,153,118,148
qxo,Latn,qxo_Latn,Southern Conchucos Ancash Quechua,N,Lu,LATIN CAPITAL LETTER N,452,9,"2013,2014,2015,2016,2018,2019,2021,2022,2023",6,14,2,9,1,9,92,112,207
qxo,Latn,qxo_Latn,Southern Conchucos Ancash Quechua,f,Ll,LATIN SMALL LETTER F,408,9,"2013,2014,2015,2016,2018,2019,2021,2022,2023",7,7,10,6,6,2,85,161,124
qxo,Latn,qxo_Latn,Southern Conchucos Ancash Quechua,A,Lu,LATIN CAPITAL LETTER A,387,9,"2013,2014,2015,2016,2018,2019,2021,2022,2023",53,7,2,4,1,15,87,83,135
qxo,Latn,qxo_Latn,Southern Conchucos Ancash Quechua,5,Nd,DIGIT FIVE,366,9,"2013,2014,2015,2016,2018,2019,2021,2022,2023",6,11,5,9,3,10,102,111,109
qxo,Latn,qxo_Latn,Southern Conchucos Ancash Quechua,I,Lu,LATIN CAPITAL LETTER I,352,9,"2013,2014,2015,2016,2018,2019,2021,2022,2023",8,5,7,7,8,2,86,136,93
qxo,Latn,qxo_Latn,Southern Conchucos Ancash Quechua,6,Nd,DIGIT SIX,337,9,"2013,2014,2015,2016,2018,2019,2021,2022,2023",4,5,5,11,3,14,103,101,91
qxo,Latn,qxo_Latn,Southern Conchucos Ancash Quechua,ü,Ll,LATIN SMALL LETTER U WITH DIAERESIS,335,9,"2013,2014,2015,2016,2018,2019,2021,2022,2023",2,1,4,1,2,5,91,151,78
qxo,Latn,qxo_Latn,Southern Conchucos Ancash Quechua,7,Nd,DIGIT SEVEN,326,9,"2013,2014,2015,2016,2018,2019,2021,2022,2023",4,10,3,5,3,8,93,93,107
qxo,Latn,qxo_Latn,Southern Conchucos Ancash Quechua,-,Pd,HYPHEN-MINUS,321,7,"2014,2015,2016,2019,2021,2022,2023",0,5,2,8,0,3,163,81,59
qxo,Latn,qxo_Latn,Southern Conchucos Ancash Quechua,G,Lu,LATIN CAPITAL LETTER G,314,9,"2013,2014,2015,2016,2018,2019,2021,2022,2023",3,3,2,4,9,3,80,99,111
qxo,Latn,qxo_Latn,Southern Conchucos Ancash Quechua,0,Nd,DIGIT ZERO,305,9,"2013,2014,2015,2016,2018,2019,2021,2022,2023",6,9,2,11,3,10,75,87,102
qxo,Latn,qxo_Latn,Southern Conchucos Ancash Quechua,8,Nd,DIGIT EIGHT,294,9,"2013,2014,2015,2016,2018,2019,2021,2022,2023",4,8,3,10,2,6,90,88,83
qxo,Latn,qxo_Latn,Southern Conchucos Ancash Quechua,E,Lu,LATIN CAPITAL LETTER E,269,7,"2013,2014,2016,2019,2021,2022,2023",33,8,0,6,0,7,90,72,53
qxo,Latn,qxo_Latn,Southern Conchucos Ancash Quechua,9,Nd,DIGIT NINE,264,9,"2013,2014,2015,2016,2018,2019,2021,2022,2023",4,6,3,8,3,10,72,80,78
qxo,Latn,qxo_Latn,Southern Conchucos Ancash Quechua,z,Ll,LATIN SMALL LETTER Z,234,8,"2013,2014,2016,2018,2019,2021,2022,2023",26,10,0,3,2,4,45,77,67
qxo,Latn,qxo_Latn,Southern Conchucos Ancash Quechua,W,Lu,LATIN CAPITAL LETTER W,196,9,"2013,2014,2015,2016,2018,2019,2021,2022,2023",2,6,3,3,2,1,50,76,53
qxo,Latn,qxo_Latn,Southern Conchucos Ancash Quechua,¿,Po,INVERTED QUESTION MARK,190,7,"2014,2015,2016,2018,2021,2022,2023",0,11,4,10,9,0,13,65,78
qxo,Latn,qxo_Latn,Southern Conchucos Ancash Quechua,?,Po,QUESTION MARK,190,7,"2014,2015,2016,2018,2021,2022,2023",0,11,4,10,9,0,13,65,78
qxo,Latn,qxo_Latn,Southern Conchucos Ancash Quechua,L,Lu,LATIN CAPITAL LETTER L,189,6,"2014,2015,2019,2021,2022,2023",0,3,1,0,0,4,52,79,50
qxo,Latn,qxo_Latn,Southern Conchucos Ancash Quechua,),Pe,RIGHT PARENTHESIS,179,7,"2013,2014,2015,2016,2021,2022,2023",2,1,2,6,0,0,77,32,59
qxo,Latn,qxo_Latn,Southern Conchucos Ancash Quechua,(,Ps,LEFT PARENTHESIS,179,7,"2013,2014,2015,2016,2021,2022,2023",2,1,2,6,0,0,77,32,59
qxo,Latn,qxo_Latn,Southern Conchucos Ancash Quechua,R,Lu,LATIN CAPITAL LETTER R,166,9,"2013,2014,2015,2016,2018,2019,2021,2022,2023",11,3,2,7,3,2,38,46,54
qxo,Latn,qxo_Latn,Southern Conchucos Ancash Quechua,!,Po,EXCLAMATION MARK,159,8,"2013,2014,2015,2016,2019,2021,2022,2023",1,7,3,3,0,2,20,41,82
qxo,Latn,qxo_Latn,Southern Conchucos Ancash Quechua,¡,Po,INVERTED EXCLAMATION MARK,158,7,"2014,2015,2016,2019,2021,2022,2023",0,7,3,3,0,2,20,41,82
