iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
rcf,Latn,rcf_Latn,Réunion Creole French, ,Zs,SPACE,1800688,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",2693,3560,610377,412519,220078,166459,173077,104654,46102,30963,30206
rcf,Latn,rcf_Latn,Réunion Creole French,a,Ll,LATIN SMALL LETTER A,760204,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",1158,1545,256019,173652,90586,69765,73251,44781,20985,13388,15074
rcf,Latn,rcf_Latn,Réunion Creole French,n,Ll,LATIN SMALL LETTER N,737821,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",1084,1743,250764,169644,87433,68062,70379,42615,19179,12664,14254
rcf,Latn,rcf_Latn,Réunion Creole French,o,Ll,LATIN SMALL LETTER O,632036,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",1029,1264,212458,144861,74597,58829,63512,35939,16944,10780,11823
rcf,Latn,rcf_Latn,Réunion Creole French,i,Ll,LATIN SMALL LETTER I,607878,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",952,1232,207991,138191,72454,56465,58546,35993,14769,10347,10938
rcf,Latn,rcf_Latn,Réunion Creole French,é,Ll,LATIN SMALL LETTER E WITH ACUTE,393760,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",509,745,132145,88858,48048,38117,38399,24882,9233,6246,6578
rcf,Latn,rcf_Latn,Réunion Creole French,r,Ll,LATIN SMALL LETTER R,386146,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",654,840,129443,87606,45734,34966,38120,21452,11356,7960,8015
rcf,Latn,rcf_Latn,Réunion Creole French,l,Ll,LATIN SMALL LETTER L,385385,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",536,879,127743,87339,45758,35348,37993,22763,10873,7364,8789
rcf,Latn,rcf_Latn,Réunion Creole French,s,Ll,LATIN SMALL LETTER S,348873,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",534,851,115531,78372,40947,31627,33495,23111,9732,7150,7523
rcf,Latn,rcf_Latn,Réunion Creole French,t,Ll,LATIN SMALL LETTER T,314131,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",608,820,101848,70234,37362,29497,33783,18165,9134,6389,6291
rcf,Latn,rcf_Latn,Réunion Creole French,p,Ll,LATIN SMALL LETTER P,260129,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",343,483,89893,59074,31261,24254,25332,15342,5735,4120,4292
rcf,Latn,rcf_Latn,Réunion Creole French,m,Ll,LATIN SMALL LETTER M,219830,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",334,449,72518,48721,26845,21043,21782,14000,6528,3824,3786
rcf,Latn,rcf_Latn,Réunion Creole French,k,Ll,LATIN SMALL LETTER K,216401,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",276,480,74067,50232,25473,19155,19805,13184,5326,3873,4530
rcf,Latn,rcf_Latn,Réunion Creole French,u,Ll,LATIN SMALL LETTER U,199627,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",417,484,63773,45156,24446,18286,20735,11154,7440,5031,2705
rcf,Latn,rcf_Latn,Réunion Creole French,d,Ll,LATIN SMALL LETTER D,184247,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",281,282,60777,41646,22067,16889,18746,11535,4956,3583,3485
rcf,Latn,rcf_Latn,Réunion Creole French,e,Ll,LATIN SMALL LETTER E,145297,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",345,310,29777,27883,20562,13666,20260,10884,8569,7102,5939
rcf,Latn,rcf_Latn,Réunion Creole French,è,Ll,LATIN SMALL LETTER E WITH GRAVE,134674,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",157,366,47542,31385,15971,12683,12103,7627,2416,2032,2392
rcf,Latn,rcf_Latn,Réunion Creole French,z,Ll,LATIN SMALL LETTER Z,119196,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",202,332,39383,27576,13677,11332,12813,7458,2778,1713,1932
rcf,Latn,rcf_Latn,Réunion Creole French,",",Po,COMMA,114259,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",175,196,46337,26016,10257,8691,8625,5690,3224,2388,2660
rcf,Latn,rcf_Latn,Réunion Creole French,v,Ll,LATIN SMALL LETTER V,104050,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",193,229,34163,23643,13239,9910,9998,6109,2740,1935,1891
rcf,Latn,rcf_Latn,Réunion Creole French,.,Po,FULL STOP,93465,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",175,239,33959,21956,10952,7687,6966,5239,2851,1779,1662
rcf,Latn,rcf_Latn,Réunion Creole French,b,Ll,LATIN SMALL LETTER B,91812,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",129,309,30130,21188,11333,8133,8859,5052,2461,1920,2298
rcf,Latn,rcf_Latn,Réunion Creole French,f,Ll,LATIN SMALL LETTER F,81646,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",101,130,26851,18344,10021,7857,8313,4804,2280,1550,1395
rcf,Latn,rcf_Latn,Réunion Creole French,y,Ll,LATIN SMALL LETTER Y,78639,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",91,207,27168,18274,8945,7657,6948,4697,2028,1251,1373
rcf,Latn,rcf_Latn,Réunion Creole French,’,Pf,RIGHT SINGLE QUOTATION MARK,63962,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",59,1,24854,15113,7920,5058,4282,2989,1424,1653,609
rcf,Latn,rcf_Latn,Réunion Creole French,g,Ll,LATIN SMALL LETTER G,51131,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",85,135,17238,11423,5783,4649,4897,2803,1876,1084,1158
rcf,Latn,rcf_Latn,Réunion Creole French,h,Ll,LATIN SMALL LETTER H,29292,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",55,29,9746,6268,3896,2872,2662,1662,793,790,519
rcf,Latn,rcf_Latn,Réunion Creole French,-,Pd,HYPHEN-MINUS,24766,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",57,108,8826,4804,2138,1985,1639,1376,1254,1070,1509
