iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency
rej,Latn,rej_Latn,Rejang, ,Zs,SPACE,74743,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",399,189,8891,10051,591,205,29047,227,25143
rej,Latn,rej_Latn,Rejang,a,Ll,LATIN SMALL LETTER A,45128,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",261,101,5084,5773,385,120,17227,133,16044
rej,Latn,rej_Latn,Rejang,i,Ll,LATIN SMALL LETTER I,32450,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",128,50,2993,3326,264,85,13862,110,11632
rej,Latn,rej_Latn,Rejang,e,Ll,LATIN SMALL LETTER E,32274,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",321,153,4189,4794,229,60,12430,121,9977
rej,Latn,rej_Latn,Rejang,o,Ll,LATIN SMALL LETTER O,29924,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",75,46,2469,3199,207,59,13500,68,10301
rej,Latn,rej_Latn,Rejang,n,Ll,LATIN SMALL LETTER N,29063,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",173,78,3672,4000,258,90,10793,92,9907
rej,Latn,rej_Latn,Rejang,t,Ll,LATIN SMALL LETTER T,25197,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",73,21,1376,1652,235,41,11487,46,10266
rej,Latn,rej_Latn,Rejang,s,Ll,LATIN SMALL LETTER S,24882,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",66,27,1079,1498,204,44,11864,47,10053
rej,Latn,rej_Latn,Rejang,u,Ll,LATIN SMALL LETTER U,21155,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",84,33,2090,2385,170,61,8630,49,7653
rej,Latn,rej_Latn,Rejang,k,Ll,LATIN SMALL LETTER K,18291,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",132,53,2759,2995,126,45,6361,67,5753
rej,Latn,rej_Latn,Rejang,ê,Ll,LATIN SMALL LETTER E WITH CIRCUMFLEX,11938,6,"2017,2018,2019,2020,2021,2022",0,0,0,59,93,72,6000,52,5662
rej,Latn,rej_Latn,Rejang,p,Ll,LATIN SMALL LETTER P,11466,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",53,21,623,667,94,21,5402,26,4559
rej,Latn,rej_Latn,Rejang,r,Ll,LATIN SMALL LETTER R,10988,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",37,15,451,643,90,21,4757,27,4947
rej,Latn,rej_Latn,Rejang,m,Ll,LATIN SMALL LETTER M,10511,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",46,29,1414,1612,103,53,4015,53,3186
rej,Latn,rej_Latn,Rejang,l,Ll,LATIN SMALL LETTER L,9390,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",72,27,1084,1235,69,35,3734,39,3095
rej,Latn,rej_Latn,Rejang,ô,Ll,LATIN SMALL LETTER O WITH CIRCUMFLEX,8554,4,"2017,2018,2020,2022",0,0,0,42,73,0,4112,0,4327
rej,Latn,rej_Latn,Rejang,h,Ll,LATIN SMALL LETTER H,7303,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",47,32,23,359,59,6,3995,11,2771
rej,Latn,rej_Latn,Rejang,d,Ll,LATIN SMALL LETTER D,6843,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",83,38,1137,1542,68,32,2175,36,1732
rej,Latn,rej_Latn,Rejang,g,Ll,LATIN SMALL LETTER G,6266,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",76,25,1166,1083,73,46,2342,37,1418
rej,Latn,rej_Latn,Rejang,b,Ll,LATIN SMALL LETTER B,4129,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",58,22,856,1092,56,31,1220,33,761
rej,Latn,rej_Latn,Rejang,c,Ll,LATIN SMALL LETTER C,2432,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",20,16,320,328,24,6,970,5,743
rej,Latn,rej_Latn,Rejang,.,Po,FULL STOP,2325,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",28,14,1096,934,15,17,200,18,3
rej,Latn,rej_Latn,Rejang,",",Po,COMMA,1599,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",22,10,660,755,13,19,98,20,2
rej,Latn,rej_Latn,Rejang,é,Ll,LATIN SMALL LETTER E WITH ACUTE,1448,2,"2016,2017",0,0,975,473,0,0,0,0,0
rej,Latn,rej_Latn,Rejang,1,Nd,DIGIT ONE,1260,6,"2013,2016,2017,2018,2020,2022",1,0,7,77,11,0,655,0,509
rej,Latn,rej_Latn,Rejang,j,Ll,LATIN SMALL LETTER J,1240,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",43,19,572,475,18,11,74,25,3
rej,Latn,rej_Latn,Rejang,x,Ll,LATIN SMALL LETTER X,1083,4,"2017,2018,2020,2022",0,0,0,2,4,0,582,0,495
rej,Latn,rej_Latn,Rejang,y,Ll,LATIN SMALL LETTER Y,970,8,"2013,2014,2016,2017,2018,2019,2020,2021",43,14,383,377,12,13,119,9,0
rej,Latn,rej_Latn,Rejang,A,Lu,LATIN CAPITAL LETTER A,942,8,"2013,2016,2017,2018,2019,2020,2021,2022",6,0,147,282,2,4,198,6,297
rej,Latn,rej_Latn,Rejang,2,Nd,DIGIT TWO,876,5,"2016,2017,2018,2020,2022",0,0,3,37,2,0,388,0,446
rej,Latn,rej_Latn,Rejang,I,Lu,LATIN CAPITAL LETTER I,753,8,"2013,2014,2016,2017,2018,2019,2020,2022",2,2,65,43,1,2,267,0,371
rej,Latn,rej_Latn,Rejang,S,Lu,LATIN CAPITAL LETTER S,672,7,"2014,2016,2017,2018,2019,2020,2022",0,1,175,207,1,2,146,0,140
rej,Latn,rej_Latn,Rejang,M,Lu,LATIN CAPITAL LETTER M,663,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",5,2,144,67,2,5,61,6,371
rej,Latn,rej_Latn,Rejang,w,Ll,LATIN SMALL LETTER W,568,7,"2013,2014,2016,2017,2018,2019,2020",25,7,179,247,9,7,94,0,0
rej,Latn,rej_Latn,Rejang,3,Nd,DIGIT THREE,557,6,"2013,2016,2017,2018,2020,2022",1,0,2,29,20,0,188,0,317
rej,Latn,rej_Latn,Rejang,B,Lu,LATIN CAPITAL LETTER B,540,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",9,3,205,72,2,3,99,8,139
rej,Latn,rej_Latn,Rejang,”,Pf,RIGHT DOUBLE QUOTATION MARK,455,2,"2016,2017",0,0,263,192,0,0,0,0,0
rej,Latn,rej_Latn,Rejang,“,Pi,LEFT DOUBLE QUOTATION MARK,450,2,"2016,2017",0,0,259,191,0,0,0,0,0
rej,Latn,rej_Latn,Rejang,K,Lu,LATIN CAPITAL LETTER K,447,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",5,3,199,116,3,7,55,6,53
rej,Latn,rej_Latn,Rejang,4,Nd,DIGIT FOUR,398,5,"2016,2017,2018,2020,2022",0,0,4,16,2,0,154,0,222
rej,Latn,rej_Latn,Rejang,’,Pf,RIGHT SINGLE QUOTATION MARK,391,3,"2016,2017,2020",0,0,193,194,0,0,4,0,0
rej,Latn,rej_Latn,Rejang,z,Ll,LATIN SMALL LETTER Z,356,6,"2016,2017,2018,2019,2020,2022",0,0,1,6,1,1,219,0,128
rej,Latn,rej_Latn,Rejang,T,Lu,LATIN CAPITAL LETTER T,347,8,"2013,2014,2016,2017,2018,2019,2020,2022",7,1,150,125,6,1,45,0,12
rej,Latn,rej_Latn,Rejang,5,Nd,DIGIT FIVE,339,5,"2016,2017,2018,2020,2022",0,0,2,14,2,0,147,0,174
rej,Latn,rej_Latn,Rejang,N,Lu,LATIN CAPITAL LETTER N,315,5,"2016,2017,2018,2020,2022",0,0,106,132,1,0,21,0,55
rej,Latn,rej_Latn,Rejang,6,Nd,DIGIT SIX,301,6,"2013,2016,2017,2018,2020,2022",1,0,2,15,2,0,136,0,145
rej,Latn,rej_Latn,Rejang,U,Lu,LATIN CAPITAL LETTER U,295,7,"2014,2016,2017,2018,2019,2020,2022",0,2,183,93,1,3,12,0,1
rej,Latn,rej_Latn,Rejang,-,Pd,HYPHEN-MINUS,291,8,"2013,2014,2016,2017,2018,2019,2020,2021",3,2,89,109,1,8,78,1,0
rej,Latn,rej_Latn,Rejang,7,Nd,DIGIT SEVEN,272,5,"2016,2017,2018,2020,2022",0,0,3,12,2,0,122,0,133
rej,Latn,rej_Latn,Rejang,8,Nd,DIGIT EIGHT,268,6,"2013,2016,2017,2018,2020,2022",1,0,2,13,2,0,118,0,132
rej,Latn,rej_Latn,Rejang,9,Nd,DIGIT NINE,251,5,"2016,2017,2018,2020,2022",0,0,2,14,1,0,114,0,120
rej,Latn,rej_Latn,Rejang,D,Lu,LATIN CAPITAL LETTER D,248,7,"2016,2017,2018,2019,2020,2021,2022",0,0,104,64,2,1,48,1,28
rej,Latn,rej_Latn,Rejang,0,Nd,DIGIT ZERO,245,5,"2016,2017,2018,2020,2022",0,0,3,14,1,0,112,0,115
rej,Latn,rej_Latn,Rejang,E,Lu,LATIN CAPITAL LETTER E,235,7,"2016,2017,2018,2019,2020,2021,2022",0,0,11,17,3,1,68,1,134
rej,Latn,rej_Latn,Rejang,R,Lu,LATIN CAPITAL LETTER R,225,6,"2016,2017,2018,2019,2020,2022",0,0,54,105,1,1,22,0,42
rej,Latn,rej_Latn,Rejang,P,Lu,LATIN CAPITAL LETTER P,214,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",1,1,95,25,2,2,41,2,45
rej,Latn,rej_Latn,Rejang,L,Lu,LATIN CAPITAL LETTER L,203,8,"2013,2014,2016,2017,2018,2019,2020,2022",1,2,35,23,7,3,54,0,78
rej,Latn,rej_Latn,Rejang,C,Lu,LATIN CAPITAL LETTER C,196,8,"2013,2014,2016,2017,2018,2019,2020,2022",1,1,67,39,2,1,31,0,54
rej,Latn,rej_Latn,Rejang,G,Lu,LATIN CAPITAL LETTER G,173,7,"2013,2014,2016,2017,2018,2020,2022",2,2,36,30,3,0,26,0,74
rej,Latn,rej_Latn,Rejang,J,Lu,LATIN CAPITAL LETTER J,171,6,"2016,2017,2018,2019,2020,2021",0,0,57,60,9,9,30,6,0
rej,Latn,rej_Latn,Rejang,W,Lu,LATIN CAPITAL LETTER W,133,8,"2013,2014,2016,2017,2018,2019,2020,2021",21,8,34,37,5,3,13,12,0
rej,Latn,rej_Latn,Rejang,',Po,APOSTROPHE,130,4,"2017,2018,2019,2020",0,0,0,66,4,8,52,0,0
rej,Latn,rej_Latn,Rejang,?,Po,QUESTION MARK,127,3,"2016,2017,2018",0,0,61,65,1,0,0,0,0
rej,Latn,rej_Latn,Rejang,!,Po,EXCLAMATION MARK,117,2,"2016,2017",0,0,71,46,0,0,0,0,0
rej,Latn,rej_Latn,Rejang,:,Po,COLON,90,6,"2016,2017,2018,2019,2020,2022",0,0,7,33,18,1,28,0,3
