iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2014_frequency,year_2015_frequency,year_2016_frequency,year_2019_frequency,year_2022_frequency,year_2023_frequency
rkb,Latn,rkb_Latn,Rikbaktsa,a,Ll,LATIN SMALL LETTER A,132889,6,"2014,2015,2016,2019,2022,2023",1336,1078,665,42407,86810,593
rkb,Latn,rkb_Latn,Rikbaktsa, ,Zs,SPACE,116683,6,"2014,2015,2016,2019,2022,2023",1335,906,640,36603,76773,426
rkb,Latn,rkb_Latn,Rikbaktsa,i,Ll,LATIN SMALL LETTER I,66389,6,"2014,2015,2016,2019,2022,2023",818,493,362,19459,45009,248
rkb,Latn,rkb_Latn,Rikbaktsa,s,Ll,LATIN SMALL LETTER S,58336,6,"2014,2015,2016,2019,2022,2023",580,422,276,18905,37858,295
rkb,Latn,rkb_Latn,Rikbaktsa,y,Ll,LATIN SMALL LETTER Y,54658,6,"2014,2015,2016,2019,2022,2023",594,417,299,17648,35532,168
rkb,Latn,rkb_Latn,Rikbaktsa,t,Ll,LATIN SMALL LETTER T,53615,6,"2014,2015,2016,2019,2022,2023",582,389,289,16875,35244,236
rkb,Latn,rkb_Latn,Rikbaktsa,k,Ll,LATIN SMALL LETTER K,50599,6,"2014,2015,2016,2019,2022,2023",518,429,263,15272,33908,209
rkb,Latn,rkb_Latn,Rikbaktsa,h,Ll,LATIN SMALL LETTER H,43514,6,"2014,2015,2016,2019,2022,2023",397,335,235,13969,28369,209
rkb,Latn,rkb_Latn,Rikbaktsa,u,Ll,LATIN SMALL LETTER U,35106,6,"2014,2015,2016,2019,2022,2023",444,275,216,11037,22987,147
rkb,Latn,rkb_Latn,Rikbaktsa,o,Ll,LATIN SMALL LETTER O,33756,6,"2014,2015,2016,2019,2022,2023",324,304,170,9652,23143,163
rkb,Latn,rkb_Latn,Rikbaktsa,r,Ll,LATIN SMALL LETTER R,30992,6,"2014,2015,2016,2019,2022,2023",311,223,158,9517,20680,103
rkb,Latn,rkb_Latn,Rikbaktsa,e,Ll,LATIN SMALL LETTER E,30948,6,"2014,2015,2016,2019,2022,2023",365,257,183,9530,20491,122
rkb,Latn,rkb_Latn,Rikbaktsa,n,Ll,LATIN SMALL LETTER N,28851,6,"2014,2015,2016,2019,2022,2023",354,308,215,7708,20144,122
rkb,Latn,rkb_Latn,Rikbaktsa,m,Ll,LATIN SMALL LETTER M,23043,6,"2014,2015,2016,2019,2022,2023",219,127,89,8701,13803,104
rkb,Latn,rkb_Latn,Rikbaktsa,z,Ll,LATIN SMALL LETTER Z,21958,6,"2014,2015,2016,2019,2022,2023",264,180,151,6411,14867,85
rkb,Latn,rkb_Latn,Rikbaktsa,b,Ll,LATIN SMALL LETTER B,20252,6,"2014,2015,2016,2019,2022,2023",216,183,103,6448,13246,56
rkb,Latn,rkb_Latn,Rikbaktsa,.,Po,FULL STOP,17175,6,"2014,2015,2016,2019,2022,2023",243,164,97,4494,12115,62
rkb,Latn,rkb_Latn,Rikbaktsa,p,Ll,LATIN SMALL LETTER P,16371,6,"2014,2015,2016,2019,2022,2023",194,130,86,5022,10894,45
rkb,Latn,rkb_Latn,Rikbaktsa,w,Ll,LATIN SMALL LETTER W,14321,6,"2014,2015,2016,2019,2022,2023",137,94,73,4751,9195,71
rkb,Latn,rkb_Latn,Rikbaktsa,S,Lu,LATIN CAPITAL LETTER S,4863,6,"2014,2015,2016,2019,2022,2023",77,48,31,1091,3596,20
rkb,Latn,rkb_Latn,Rikbaktsa,D,Lu,LATIN CAPITAL LETTER D,4420,6,"2014,2015,2016,2019,2022,2023",58,27,16,1755,2538,26
rkb,Latn,rkb_Latn,Rikbaktsa,ẽ,Ll,LATIN SMALL LETTER E WITH TILDE,4243,6,"2014,2015,2016,2019,2022,2023",41,25,24,1429,2701,23
rkb,Latn,rkb_Latn,Rikbaktsa,—,Pd,EM DASH,4237,6,"2014,2015,2016,2019,2022,2023",91,40,32,1228,2842,4
rkb,Latn,rkb_Latn,Rikbaktsa,I,Lu,LATIN CAPITAL LETTER I,4162,6,"2014,2015,2016,2019,2022,2023",64,46,18,1117,2903,14
rkb,Latn,rkb_Latn,Rikbaktsa,A,Lu,LATIN CAPITAL LETTER A,3592,6,"2014,2015,2016,2019,2022,2023",47,22,13,1120,2386,4
rkb,Latn,rkb_Latn,Rikbaktsa,d,Ll,LATIN SMALL LETTER D,3108,6,"2014,2015,2016,2019,2022,2023",23,19,20,808,2235,3
rkb,Latn,rkb_Latn,Rikbaktsa,K,Lu,LATIN CAPITAL LETTER K,2572,6,"2014,2015,2016,2019,2022,2023",25,17,19,865,1637,9
rkb,Latn,rkb_Latn,Rikbaktsa,:,Po,COLON,1867,6,"2014,2015,2016,2019,2022,2023",28,20,10,563,1244,2
rkb,Latn,rkb_Latn,Rikbaktsa,ỹ,Ll,LATIN SMALL LETTER Y WITH TILDE,1764,6,"2014,2015,2016,2019,2022,2023",13,1,8,781,957,4
rkb,Latn,rkb_Latn,Rikbaktsa,1,Nd,DIGIT ONE,1690,6,"2014,2015,2016,2019,2022,2023",17,16,13,545,1096,3
rkb,Latn,rkb_Latn,Rikbaktsa,2,Nd,DIGIT TWO,1389,6,"2014,2015,2016,2019,2022,2023",14,17,10,372,975,1
rkb,Latn,rkb_Latn,Rikbaktsa,T,Lu,LATIN CAPITAL LETTER T,1358,6,"2014,2015,2016,2019,2022,2023",25,12,5,314,994,8
rkb,Latn,rkb_Latn,Rikbaktsa,j,Ll,LATIN SMALL LETTER J,1292,5,"2014,2015,2016,2019,2022",18,14,6,376,878,0
rkb,Latn,rkb_Latn,Rikbaktsa,",",Po,COMMA,1208,6,"2014,2015,2016,2019,2022,2023",11,8,7,513,667,2
rkb,Latn,rkb_Latn,Rikbaktsa,P,Lu,LATIN CAPITAL LETTER P,1159,6,"2014,2015,2016,2019,2022,2023",13,5,9,124,1003,5
rkb,Latn,rkb_Latn,Rikbaktsa,M,Lu,LATIN CAPITAL LETTER M,1069,6,"2014,2015,2016,2019,2022,2023",14,8,5,396,642,4
rkb,Latn,rkb_Latn,Rikbaktsa,O,Lu,LATIN CAPITAL LETTER O,1059,6,"2014,2015,2016,2019,2022,2023",15,9,4,310,719,2
rkb,Latn,rkb_Latn,Rikbaktsa,3,Nd,DIGIT THREE,965,6,"2014,2015,2016,2019,2022,2023",14,16,3,204,727,1
rkb,Latn,rkb_Latn,Rikbaktsa,!,Po,EXCLAMATION MARK,872,5,"2014,2015,2016,2019,2022",2,12,6,308,544,0
rkb,Latn,rkb_Latn,Rikbaktsa,H,Lu,LATIN CAPITAL LETTER H,842,6,"2014,2015,2016,2019,2022,2023",6,19,6,214,589,8
rkb,Latn,rkb_Latn,Rikbaktsa,B,Lu,LATIN CAPITAL LETTER B,805,6,"2014,2015,2016,2019,2022,2023",13,8,4,195,584,1
rkb,Latn,rkb_Latn,Rikbaktsa,N,Lu,LATIN CAPITAL LETTER N,766,6,"2014,2015,2016,2019,2022,2023",14,13,7,78,653,1
rkb,Latn,rkb_Latn,Rikbaktsa,U,Lu,LATIN CAPITAL LETTER U,747,6,"2014,2015,2016,2019,2022,2023",14,4,1,231,496,1
rkb,Latn,rkb_Latn,Rikbaktsa,4,Nd,DIGIT FOUR,680,6,"2014,2015,2016,2019,2022,2023",15,16,3,130,515,1
rkb,Latn,rkb_Latn,Rikbaktsa,ĩ,Ll,LATIN SMALL LETTER I WITH TILDE,616,6,"2014,2015,2016,2019,2022,2023",4,2,3,216,386,5
rkb,Latn,rkb_Latn,Rikbaktsa,”,Pf,RIGHT DOUBLE QUOTATION MARK,542,5,"2014,2015,2016,2019,2022",4,6,1,65,466,0
rkb,Latn,rkb_Latn,Rikbaktsa,“,Pi,LEFT DOUBLE QUOTATION MARK,542,5,"2014,2015,2016,2019,2022",4,6,1,65,466,0
rkb,Latn,rkb_Latn,Rikbaktsa,ã,Ll,LATIN SMALL LETTER A WITH TILDE,533,5,"2014,2016,2019,2022,2023",28,0,5,133,366,1
rkb,Latn,rkb_Latn,Rikbaktsa,5,Nd,DIGIT FIVE,507,6,"2014,2015,2016,2019,2022,2023",7,9,3,123,364,1
rkb,Latn,rkb_Latn,Rikbaktsa,6,Nd,DIGIT SIX,419,6,"2014,2015,2016,2019,2022,2023",5,5,2,108,298,1
