iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency
rmq,Latn,rmq_Latn,Caló, ,Zs,SPACE,37117,5,"2018,2019,2020,2021,2022",7129,16617,1024,11586,761
rmq,Latn,rmq_Latn,Caló,a,Ll,LATIN SMALL LETTER A,22228,5,"2018,2019,2020,2021,2022",3964,9849,548,7150,717
rmq,Latn,rmq_Latn,Caló,e,Ll,LATIN SMALL LETTER E,19142,5,"2018,2019,2020,2021,2022",3725,8527,625,5834,431
rmq,Latn,rmq_Latn,Caló,s,Ll,LATIN SMALL LETTER S,14447,5,"2018,2019,2020,2021,2022",2819,6292,363,4486,487
rmq,Latn,rmq_Latn,Caló,r,Ll,LATIN SMALL LETTER R,11907,5,"2018,2019,2020,2021,2022",2202,5653,383,3449,220
rmq,Latn,rmq_Latn,Caló,o,Ll,LATIN SMALL LETTER O,11737,5,"2018,2019,2020,2021,2022",2133,5323,330,3500,451
rmq,Latn,rmq_Latn,Caló,n,Ll,LATIN SMALL LETTER N,11257,5,"2018,2019,2020,2021,2022",2184,5001,323,3591,158
rmq,Latn,rmq_Latn,Caló,i,Ll,LATIN SMALL LETTER I,10051,5,"2018,2019,2020,2021,2022",1901,4620,286,3099,145
rmq,Latn,rmq_Latn,Caló,l,Ll,LATIN SMALL LETTER L,8604,5,"2018,2019,2020,2021,2022",1480,3715,244,2730,435
rmq,Latn,rmq_Latn,Caló,u,Ll,LATIN SMALL LETTER U,7229,5,"2018,2019,2020,2021,2022",1380,3107,196,2476,70
rmq,Latn,rmq_Latn,Caló,d,Ll,LATIN SMALL LETTER D,6794,5,"2018,2019,2020,2021,2022",1254,3183,167,2083,107
rmq,Latn,rmq_Latn,Caló,c,Ll,LATIN SMALL LETTER C,6122,5,"2018,2019,2020,2021,2022",1025,2741,142,1888,326
rmq,Latn,rmq_Latn,Caló,t,Ll,LATIN SMALL LETTER T,5066,5,"2018,2019,2020,2021,2022",1011,2359,201,1322,173
rmq,Latn,rmq_Latn,Caló,h,Ll,LATIN SMALL LETTER H,4716,5,"2018,2019,2020,2021,2022",768,2254,138,1207,349
rmq,Latn,rmq_Latn,Caló,b,Ll,LATIN SMALL LETTER B,4535,5,"2018,2019,2020,2021,2022",807,2088,119,1447,74
rmq,Latn,rmq_Latn,Caló,m,Ll,LATIN SMALL LETTER M,3689,5,"2018,2019,2020,2021,2022",686,1685,136,1063,119
rmq,Latn,rmq_Latn,Caló,",",Po,COMMA,3500,4,"2018,2019,2020,2021",700,1537,81,1182,0
rmq,Latn,rmq_Latn,Caló,p,Ll,LATIN SMALL LETTER P,3254,5,"2018,2019,2020,2021,2022",577,1504,95,1056,22
rmq,Latn,rmq_Latn,Caló,y,Ll,LATIN SMALL LETTER Y,2321,5,"2018,2019,2020,2021,2022",468,978,52,799,24
rmq,Latn,rmq_Latn,Caló,q,Ll,LATIN SMALL LETTER Q,2221,4,"2018,2019,2020,2021",423,926,67,805,0
rmq,Latn,rmq_Latn,Caló,ó,Ll,LATIN SMALL LETTER O WITH ACUTE,1958,5,"2018,2019,2020,2021,2022",359,870,41,685,3
rmq,Latn,rmq_Latn,Caló,á,Ll,LATIN SMALL LETTER A WITH ACUTE,1952,5,"2018,2019,2020,2021,2022",336,878,32,665,41
rmq,Latn,rmq_Latn,Caló,é,Ll,LATIN SMALL LETTER E WITH ACUTE,1757,5,"2018,2019,2020,2021,2022",295,785,49,582,46
rmq,Latn,rmq_Latn,Caló,g,Ll,LATIN SMALL LETTER G,1699,5,"2018,2019,2020,2021,2022",310,827,70,491,1
rmq,Latn,rmq_Latn,Caló,.,Po,FULL STOP,1651,4,"2018,2019,2020,2021",326,770,52,503,0
rmq,Latn,rmq_Latn,Caló,j,Ll,LATIN SMALL LETTER J,1130,5,"2018,2019,2020,2021,2022",249,458,21,391,11
rmq,Latn,rmq_Latn,Caló,:,Po,COLON,1105,4,"2018,2019,2020,2021",221,450,39,395,0
rmq,Latn,rmq_Latn,Caló,Y,Lu,LATIN CAPITAL LETTER Y,1036,4,"2018,2019,2020,2021",206,437,18,375,0
rmq,Latn,rmq_Latn,Caló,v,Ll,LATIN SMALL LETTER V,672,5,"2018,2019,2020,2021,2022",144,310,32,145,41
rmq,Latn,rmq_Latn,Caló,1,Nd,DIGIT ONE,629,5,"2018,2019,2020,2021,2022",117,309,25,176,2
rmq,Latn,rmq_Latn,Caló,ñ,Ll,LATIN SMALL LETTER N WITH TILDE,579,4,"2018,2019,2020,2021",113,257,12,197,0
rmq,Latn,rmq_Latn,Caló,2,Nd,DIGIT TWO,521,5,"2018,2019,2020,2021,2022",99,230,18,172,2
rmq,Latn,rmq_Latn,Caló,T,Lu,LATIN CAPITAL LETTER T,503,4,"2018,2019,2020,2021",119,280,22,82,0
rmq,Latn,rmq_Latn,Caló,f,Ll,LATIN SMALL LETTER F,500,5,"2018,2019,2020,2021,2022",104,260,24,98,14
rmq,Latn,rmq_Latn,Caló,C,Lu,LATIN CAPITAL LETTER C,499,5,"2018,2019,2020,2021,2022",89,277,25,100,8
rmq,Latn,rmq_Latn,Caló,E,Lu,LATIN CAPITAL LETTER E,496,4,"2018,2019,2020,2021",95,292,22,87,0
rmq,Latn,rmq_Latn,Caló,P,Lu,LATIN CAPITAL LETTER P,496,5,"2018,2019,2020,2021,2022",102,212,11,146,25
rmq,Latn,rmq_Latn,Caló,3,Nd,DIGIT THREE,451,4,"2018,2019,2020,2021",86,204,6,155,0
rmq,Latn,rmq_Latn,Caló,S,Lu,LATIN CAPITAL LETTER S,425,5,"2018,2019,2020,2021,2022",110,214,19,67,15
rmq,Latn,rmq_Latn,Caló,J,Lu,LATIN CAPITAL LETTER J,423,4,"2018,2019,2020,2021",71,228,11,113,0
rmq,Latn,rmq_Latn,Caló,4,Nd,DIGIT FOUR,369,4,"2018,2019,2020,2021",64,159,3,143,0
rmq,Latn,rmq_Latn,Caló,D,Lu,LATIN CAPITAL LETTER D,339,4,"2018,2019,2020,2021",68,161,8,102,0
rmq,Latn,rmq_Latn,Caló,w,Ll,LATIN SMALL LETTER W,317,3,"2018,2019,2020",73,217,27,0,0
rmq,Latn,rmq_Latn,Caló,5,Nd,DIGIT FIVE,283,4,"2018,2019,2020,2021",40,145,4,94,0
rmq,Latn,rmq_Latn,Caló,V,Lu,LATIN CAPITAL LETTER V,274,4,"2018,2019,2020,2022",72,181,20,0,1
rmq,Latn,rmq_Latn,Caló,í,Ll,LATIN SMALL LETTER I WITH ACUTE,263,5,"2018,2019,2020,2021,2022",22,127,2,82,30
rmq,Latn,rmq_Latn,Caló,M,Lu,LATIN CAPITAL LETTER M,263,4,"2018,2019,2020,2021",38,153,5,67,0
rmq,Latn,rmq_Latn,Caló,k,Ll,LATIN SMALL LETTER K,234,3,"2018,2019,2020",49,166,19,0,0
rmq,Latn,rmq_Latn,Caló,N,Lu,LATIN CAPITAL LETTER N,222,4,"2018,2019,2020,2021",44,128,12,38,0
rmq,Latn,rmq_Latn,Caló,',Po,APOSTROPHE,216,3,"2018,2019,2020",72,132,12,0,0
rmq,Latn,rmq_Latn,Caló,6,Nd,DIGIT SIX,207,4,"2018,2019,2020,2021",39,107,4,57,0
rmq,Latn,rmq_Latn,Caló,A,Lu,LATIN CAPITAL LETTER A,206,5,"2018,2019,2020,2021,2022",42,85,11,64,4
