iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
rmy,Cyrl,rmy_Cyrl,Vlax Romani, ,Zs,SPACE,712271,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",20876,125,120190,91979,30002,27964,41197,77728,60990,45404,195816
rmy,Cyrl,rmy_Cyrl,Vlax Romani,а,Ll,CYRILLIC SMALL LETTER A,260486,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",2856,68,24287,26098,7827,6379,17225,17610,33547,22410,102179
rmy,Cyrl,rmy_Cyrl,Vlax Romani,о,Ll,CYRILLIC SMALL LETTER O,191874,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",4124,75,29826,23816,8153,7761,10943,20198,19386,12473,55119
rmy,Cyrl,rmy_Cyrl,Vlax Romani,и,Ll,CYRILLIC SMALL LETTER I,171299,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",3292,32,22012,19076,6283,5913,8872,15800,14906,10141,64972
rmy,Cyrl,rmy_Cyrl,Vlax Romani,э,Ll,CYRILLIC SMALL LETTER E,169984,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",126,61,5727,7948,2313,1439,3315,1887,20922,18760,107486
rmy,Cyrl,rmy_Cyrl,Vlax Romani,н,Ll,CYRILLIC SMALL LETTER EN,163468,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",2568,66,19880,18038,5694,5147,7902,13608,15817,12040,62708
rmy,Cyrl,rmy_Cyrl,Vlax Romani,р,Ll,CYRILLIC SMALL LETTER ER,150500,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",2016,40,16626,14695,4182,4026,5907,10246,15041,11028,66693
rmy,Cyrl,rmy_Cyrl,Vlax Romani,с,Ll,CYRILLIC SMALL LETTER ES,136066,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",2128,24,16028,14300,4921,4155,5583,11371,11841,12172,53543
rmy,Cyrl,rmy_Cyrl,Vlax Romani,т,Ll,CYRILLIC SMALL LETTER TE,121949,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",2115,35,17815,15421,5539,6804,7031,12545,13203,7478,33963
rmy,Cyrl,rmy_Cyrl,Vlax Romani,л,Ll,CYRILLIC SMALL LETTER EL,106592,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",1572,37,11840,10732,3514,3227,4695,8911,12294,8611,41159
rmy,Cyrl,rmy_Cyrl,Vlax Romani,е,Ll,CYRILLIC SMALL LETTER IE,100626,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",3260,8,22058,18309,6370,6189,8387,15721,7426,4697,8201
rmy,Cyrl,rmy_Cyrl,Vlax Romani,к,Ll,CYRILLIC SMALL LETTER KA,98950,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",1230,19,9668,10362,3044,2796,6234,7060,9215,8042,41280
rmy,Cyrl,rmy_Cyrl,Vlax Romani,д,Ll,CYRILLIC SMALL LETTER DE,94708,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",1013,20,9616,9556,2416,2314,3055,5414,11942,7934,41428
rmy,Cyrl,rmy_Cyrl,Vlax Romani,в,Ll,CYRILLIC SMALL LETTER VE,94611,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",1879,17,12611,9743,3434,2944,3395,8350,10495,7151,34592
rmy,Cyrl,rmy_Cyrl,Vlax Romani,́,Mn,COMBINING ACUTE ACCENT,89482,7,"2017,2019,2020,2021,2022,2023,2024",0,0,0,776,0,123,250,1,3725,802,83805
rmy,Cyrl,rmy_Cyrl,Vlax Romani,п,Ll,CYRILLIC SMALL LETTER PE,66518,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",950,13,7723,6948,1964,2113,3080,4862,7345,5851,25669
rmy,Cyrl,rmy_Cyrl,Vlax Romani,м,Ll,CYRILLIC SMALL LETTER EM,65683,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",1132,27,8331,7855,2905,2617,3932,6151,7594,4190,20949
