iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2015_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
rmy,Latn,rmy_Latn,Vlax Romani, ,Zs,SPACE,8268244,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",34924,92878,55637,111888,627901,692804,520934,850630,3941889,923449,332061,83249
rmy,Latn,rmy_Latn,Vlax Romani,a,Ll,LATIN SMALL LETTER A,6086539,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",25304,64332,37258,48573,441329,457951,352716,633068,3060288,699583,207854,58283
rmy,Latn,rmy_Latn,Vlax Romani,s,Ll,LATIN SMALL LETTER S,4394030,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",9192,26448,16390,23128,179684,214917,170865,464762,2600489,546362,119868,21925
rmy,Latn,rmy_Latn,Vlax Romani,e,Ll,LATIN SMALL LETTER E,4355867,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",19121,48868,28835,43357,347500,373598,264004,446199,2085668,491494,162293,44930
rmy,Latn,rmy_Latn,Vlax Romani,o,Ll,LATIN SMALL LETTER O,3900776,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",10947,28597,15550,26222,216240,243235,183022,406576,2146268,474520,123166,26433
rmy,Latn,rmy_Latn,Vlax Romani,t,Ll,LATIN SMALL LETTER T,3804095,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",8295,19201,10261,18694,154724,183804,147765,395088,2287397,458674,101414,18778
rmy,Latn,rmy_Latn,Vlax Romani,i,Ll,LATIN SMALL LETTER I,3272455,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",14868,36075,21376,27978,229137,235379,177481,334556,1679372,369956,115285,30992
rmy,Latn,rmy_Latn,Vlax Romani,r,Ll,LATIN SMALL LETTER R,3082808,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",9952,21642,12474,22911,189894,208849,147540,317230,1667788,363855,97851,22822
rmy,Latn,rmy_Latn,Vlax Romani,n,Ll,LATIN SMALL LETTER N,2673005,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",9773,25912,15363,24428,205763,227107,159215,273562,1298284,310455,96511,26632
rmy,Latn,rmy_Latn,Vlax Romani,l,Ll,LATIN SMALL LETTER L,1940340,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",7680,22755,12881,19223,134700,144480,116347,203843,966191,223172,70142,18926
