iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2015_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
roh,Latn,roh_Latn,Romansh, ,Zs,SPACE,19510501,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",196498,35390,11369,38292,463976,1693417,2435806,3455871,3377625,2346413,4315965,1139879
roh,Latn,roh_Latn,Romansh,a,Ll,LATIN SMALL LETTER A,14269095,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",136922,27309,8615,28047,330834,1241650,1773251,2550847,2430852,1713646,3179816,847306
roh,Latn,roh_Latn,Romansh,i,Ll,LATIN SMALL LETTER I,8344538,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",83518,15997,5361,16983,201385,712892,1040949,1499386,1447683,988776,1834526,497082
roh,Latn,roh_Latn,Romansh,e,Ll,LATIN SMALL LETTER E,8194010,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",88626,14728,5115,16660,200373,683297,1014212,1465527,1428843,974079,1818486,484064
roh,Latn,roh_Latn,Romansh,n,Ll,LATIN SMALL LETTER N,7943780,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",78052,15034,5054,15861,186384,677483,985513,1432855,1350013,948872,1771532,477127
roh,Latn,roh_Latn,Romansh,s,Ll,LATIN SMALL LETTER S,7874434,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",79007,14689,5208,15918,188318,667806,972385,1400186,1338128,955758,1767745,469286
roh,Latn,roh_Latn,Romansh,r,Ll,LATIN SMALL LETTER R,6383886,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",62585,12207,3867,13249,151817,552024,795855,1147713,1078156,762433,1423830,380150
roh,Latn,roh_Latn,Romansh,l,Ll,LATIN SMALL LETTER L,5542623,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",57357,10966,3482,11094,136097,488690,705029,990870,928160,658235,1224974,327669
roh,Latn,roh_Latn,Romansh,t,Ll,LATIN SMALL LETTER T,5539308,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",51265,10497,3359,10911,125539,466869,679048,973372,1058734,640463,1198010,321241
roh,Latn,roh_Latn,Romansh,u,Ll,LATIN SMALL LETTER U,5082628,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",53494,9714,3291,10373,124846,423666,621928,912665,861663,613874,1142818,304296
