iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
ron,Cyrl,ron_Cyrl,Romanian, ,Zs,SPACE,1680145,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",6074,5273,3572,186640,156222,214264,42068,587817,346253,108188,23774
ron,Cyrl,ron_Cyrl,Romanian,е,Ll,CYRILLIC SMALL LETTER IE,890411,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",3330,3400,1523,103799,85699,118261,19812,269607,212267,60386,12327
ron,Cyrl,ron_Cyrl,Romanian,а,Ll,CYRILLIC SMALL LETTER A,718830,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",2705,2390,1498,84529,68694,97679,16952,235071,155781,43993,9538
ron,Cyrl,ron_Cyrl,Romanian,и,Ll,CYRILLIC SMALL LETTER I,668419,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",2486,2900,1064,86354,62896,96121,13974,182497,166270,45091,8766
ron,Cyrl,ron_Cyrl,Romanian,р,Ll,CYRILLIC SMALL LETTER ER,615758,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",2241,2283,980,73581,58182,81015,14343,189920,144727,40525,7961
ron,Cyrl,ron_Cyrl,Romanian,т,Ll,CYRILLIC SMALL LETTER TE,555288,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",1955,1876,1036,66896,52237,71503,12242,165279,139065,36053,7146
ron,Cyrl,ron_Cyrl,Romanian,н,Ll,CYRILLIC SMALL LETTER EN,537060,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",1998,1877,1042,63853,51445,69403,12998,171212,121836,34379,7017
ron,Cyrl,ron_Cyrl,Romanian,у,Ll,CYRILLIC SMALL LETTER U,497074,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",1732,1673,976,54591,47182,61661,11552,171386,108595,31044,6682
ron,Cyrl,ron_Cyrl,Romanian,л,Ll,CYRILLIC SMALL LETTER EL,443110,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",1727,1762,780,55763,42963,57356,9541,130570,108262,29052,5334
ron,Cyrl,ron_Cyrl,Romanian,о,Ll,CYRILLIC SMALL LETTER O,415723,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",1423,1634,844,54937,38626,55915,9668,115130,104911,27237,5398
ron,Cyrl,ron_Cyrl,Romanian,с,Ll,CYRILLIC SMALL LETTER ES,332175,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",1160,1220,680,37351,30047,44457,7772,109256,75213,20740,4279
ron,Cyrl,ron_Cyrl,Romanian,к,Ll,CYRILLIC SMALL LETTER KA,319632,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",1116,1362,723,34613,30525,43527,7968,105848,69831,19668,4451
ron,Cyrl,ron_Cyrl,Romanian,э,Ll,CYRILLIC SMALL LETTER E,285811,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",843,752,624,23311,26871,27908,8101,119221,55715,18035,4430
ron,Cyrl,ron_Cyrl,Romanian,д,Ll,CYRILLIC SMALL LETTER DE,272926,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",1023,901,639,32184,26637,36639,6399,86869,59492,18411,3732
ron,Cyrl,ron_Cyrl,Romanian,п,Ll,CYRILLIC SMALL LETTER PE,250116,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",813,901,460,27388,23732,29860,6020,83777,58054,15977,3134
ron,Cyrl,ron_Cyrl,Romanian,м,Ll,CYRILLIC SMALL LETTER EM,224534,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",908,805,652,24873,21460,29427,6118,81480,40696,14486,3629
ron,Cyrl,ron_Cyrl,Romanian,й,Ll,CYRILLIC SMALL LETTER SHORT I,157450,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",462,417,294,17409,14671,15777,3857,54503,37858,10110,2092
ron,Cyrl,ron_Cyrl,Romanian,ы,Ll,CYRILLIC SMALL LETTER YERU,143828,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",478,366,382,14233,12871,14523,3508,59263,26591,9589,2024
ron,Cyrl,ron_Cyrl,Romanian,",",Po,COMMA,140129,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",438,443,403,14075,13876,15655,4530,54944,24508,8994,2263
ron,Cyrl,ron_Cyrl,Romanian,ш,Ll,CYRILLIC SMALL LETTER SHA,112010,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",365,330,238,13081,10704,11854,2828,40059,22437,8360,1754
ron,Cyrl,ron_Cyrl,Romanian,в,Ll,CYRILLIC SMALL LETTER VE,111018,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",327,486,265,15896,11071,13164,2863,33412,24444,7501,1589
ron,Cyrl,ron_Cyrl,Romanian,ч,Ll,CYRILLIC SMALL LETTER CHE,110995,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",354,342,213,12649,10128,13395,2502,36120,26042,7668,1582
ron,Cyrl,ron_Cyrl,Romanian,я,Ll,CYRILLIC SMALL LETTER YA,107725,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",396,398,247,12927,10061,12925,2573,36654,23365,6864,1315
ron,Cyrl,ron_Cyrl,Romanian,.,Po,FULL STOP,104373,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",376,311,283,13992,7977,13048,2340,35149,21958,7323,1616
ron,Cyrl,ron_Cyrl,Romanian,ц,Ll,CYRILLIC SMALL LETTER TSE,103907,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",347,394,107,12311,10231,11833,2519,29477,28392,6874,1422
ron,Cyrl,ron_Cyrl,Romanian,ф,Ll,CYRILLIC SMALL LETTER EF,84935,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",329,354,125,9046,7892,13220,2155,29195,16084,5338,1197
