iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2015_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
run,Latn,run_Latn,Rundi, ,Zs,SPACE,18901268,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",101835,153497,74440,403394,3970494,2457949,1811049,2000735,2750972,2356687,2136747,683469
run,Latn,run_Latn,Rundi,a,Ll,LATIN SMALL LETTER A,17481060,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",74916,138157,66302,378789,3726773,2285350,1658700,1851725,2529267,2170519,1966257,634305
run,Latn,run_Latn,Rundi,i,Ll,LATIN SMALL LETTER I,11640549,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",50420,89235,43723,255107,2472079,1524284,1113537,1220144,1688190,1446930,1309216,427684
run,Latn,run_Latn,Rundi,u,Ll,LATIN SMALL LETTER U,9314824,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",41232,69796,34019,198465,1999800,1223351,882958,991070,1346075,1147129,1044310,336619
run,Latn,run_Latn,Rundi,e,Ll,LATIN SMALL LETTER E,7887413,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",45951,63336,31367,169730,1659726,1042493,762653,843934,1128396,972101,887076,280650
run,Latn,run_Latn,Rundi,r,Ll,LATIN SMALL LETTER R,6972462,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",33032,53516,26916,148925,1471439,926847,661403,742940,1003258,863450,789364,251372
run,Latn,run_Latn,Rundi,n,Ll,LATIN SMALL LETTER N,6862098,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",35180,54411,26004,142335,1440274,898870,659331,730372,999208,851083,777869,247161
run,Latn,run_Latn,Rundi,o,Ll,LATIN SMALL LETTER O,5802945,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",29062,48690,22084,122689,1239397,764898,551285,604175,831750,717862,662266,208787
run,Latn,run_Latn,Rundi,b,Ll,LATIN SMALL LETTER B,5367312,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",21601,42222,19488,118281,1194481,689352,491548,553318,764651,662337,612721,197312
run,Latn,run_Latn,Rundi,k,Ll,LATIN SMALL LETTER K,5044011,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",18731,37431,18203,107270,1067447,659270,480853,526894,736656,631797,574214,185245
run,Latn,run_Latn,Rundi,m,Ll,LATIN SMALL LETTER M,4989361,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",21117,39115,18936,107832,1056062,660005,480647,530519,720048,614489,560358,180233
run,Latn,run_Latn,Rundi,y,Ll,LATIN SMALL LETTER Y,4319060,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",15768,32988,16054,93484,893779,553885,417690,462079,639429,546493,483552,163859
run,Latn,run_Latn,Rundi,g,Ll,LATIN SMALL LETTER G,4047420,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",15633,30800,15177,86279,852223,541846,388825,424857,589559,502898,451439,147884
run,Latn,run_Latn,Rundi,w,Ll,LATIN SMALL LETTER W,3481452,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",13014,30544,13613,77440,755655,456655,325128,364058,502816,424310,389924,128295
run,Latn,run_Latn,Rundi,t,Ll,LATIN SMALL LETTER T,3108453,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",20458,27503,13749,65517,657907,404380,296664,336626,445542,381645,347745,110717
run,Latn,run_Latn,Rundi,s,Ll,LATIN SMALL LETTER S,2852453,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",19707,24945,12065,60426,582298,380094,276268,313252,403091,352648,326057,101602
run,Latn,run_Latn,Rundi,h,Ll,LATIN SMALL LETTER H,2799142,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",11595,23260,10931,60413,607124,376261,263089,290257,402819,343547,308008,101838
run,Latn,run_Latn,Rundi,z,Ll,LATIN SMALL LETTER Z,2186356,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",7803,17755,7954,46049,452588,282102,206417,233163,324749,275345,251513,80918
run,Latn,run_Latn,Rundi,d,Ll,LATIN SMALL LETTER D,1452273,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",11000,11531,6146,28778,293849,186509,138612,163561,213140,181076,166582,51489
run,Latn,run_Latn,Rundi,’,Pf,RIGHT SINGLE QUOTATION MARK,1213830,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",3954,8292,2278,28001,267027,157763,97234,131953,176383,149229,141077,50639
run,Latn,run_Latn,Rundi,c,Ll,LATIN SMALL LETTER C,1066332,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",8371,8866,4684,22732,219582,145995,103204,116140,151495,129367,120368,35528
run,Latn,run_Latn,Rundi,.,Po,FULL STOP,1063600,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",7061,11071,4311,23107,242243,129196,101302,111909,151298,128424,116394,37284
run,Latn,run_Latn,Rundi,",",Po,COMMA,1017771,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",5014,11367,5230,26638,225399,132917,97281,106733,141146,117802,112125,36119
run,Latn,run_Latn,Rundi,v,Ll,LATIN SMALL LETTER V,1004699,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",5799,9559,3697,23712,236269,136011,91801,98293,135352,118745,110614,34847
run,Latn,run_Latn,Rundi,l,Ll,LATIN SMALL LETTER L,641763,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",7675,5179,3651,13356,114231,86824,67715,75609,92457,82111,72142,20813
run,Latn,run_Latn,Rundi,A,Lu,LATIN CAPITAL LETTER A,622543,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",6912,9069,4052,11257,175973,80078,53560,56270,81498,66105,58738,19031
run,Latn,run_Latn,Rundi,j,Ll,LATIN SMALL LETTER J,615490,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2783,4987,2402,14254,129693,84407,58675,65012,86984,75991,68308,21994
run,Latn,run_Latn,Rundi,I,Lu,LATIN CAPITAL LETTER I,533753,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",5033,7373,3055,10491,155883,65424,44437,46202,68319,54360,55531,17645
run,Latn,run_Latn,Rundi,p,Ll,LATIN SMALL LETTER P,483531,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",5396,3850,2044,9060,93778,64363,50267,57640,69860,59148,52355,15770
run,Latn,run_Latn,Rundi,f,Ll,LATIN SMALL LETTER F,456635,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2874,3527,2081,9369,94150,59086,44424,49373,66482,57802,51172,16295
run,Latn,run_Latn,Rundi,U,Lu,LATIN CAPITAL LETTER U,453572,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",4057,5816,2466,8218,121486,58910,38864,41525,59913,52328,45774,14215
run,Latn,run_Latn,Rundi,N,Lu,LATIN CAPITAL LETTER N,405459,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",4094,5111,2303,7100,119401,50593,34776,36484,51139,42327,39994,12137
run,Latn,run_Latn,Rundi,M,Lu,LATIN CAPITAL LETTER M,393628,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",3108,4499,1894,6952,90850,49832,37440,41532,55796,46984,41180,13561
run,Latn,run_Latn,Rundi,B,Lu,LATIN CAPITAL LETTER B,368724,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",3533,4346,1734,6799,99571,45471,33633,36751,49228,40798,35116,11744
