iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2017_frequency,year_2019_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
sck,Deva,sck_Deva,Sadri, ,Zs,SPACE,9185,6,"2017,2019,2021,2022,2023,2024",1482,1820,105,2265,1647,1866
sck,Deva,sck_Deva,Sadri,ा,Mc,DEVANAGARI VOWEL SIGN AA,3596,6,"2017,2019,2021,2022,2023,2024",464,587,41,1104,663,737
sck,Deva,sck_Deva,Sadri,े,Mn,DEVANAGARI VOWEL SIGN E,3014,6,"2017,2019,2021,2022,2023,2024",386,506,42,808,627,645
sck,Deva,sck_Deva,Sadri,र,Lo,DEVANAGARI LETTER RA,2719,6,"2017,2019,2021,2022,2023,2024",427,627,31,684,414,536
sck,Deva,sck_Deva,Sadri,क,Lo,DEVANAGARI LETTER KA,2550,6,"2017,2019,2021,2022,2023,2024",422,504,25,626,481,492
sck,Deva,sck_Deva,Sadri,न,Lo,DEVANAGARI LETTER NA,1794,6,"2017,2019,2021,2022,2023,2024",274,320,20,520,345,315
sck,Deva,sck_Deva,Sadri,ल,Lo,DEVANAGARI LETTER LA,1428,6,"2017,2019,2021,2022,2023,2024",225,272,9,329,267,326
sck,Deva,sck_Deva,Sadri,ह,Lo,DEVANAGARI LETTER HA,1405,6,"2017,2019,2021,2022,2023,2024",254,265,12,288,256,330
sck,Deva,sck_Deva,Sadri,स,Lo,DEVANAGARI LETTER SA,1365,6,"2017,2019,2021,2022,2023,2024",208,366,11,365,169,246
sck,Deva,sck_Deva,Sadri,ि,Mc,DEVANAGARI VOWEL SIGN I,1267,6,"2017,2019,2021,2022,2023,2024",212,201,10,318,280,246
sck,Deva,sck_Deva,Sadri,म,Lo,DEVANAGARI LETTER MA,1210,6,"2017,2019,2021,2022,2023,2024",255,321,18,271,148,197
sck,Deva,sck_Deva,Sadri,ब,Lo,DEVANAGARI LETTER BA,1098,6,"2017,2019,2021,2022,2023,2024",155,192,10,338,147,256
sck,Deva,sck_Deva,Sadri,त,Lo,DEVANAGARI LETTER TA,989,6,"2017,2019,2021,2022,2023,2024",162,193,22,243,166,203
sck,Deva,sck_Deva,Sadri,ं,Mn,DEVANAGARI SIGN ANUSVARA,825,6,"2017,2019,2021,2022,2023,2024",98,184,18,210,120,195
sck,Deva,sck_Deva,Sadri,ी,Mc,DEVANAGARI VOWEL SIGN II,818,6,"2017,2019,2021,2022,2023,2024",131,215,3,238,50,181
sck,Deva,sck_Deva,Sadri,ो,Mc,DEVANAGARI VOWEL SIGN O,801,6,"2017,2019,2021,2022,2023,2024",149,196,37,115,84,220
sck,Deva,sck_Deva,Sadri,इ,Lo,DEVANAGARI LETTER I,800,6,"2017,2019,2021,2022,2023,2024",102,36,4,149,287,222
sck,Deva,sck_Deva,Sadri,ु,Mn,DEVANAGARI VOWEL SIGN U,749,6,"2017,2019,2021,2022,2023,2024",92,166,13,139,192,147
sck,Deva,sck_Deva,Sadri,द,Lo,DEVANAGARI LETTER DA,723,6,"2017,2019,2021,2022,2023,2024",115,183,9,157,96,163
sck,Deva,sck_Deva,Sadri,प,Lo,DEVANAGARI LETTER PA,684,6,"2017,2019,2021,2022,2023,2024",93,91,11,227,94,168
