iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2016_frequency,year_2019_frequency
sdq,Latn,sdq_Latn,Semandang, ,Zs,SPACE,1379,2,"2016,2019",379,1000
sdq,Latn,sdq_Latn,Semandang,a,Ll,LATIN SMALL LETTER A,1165,2,"2016,2019",292,873
sdq,Latn,sdq_Latn,Semandang,n,Ll,LATIN SMALL LETTER N,669,2,"2016,2019",164,505
sdq,Latn,sdq_Latn,Semandang,e,Ll,LATIN SMALL LETTER E,581,2,"2016,2019",317,264
sdq,Latn,sdq_Latn,Semandang,o,Ll,LATIN SMALL LETTER O,400,2,"2016,2019",158,242
sdq,Latn,sdq_Latn,Semandang,i,Ll,LATIN SMALL LETTER I,395,2,"2016,2019",134,261
sdq,Latn,sdq_Latn,Semandang,k,Ll,LATIN SMALL LETTER K,344,2,"2016,2019",133,211
sdq,Latn,sdq_Latn,Semandang,s,Ll,LATIN SMALL LETTER S,270,2,"2016,2019",43,227
sdq,Latn,sdq_Latn,Semandang,t,Ll,LATIN SMALL LETTER T,261,2,"2016,2019",70,191
sdq,Latn,sdq_Latn,Semandang,r,Ll,LATIN SMALL LETTER R,250,2,"2016,2019",73,177
sdq,Latn,sdq_Latn,Semandang,g,Ll,LATIN SMALL LETTER G,241,2,"2016,2019",84,157
sdq,Latn,sdq_Latn,Semandang,m,Ll,LATIN SMALL LETTER M,221,2,"2016,2019",72,149
sdq,Latn,sdq_Latn,Semandang,h,Ll,LATIN SMALL LETTER H,206,2,"2016,2019",53,153
sdq,Latn,sdq_Latn,Semandang,u,Ll,LATIN SMALL LETTER U,197,2,"2016,2019",10,187
sdq,Latn,sdq_Latn,Semandang,d,Ll,LATIN SMALL LETTER D,191,2,"2016,2019",71,120
sdq,Latn,sdq_Latn,Semandang,b,Ll,LATIN SMALL LETTER B,188,2,"2016,2019",63,125
sdq,Latn,sdq_Latn,Semandang,.,Po,FULL STOP,181,2,"2016,2019",87,94
sdq,Latn,sdq_Latn,Semandang,l,Ll,LATIN SMALL LETTER L,177,2,"2016,2019",58,119
sdq,Latn,sdq_Latn,Semandang,’,Pf,RIGHT SINGLE QUOTATION MARK,172,1,2019,0,172
sdq,Latn,sdq_Latn,Semandang,p,Ll,LATIN SMALL LETTER P,148,2,"2016,2019",42,106
sdq,Latn,sdq_Latn,Semandang,y,Ll,LATIN SMALL LETTER Y,134,2,"2016,2019",6,128
sdq,Latn,sdq_Latn,Semandang,á,Ll,LATIN SMALL LETTER A WITH ACUTE,123,1,2019,0,123
sdq,Latn,sdq_Latn,Semandang,j,Ll,LATIN SMALL LETTER J,83,2,"2016,2019",41,42
sdq,Latn,sdq_Latn,Semandang,",",Po,COMMA,66,2,"2016,2019",24,42
sdq,Latn,sdq_Latn,Semandang,é,Ll,LATIN SMALL LETTER E WITH ACUTE,53,1,2019,0,53
sdq,Latn,sdq_Latn,Semandang,Y,Lu,LATIN CAPITAL LETTER Y,49,2,"2016,2019",1,48
sdq,Latn,sdq_Latn,Semandang,A,Lu,LATIN CAPITAL LETTER A,44,2,"2016,2019",9,35
sdq,Latn,sdq_Latn,Semandang,K,Lu,LATIN CAPITAL LETTER K,28,2,"2016,2019",4,24
sdq,Latn,sdq_Latn,Semandang,M,Lu,LATIN CAPITAL LETTER M,27,2,"2016,2019",9,18
sdq,Latn,sdq_Latn,Semandang,S,Lu,LATIN CAPITAL LETTER S,26,2,"2016,2019",6,20
