iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2014_frequency,year_2015_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
seh,Latn,seh_Latn,Sena,a,Ll,LATIN SMALL LETTER A,676959,10,"2014,2015,2017,2018,2019,2020,2021,2022,2023,2024",1549,143,9103,238059,37085,217377,146257,16069,2289,9028
seh,Latn,seh_Latn,Sena, ,Zs,SPACE,605994,10,"2014,2015,2017,2018,2019,2020,2021,2022,2023,2024",1756,119,8784,206186,32280,194130,136902,15466,2156,8215
seh,Latn,seh_Latn,Sena,i,Ll,LATIN SMALL LETTER I,325545,10,"2014,2015,2017,2018,2019,2020,2021,2022,2023,2024",550,29,4283,114949,14859,107448,70079,7404,1334,4610
seh,Latn,seh_Latn,Sena,n,Ll,LATIN SMALL LETTER N,316694,10,"2014,2015,2017,2018,2019,2020,2021,2022,2023,2024",770,58,4637,108653,16717,102806,69434,7980,1239,4400
seh,Latn,seh_Latn,Sena,u,Ll,LATIN SMALL LETTER U,267187,10,"2014,2015,2017,2018,2019,2020,2021,2022,2023,2024",442,44,4306,91586,15703,86612,57431,6322,943,3798
seh,Latn,seh_Latn,Sena,e,Ll,LATIN SMALL LETTER E,207612,10,"2014,2015,2017,2018,2019,2020,2021,2022,2023,2024",707,38,3160,69813,11878,64593,48686,5900,675,2162
seh,Latn,seh_Latn,Sena,k,Ll,LATIN SMALL LETTER K,203907,9,"2014,2017,2018,2019,2020,2021,2022,2023,2024",5,0,2486,74226,10192,66082,43193,4373,718,2632
seh,Latn,seh_Latn,Sena,o,Ll,LATIN SMALL LETTER O,163422,10,"2014,2015,2017,2018,2019,2020,2021,2022,2023,2024",1037,63,2277,54603,7489,51840,38721,4653,567,2172
seh,Latn,seh_Latn,Sena,m,Ll,LATIN SMALL LETTER M,142782,10,"2014,2015,2017,2018,2019,2020,2021,2022,2023,2024",352,33,1867,47348,8094,45851,33112,3866,468,1791
seh,Latn,seh_Latn,Sena,t,Ll,LATIN SMALL LETTER T,132614,10,"2014,2015,2017,2018,2019,2020,2021,2022,2023,2024",182,29,2040,45606,6274,43622,29273,3249,496,1843
seh,Latn,seh_Latn,Sena,d,Ll,LATIN SMALL LETTER D,109527,10,"2014,2015,2017,2018,2019,2020,2021,2022,2023,2024",797,49,1583,37820,5544,35036,24352,2687,421,1238
seh,Latn,seh_Latn,Sena,w,Ll,LATIN SMALL LETTER W,108377,9,"2014,2017,2018,2019,2020,2021,2022,2023,2024",31,0,1487,37688,6026,34776,23936,2814,404,1215
seh,Latn,seh_Latn,Sena,h,Ll,LATIN SMALL LETTER H,105403,10,"2014,2015,2017,2018,2019,2020,2021,2022,2023,2024",425,43,1372,37290,4740,34233,22869,2369,465,1597
seh,Latn,seh_Latn,Sena,p,Ll,LATIN SMALL LETTER P,103326,10,"2014,2015,2017,2018,2019,2020,2021,2022,2023,2024",115,8,1365,35851,5402,33858,22272,2602,397,1456
seh,Latn,seh_Latn,Sena,s,Ll,LATIN SMALL LETTER S,92032,10,"2014,2015,2017,2018,2019,2020,2021,2022,2023,2024",609,32,1279,30388,3477,30034,21903,2515,367,1428
seh,Latn,seh_Latn,Sena,l,Ll,LATIN SMALL LETTER L,85812,10,"2014,2015,2017,2018,2019,2020,2021,2022,2023,2024",174,34,1332,29422,5111,26967,19321,2045,299,1107
