iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2015_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
sgs,Latn,sgs_Latn,Samogitian, ,Zs,SPACE,713161,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",10849,21613,15822,17821,90976,67047,114006,66631,80261,108330,95986,23819
sgs,Latn,sgs_Latn,Samogitian,a,Ll,LATIN SMALL LETTER A,449240,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",6945,14232,9747,11353,55096,43569,68459,42414,52182,68963,60144,16136
sgs,Latn,sgs_Latn,Samogitian,i,Ll,LATIN SMALL LETTER I,318610,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",4754,9570,6862,7973,41767,30858,46862,30282,38679,44689,44636,11678
sgs,Latn,sgs_Latn,Samogitian,s,Ll,LATIN SMALL LETTER S,315799,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",5122,10799,7841,8898,39811,30258,48181,28244,37001,43794,44403,11447
sgs,Latn,sgs_Latn,Samogitian,ė,Ll,LATIN SMALL LETTER E WITH DOT ABOVE,300254,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",5090,10207,7009,9022,36352,28580,47582,26134,33051,44595,41764,10868
sgs,Latn,sgs_Latn,Samogitian,o,Ll,LATIN SMALL LETTER O,268871,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",4298,8462,5923,6929,32718,25139,43304,23756,30154,41972,37007,9209
sgs,Latn,sgs_Latn,Samogitian,t,Ll,LATIN SMALL LETTER T,242326,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",3874,7691,5933,7166,29931,22407,37299,22122,27891,34011,35168,8833
sgs,Latn,sgs_Latn,Samogitian,u,Ll,LATIN SMALL LETTER U,237775,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",3710,7500,5211,5651,30345,24698,36281,21704,27407,33982,32414,8872
sgs,Latn,sgs_Latn,Samogitian,n,Ll,LATIN SMALL LETTER N,210704,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",3427,7312,5066,6021,25883,20068,31924,19245,24131,31075,28962,7590
sgs,Latn,sgs_Latn,Samogitian,e,Ll,LATIN SMALL LETTER E,202536,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",3335,6868,5114,5624,25078,19388,30879,18460,23253,29294,28227,7016
sgs,Latn,sgs_Latn,Samogitian,r,Ll,LATIN SMALL LETTER R,193427,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",3324,6772,4914,5553,23568,18870,28392,17244,22387,28431,26630,7342
sgs,Latn,sgs_Latn,Samogitian,k,Ll,LATIN SMALL LETTER K,185450,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2820,4952,3582,4227,23984,18417,28372,17423,22279,27822,25013,6559
sgs,Latn,sgs_Latn,Samogitian,l,Ll,LATIN SMALL LETTER L,133251,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2040,4467,3177,3604,16054,13440,20351,12177,15824,19107,18450,4560
sgs,Latn,sgs_Latn,Samogitian,m,Ll,LATIN SMALL LETTER M,127530,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2333,4669,3035,3608,16046,12424,18998,11571,14057,17582,18035,5172
sgs,Latn,sgs_Latn,Samogitian,p,Ll,LATIN SMALL LETTER P,107425,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1560,3195,2207,2747,13354,10284,16582,9658,12474,17158,14445,3761
sgs,Latn,sgs_Latn,Samogitian,v,Ll,LATIN SMALL LETTER V,100495,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1564,3266,2210,2624,12342,9679,15996,9876,11300,15012,13235,3391
sgs,Latn,sgs_Latn,Samogitian,d,Ll,LATIN SMALL LETTER D,98975,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1621,3259,2495,2637,12402,9771,14530,8766,11860,14491,13733,3410
