iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2015_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
shi,Latn,shi_Latn,Tachelhit, ,Zs,SPACE,347420,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1181,405,161,31585,54750,27925,23280,24780,57650,30254,75190,20259
shi,Latn,shi_Latn,Tachelhit,a,Ll,LATIN SMALL LETTER A,195512,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",575,318,64,13187,34969,16283,13484,14087,34516,16664,39529,11836
shi,Latn,shi_Latn,Tachelhit,n,Ll,LATIN SMALL LETTER N,140235,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",289,158,2,8811,23572,11721,9028,8399,24842,11829,32657,8927
shi,Latn,shi_Latn,Tachelhit,i,Ll,LATIN SMALL LETTER I,137769,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",198,110,7,9848,25065,11359,8494,9619,24045,11724,29521,7779
shi,Latn,shi_Latn,Tachelhit,t,Ll,LATIN SMALL LETTER T,117217,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",649,180,115,13412,19125,8969,7487,6158,18874,9694,25554,7000
shi,Latn,shi_Latn,Tachelhit,s,Ll,LATIN SMALL LETTER S,89521,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",403,131,57,12426,15059,6521,5504,4900,13978,6727,18822,4993
shi,Latn,shi_Latn,Tachelhit,r,Ll,LATIN SMALL LETTER R,74595,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",147,110,3,10383,12948,5996,4252,5180,12612,5948,13253,3763
shi,Latn,shi_Latn,Tachelhit,u,Ll,LATIN SMALL LETTER U,70795,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",174,44,1,5409,12425,6044,4447,4815,12331,5784,15128,4193
shi,Latn,shi_Latn,Tachelhit,l,Ll,LATIN SMALL LETTER L,64979,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",73,76,2,4506,10458,5036,4183,4626,10722,5564,15701,4032
shi,Latn,shi_Latn,Tachelhit,d,Ll,LATIN SMALL LETTER D,63928,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",190,66,32,4352,10896,5540,4494,6207,10913,5561,12567,3110
shi,Latn,shi_Latn,Tachelhit,m,Ll,LATIN SMALL LETTER M,62361,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",151,52,22,3854,10330,5135,4104,4511,10644,5368,14130,4060
shi,Latn,shi_Latn,Tachelhit,g,Ll,LATIN SMALL LETTER G,46566,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",138,51,0,4033,10116,5171,2818,1358,7457,3227,9523,2674
shi,Latn,shi_Latn,Tachelhit,y,Ll,LATIN SMALL LETTER Y,29891,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",69,48,0,1942,5551,2712,2239,1282,5949,2401,5931,1767
shi,Latn,shi_Latn,Tachelhit,k,Ll,LATIN SMALL LETTER K,29295,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",36,19,1,2132,5928,2281,1583,2259,4990,2405,5982,1679
shi,Latn,shi_Latn,Tachelhit,w,Ll,LATIN SMALL LETTER W,28822,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",58,41,1,1898,5190,2452,2025,837,5066,2574,6837,1843
shi,Latn,shi_Latn,Tachelhit,z,Ll,LATIN SMALL LETTER Z,23064,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",33,24,0,1748,4514,2119,1481,1305,3855,1949,4745,1291
shi,Latn,shi_Latn,Tachelhit,f,Ll,LATIN SMALL LETTER F,21529,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",15,18,1,1710,3746,1721,1514,1390,3679,1631,4841,1263
