iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency
shu,Arab,shu_Arab,Chadian Arabic,َ,Mn,ARABIC FATHA,4821,5,"2016,2017,2018,2019,2020",134,476,805,1656,1750
shu,Arab,shu_Arab,Chadian Arabic, ,Zs,SPACE,4364,5,"2016,2017,2018,2019,2020",108,437,872,1471,1476
shu,Arab,shu_Arab,Chadian Arabic,ْ,Mn,ARABIC SUKUN,3142,5,"2016,2017,2018,2019,2020",108,348,327,1093,1266
shu,Arab,shu_Arab,Chadian Arabic,ا,Lo,ARABIC LETTER ALEF,2363,5,"2016,2017,2018,2019,2020",68,188,452,824,831
shu,Arab,shu_Arab,Chadian Arabic,ل,Lo,ARABIC LETTER LAM,1840,5,"2016,2017,2018,2019,2020",54,164,335,615,672
shu,Arab,shu_Arab,Chadian Arabic,ِ,Mn,ARABIC KASRA,1729,5,"2016,2017,2018,2019,2020",59,237,269,568,596
shu,Arab,shu_Arab,Chadian Arabic,و,Lo,ARABIC LETTER WAW,1547,5,"2016,2017,2018,2019,2020",23,214,289,503,518
shu,Arab,shu_Arab,Chadian Arabic,ي,Lo,ARABIC LETTER YEH,1168,4,"2016,2017,2019,2020",44,135,0,518,471
shu,Arab,shu_Arab,Chadian Arabic,ُ,Mn,ARABIC DAMMA,1015,5,"2016,2017,2018,2019,2020",21,112,244,276,362
shu,Arab,shu_Arab,Chadian Arabic,ن,Lo,ARABIC LETTER NOON,914,5,"2016,2017,2018,2019,2020",21,62,139,364,328
shu,Arab,shu_Arab,Chadian Arabic,ّ,Mn,ARABIC SHADDA,882,5,"2016,2017,2018,2019,2020",15,67,195,274,331
shu,Arab,shu_Arab,Chadian Arabic,م,Lo,ARABIC LETTER MEEM,857,5,"2016,2017,2018,2019,2020",27,98,149,279,304
shu,Arab,shu_Arab,Chadian Arabic,ه,Lo,ARABIC LETTER HEH,730,5,"2016,2017,2018,2019,2020",11,61,194,246,218
shu,Arab,shu_Arab,Chadian Arabic,د,Lo,ARABIC LETTER DAL,699,5,"2016,2017,2018,2019,2020",24,119,172,205,179
shu,Arab,shu_Arab,Chadian Arabic,ر,Lo,ARABIC LETTER REH,614,5,"2016,2017,2018,2019,2020",28,53,138,161,234
shu,Arab,shu_Arab,Chadian Arabic,ب,Lo,ARABIC LETTER BEH,603,5,"2016,2017,2018,2019,2020",17,73,102,192,219
shu,Arab,shu_Arab,Chadian Arabic,ق,Lo,ARABIC LETTER QAF,434,5,"2016,2017,2018,2019,2020",5,33,77,146,173
shu,Arab,shu_Arab,Chadian Arabic,ع,Lo,ARABIC LETTER AIN,433,5,"2016,2017,2018,2019,2020",23,50,97,139,124
shu,Arab,shu_Arab,Chadian Arabic,ت,Lo,ARABIC LETTER TEH,414,5,"2016,2017,2018,2019,2020",20,32,85,154,123
shu,Arab,shu_Arab,Chadian Arabic,س,Lo,ARABIC LETTER SEEN,412,5,"2016,2017,2018,2019,2020",8,49,55,193,107
shu,Arab,shu_Arab,Chadian Arabic,ف,Lo,ARABIC LETTER FEH,407,5,"2016,2017,2018,2019,2020",16,26,69,141,155
shu,Arab,shu_Arab,Chadian Arabic,ك,Lo,ARABIC LETTER KAF,365,5,"2016,2017,2018,2019,2020",5,21,51,121,167
