iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2015_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
sme,Latn,sme_Latn,Northern Sami, ,Zs,SPACE,20108685,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",118458,149003,86004,141219,1824899,2095138,2398679,2060358,4686447,2627713,2992953,927814
sme,Latn,sme_Latn,Northern Sami,a,Ll,LATIN SMALL LETTER A,17463924,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",140999,165282,87538,127645,1510766,1784513,2092309,1888328,3738010,2375388,2689708,863438
sme,Latn,sme_Latn,Northern Sami,i,Ll,LATIN SMALL LETTER I,13367605,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",111290,130940,69176,100082,1168668,1367419,1585028,1407768,2920676,1785486,2063325,657747
sme,Latn,sme_Latn,Northern Sami,e,Ll,LATIN SMALL LETTER E,10875135,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",84350,100006,56244,89301,979826,1103015,1311283,1119038,2354915,1459023,1705373,512761
sme,Latn,sme_Latn,Northern Sami,t,Ll,LATIN SMALL LETTER T,8913361,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",68311,79890,41993,67336,799717,927965,1076074,950036,1871183,1209082,1391612,430162
sme,Latn,sme_Latn,Northern Sami,o,Ll,LATIN SMALL LETTER O,7928465,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",59853,71822,40147,56995,703576,823202,954361,844396,1706052,1073257,1211203,383601
sme,Latn,sme_Latn,Northern Sami,d,Ll,LATIN SMALL LETTER D,7429512,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",55525,65158,35675,50610,630940,738674,873850,782130,1649554,1002803,1169097,375496
sme,Latn,sme_Latn,Northern Sami,l,Ll,LATIN SMALL LETTER L,7427367,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",54109,64769,35375,55679,670983,782655,912542,782361,1566171,998839,1148008,355876
sme,Latn,sme_Latn,Northern Sami,s,Ll,LATIN SMALL LETTER S,7295669,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",60620,73621,39306,62025,645911,734061,888743,778950,1530530,981100,1145136,355666
sme,Latn,sme_Latn,Northern Sami,n,Ll,LATIN SMALL LETTER N,6445085,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",51488,61267,35104,57700,580125,659605,770983,665004,1411298,857579,992589,302343
sme,Latn,sme_Latn,Northern Sami,u,Ll,LATIN SMALL LETTER U,6278691,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",48210,58055,31110,45637,541498,644907,752994,673576,1351713,856980,963561,310450
sme,Latn,sme_Latn,Northern Sami,r,Ll,LATIN SMALL LETTER R,5517681,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",49564,57167,31142,50360,510863,569233,672021,581089,1132375,743086,863031,257750
sme,Latn,sme_Latn,Northern Sami,á,Ll,LATIN SMALL LETTER A WITH ACUTE,5290887,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",36486,40424,22117,30634,473119,573675,651729,556380,1130766,711760,801962,261835
sme,Latn,sme_Latn,Northern Sami,g,Ll,LATIN SMALL LETTER G,4848235,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",36308,42758,22752,33966,431694,504853,602548,515868,1049165,649426,730364,228533
sme,Latn,sme_Latn,Northern Sami,v,Ll,LATIN SMALL LETTER V,4578405,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",34676,42708,22548,32794,408042,466260,564914,487088,941531,637868,712139,227837
sme,Latn,sme_Latn,Northern Sami,m,Ll,LATIN SMALL LETTER M,4556162,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",33674,40208,21937,32507,405584,463011,557905,490529,989139,612202,692409,217057
sme,Latn,sme_Latn,Northern Sami,h,Ll,LATIN SMALL LETTER H,3924407,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",28599,33121,18881,26691,353885,424306,463217,415147,833325,535626,598742,192867
sme,Latn,sme_Latn,Northern Sami,k,Ll,LATIN SMALL LETTER K,3741315,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",32558,38327,20208,33489,339557,383041,465010,404135,741767,518956,587389,176878
sme,Latn,sme_Latn,Northern Sami,j,Ll,LATIN SMALL LETTER J,2999172,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",18493,23495,12997,20407,254363,301587,358044,316658,687609,397133,457743,150643
sme,Latn,sme_Latn,Northern Sami,b,Ll,LATIN SMALL LETTER B,2240816,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",15719,17374,9315,15022,193581,223405,260518,236474,532338,292344,335100,109626
sme,Latn,sme_Latn,Northern Sami,.,Po,FULL STOP,1690093,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",10341,12824,7751,14844,148935,170658,208561,185689,382877,224476,248568,74569
sme,Latn,sme_Latn,Northern Sami,p,Ll,LATIN SMALL LETTER P,1530604,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",12322,15727,7995,12012,126107,147446,178472,161290,327651,211817,252838,76927
