iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2015_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
smn,Latn,smn_Latn,Inari Sami, ,Zs,SPACE,1172457,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",260,1400,121,1736,29097,39511,89658,117378,190410,198534,373761,130591
smn,Latn,smn_Latn,Inari Sami,i,Ll,LATIN SMALL LETTER I,924280,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",191,1105,88,1124,22897,29028,70101,93812,150177,157053,298808,99896
smn,Latn,smn_Latn,Inari Sami,t,Ll,LATIN SMALL LETTER T,639328,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",152,832,89,752,14802,19108,46785,65223,105926,111194,204143,70322
smn,Latn,smn_Latn,Inari Sami,e,Ll,LATIN SMALL LETTER E,617900,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",131,740,86,670,14590,18786,46169,59967,100467,108269,199704,68321
smn,Latn,smn_Latn,Inari Sami,u,Ll,LATIN SMALL LETTER U,523300,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",101,625,34,548,11464,16163,39401,53003,88282,86837,166620,60222
smn,Latn,smn_Latn,Inari Sami,a,Ll,LATIN SMALL LETTER A,470776,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",217,938,61,958,13832,15333,34171,46694,82434,82869,146275,46994
smn,Latn,smn_Latn,Inari Sami,l,Ll,LATIN SMALL LETTER L,456542,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",113,569,64,659,10817,14944,35170,45831,75149,78185,145308,49733
smn,Latn,smn_Latn,Inari Sami,s,Ll,LATIN SMALL LETTER S,436705,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",106,602,69,553,10594,13364,31754,43197,73258,76874,138805,47529
smn,Latn,smn_Latn,Inari Sami,o,Ll,LATIN SMALL LETTER O,426609,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",85,352,49,441,9874,13062,31012,42623,70278,73146,137608,48079
smn,Latn,smn_Latn,Inari Sami,á,Ll,LATIN SMALL LETTER A WITH ACUTE,405057,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",43,227,17,324,8103,18207,30788,40715,68005,66557,127119,44952
