iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2015_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
smo,Latn,smo_Latn,Samoan, ,Zs,SPACE,81021856,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",372971,264267,329473,518749,3078397,5047867,4929576,7762869,17586557,18215767,18124943,4790420
smo,Latn,smo_Latn,Samoan,a,Ll,LATIN SMALL LETTER A,75379798,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",334430,230414,292225,436367,2572865,4616800,4517523,7062404,16408925,17147265,17182753,4577827
smo,Latn,smo_Latn,Samoan,i,Ll,LATIN SMALL LETTER I,33066293,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",139515,97537,123366,188988,1127710,1978305,1944532,3125829,7268362,7570403,7536272,1965474
smo,Latn,smo_Latn,Samoan,e,Ll,LATIN SMALL LETTER E,31016676,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",123894,94236,114101,174699,1047440,1863255,1874458,2997463,6633304,7098318,7164010,1831498
smo,Latn,smo_Latn,Samoan,o,Ll,LATIN SMALL LETTER O,26731104,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",119908,86467,106191,161986,959237,1643399,1603920,2528502,5808350,6023943,6070398,1618803
smo,Latn,smo_Latn,Samoan,l,Ll,LATIN SMALL LETTER L,25544754,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",107012,80998,97498,145517,852863,1590667,1552543,2458030,5514245,5790344,5788369,1566668
smo,Latn,smo_Latn,Samoan,u,Ll,LATIN SMALL LETTER U,19014083,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",90822,61926,78865,127441,720157,1157952,1150673,1730253,4167331,4329987,4261500,1137176
smo,Latn,smo_Latn,Samoan,t,Ll,LATIN SMALL LETTER T,18647764,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",85350,57096,73174,115507,682758,1097035,1108304,1725993,4135466,4280259,4197777,1089045
smo,Latn,smo_Latn,Samoan,m,Ll,LATIN SMALL LETTER M,13750426,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",57375,39636,49522,72415,419338,763348,779582,1288103,3020522,3205516,3240201,814868
smo,Latn,smo_Latn,Samoan,n,Ll,LATIN SMALL LETTER N,12140027,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",48398,37946,44411,69773,413347,733431,737501,1165990,2721930,2754200,2701919,711181
smo,Latn,smo_Latn,Samoan,f,Ll,LATIN SMALL LETTER F,11658344,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",43953,30561,38081,60867,362554,656246,661696,1064643,2503909,2721518,2809368,704948
smo,Latn,smo_Latn,Samoan,s,Ll,LATIN SMALL LETTER S,10145078,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",39322,29915,36357,52320,319471,589039,603900,984126,2231216,2314457,2352518,592437
smo,Latn,smo_Latn,Samoan,g,Ll,LATIN SMALL LETTER G,8623007,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",30346,22283,27298,38446,237367,505917,522109,822046,1868223,1988719,2029400,530853
smo,Latn,smo_Latn,Samoan,ʻ,Lm,MODIFIER LETTER TURNED COMMA,6021424,10,"2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",0,3,0,10077,103404,124329,187034,541245,1713506,1720926,1382214,238686
smo,Latn,smo_Latn,Samoan,p,Ll,LATIN SMALL LETTER P,4811487,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",16034,11627,14425,23716,151197,255766,268067,423872,1043993,1135963,1178447,288380
smo,Latn,smo_Latn,Samoan,",",Po,COMMA,3478790,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",17688,13422,16630,25351,132256,201965,187817,342102,746482,784635,793594,216848
smo,Latn,smo_Latn,Samoan,.,Po,FULL STOP,3286542,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",15527,9911,11588,19386,118471,169061,187315,318696,704585,760946,778367,192689
smo,Latn,smo_Latn,Samoan,v,Ll,LATIN SMALL LETTER V,2829371,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",12410,8557,10465,16699,97632,170147,175509,279987,615952,643366,635393,163254
