iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2015_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
snd,Latn,snd_Latn,Sindhi, ,Zs,SPACE,188353,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2451,46182,14326,6260,66522,15607,18314,7322,2244,2480,6450,195
snd,Latn,snd_Latn,Sindhi,a,Ll,LATIN SMALL LETTER A,157755,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1921,36352,13148,4289,62715,11446,13633,5833,1525,2088,4689,116
snd,Latn,snd_Latn,Sindhi,h,Ll,LATIN SMALL LETTER H,64256,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",742,15488,5725,2023,22988,5402,5786,2411,696,765,2179,51
snd,Latn,snd_Latn,Sindhi,e,Ll,LATIN SMALL LETTER E,59525,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",709,12761,5683,1674,25156,4128,4444,1802,504,697,1929,38
snd,Latn,snd_Latn,Sindhi,i,Ll,LATIN SMALL LETTER I,53469,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",855,13497,4099,2248,16393,4590,5802,2244,556,700,2450,35
snd,Latn,snd_Latn,Sindhi,n,Ll,LATIN SMALL LETTER N,52600,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",691,13067,4964,1607,16946,4986,4785,2018,557,772,2164,43
snd,Latn,snd_Latn,Sindhi,r,Ll,LATIN SMALL LETTER R,43359,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",667,10063,2850,1585,17150,3201,3601,1714,435,496,1560,37
snd,Latn,snd_Latn,Sindhi,o,Ll,LATIN SMALL LETTER O,42693,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",677,11843,3997,1263,12633,3785,4145,1449,436,588,1818,59
snd,Latn,snd_Latn,Sindhi,t,Ll,LATIN SMALL LETTER T,33306,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",504,8090,2368,860,12524,2588,2948,1318,358,393,1334,21
snd,Latn,snd_Latn,Sindhi,m,Ll,LATIN SMALL LETTER M,29762,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",454,7205,2232,691,11772,2255,2491,1077,244,325,995,21
