iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2018_frequency,year_2019_frequency,year_2022_frequency,year_2023_frequency
sny,Latn,sny_Latn,Saniyo-Hiyewe, ,Zs,SPACE,408169,4,"2018,2019,2022,2023",253917,119862,18961,15429
sny,Latn,sny_Latn,Saniyo-Hiyewe,e,Ll,LATIN SMALL LETTER E,343779,4,"2018,2019,2022,2023",211416,103344,15948,13071
sny,Latn,sny_Latn,Saniyo-Hiyewe,a,Ll,LATIN SMALL LETTER A,222499,4,"2018,2019,2022,2023",135718,67914,10440,8427
sny,Latn,sny_Latn,Saniyo-Hiyewe,i,Ll,LATIN SMALL LETTER I,200651,4,"2018,2019,2022,2023",122275,60597,10013,7766
sny,Latn,sny_Latn,Saniyo-Hiyewe,o,Ll,LATIN SMALL LETTER O,114090,4,"2018,2019,2022,2023",72039,32654,5124,4273
sny,Latn,sny_Latn,Saniyo-Hiyewe,n,Ll,LATIN SMALL LETTER N,99308,4,"2018,2019,2022,2023",62595,28464,4664,3585
sny,Latn,sny_Latn,Saniyo-Hiyewe,w,Ll,LATIN SMALL LETTER W,90851,4,"2018,2019,2022,2023",55074,27955,4335,3487
sny,Latn,sny_Latn,Saniyo-Hiyewe,t,Ll,LATIN SMALL LETTER T,90487,4,"2018,2019,2022,2023",57192,25930,3994,3371
sny,Latn,sny_Latn,Saniyo-Hiyewe,r,Ll,LATIN SMALL LETTER R,86460,4,"2018,2019,2022,2023",55870,23365,4088,3137
sny,Latn,sny_Latn,Saniyo-Hiyewe,s,Ll,LATIN SMALL LETTER S,85809,4,"2018,2019,2022,2023",53913,24775,4000,3121
sny,Latn,sny_Latn,Saniyo-Hiyewe,u,Ll,LATIN SMALL LETTER U,72377,4,"2018,2019,2022,2023",43508,23112,3025,2732
sny,Latn,sny_Latn,Saniyo-Hiyewe,m,Ll,LATIN SMALL LETTER M,57103,4,"2018,2019,2022,2023",35567,16800,2768,1968
sny,Latn,sny_Latn,Saniyo-Hiyewe,',Po,APOSTROPHE,56850,4,"2018,2019,2022,2023",34816,17544,2504,1986
sny,Latn,sny_Latn,Saniyo-Hiyewe,y,Ll,LATIN SMALL LETTER Y,55359,4,"2018,2019,2022,2023",33323,17348,2506,2182
sny,Latn,sny_Latn,Saniyo-Hiyewe,l,Ll,LATIN SMALL LETTER L,49284,4,"2018,2019,2022,2023",30263,14979,2218,1824
sny,Latn,sny_Latn,Saniyo-Hiyewe,p,Ll,LATIN SMALL LETTER P,44048,4,"2018,2019,2022,2023",26835,13300,2018,1895
