iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2017_frequency,year_2018_frequency
soe,Latn,soe_Latn,Songomeno, ,Zs,SPACE,162,2,"2017,2018",105,57
soe,Latn,soe_Latn,Songomeno,o,Ll,LATIN SMALL LETTER O,98,2,"2017,2018",72,26
soe,Latn,soe_Latn,Songomeno,a,Ll,LATIN SMALL LETTER A,98,2,"2017,2018",60,38
soe,Latn,soe_Latn,Songomeno,e,Ll,LATIN SMALL LETTER E,92,2,"2017,2018",59,33
soe,Latn,soe_Latn,Songomeno,n,Ll,LATIN SMALL LETTER N,58,2,"2017,2018",36,22
soe,Latn,soe_Latn,Songomeno,l,Ll,LATIN SMALL LETTER L,57,2,"2017,2018",28,29
soe,Latn,soe_Latn,Songomeno,k,Ll,LATIN SMALL LETTER K,53,2,"2017,2018",40,13
soe,Latn,soe_Latn,Songomeno,d,Ll,LATIN SMALL LETTER D,37,2,"2017,2018",21,16
soe,Latn,soe_Latn,Songomeno,t,Ll,LATIN SMALL LETTER T,35,2,"2017,2018",24,11
soe,Latn,soe_Latn,Songomeno,w,Ll,LATIN SMALL LETTER W,34,2,"2017,2018",22,12
soe,Latn,soe_Latn,Songomeno,i,Ll,LATIN SMALL LETTER I,31,2,"2017,2018",16,15
soe,Latn,soe_Latn,Songomeno,m,Ll,LATIN SMALL LETTER M,29,2,"2017,2018",16,13
soe,Latn,soe_Latn,Songomeno,s,Ll,LATIN SMALL LETTER S,24,2,"2017,2018",20,4
soe,Latn,soe_Latn,Songomeno,p,Ll,LATIN SMALL LETTER P,23,2,"2017,2018",16,7
soe,Latn,soe_Latn,Songomeno,b,Ll,LATIN SMALL LETTER B,21,2,"2017,2018",9,12
soe,Latn,soe_Latn,Songomeno,j,Ll,LATIN SMALL LETTER J,20,2,"2017,2018",14,6
soe,Latn,soe_Latn,Songomeno,.,Po,FULL STOP,14,2,"2017,2018",9,5
soe,Latn,soe_Latn,Songomeno,’,Pf,RIGHT SINGLE QUOTATION MARK,13,2,"2017,2018",7,6
soe,Latn,soe_Latn,Songomeno,á,Ll,LATIN SMALL LETTER A WITH ACUTE,11,2,"2017,2018",5,6
soe,Latn,soe_Latn,Songomeno,g,Ll,LATIN SMALL LETTER G,11,2,"2017,2018",6,5
soe,Latn,soe_Latn,Songomeno,ɔ,Ll,LATIN SMALL LETTER OPEN O,9,2,"2017,2018",5,4
soe,Latn,soe_Latn,Songomeno,",",Po,COMMA,9,2,"2017,2018",7,2
soe,Latn,soe_Latn,Songomeno,y,Ll,LATIN SMALL LETTER Y,9,2,"2017,2018",4,5
soe,Latn,soe_Latn,Songomeno,O,Lu,LATIN CAPITAL LETTER O,9,2,"2017,2018",7,2
soe,Latn,soe_Latn,Songomeno,ɛ,Ll,LATIN SMALL LETTER OPEN E,7,2,"2017,2018",2,5
soe,Latn,soe_Latn,Songomeno,B,Lu,LATIN CAPITAL LETTER B,7,2,"2017,2018",3,4
soe,Latn,soe_Latn,Songomeno,f,Ll,LATIN SMALL LETTER F,7,2,"2017,2018",5,2
soe,Latn,soe_Latn,Songomeno,h,Ll,LATIN SMALL LETTER H,6,1,2017,6,0
soe,Latn,soe_Latn,Songomeno,u,Ll,LATIN SMALL LETTER U,6,2,"2017,2018",5,1
soe,Latn,soe_Latn,Songomeno,r,Ll,LATIN SMALL LETTER R,5,2,"2017,2018",3,2
soe,Latn,soe_Latn,Songomeno,I,Lu,LATIN CAPITAL LETTER I,5,2,"2017,2018",3,2
soe,Latn,soe_Latn,Songomeno,v,Ll,LATIN SMALL LETTER V,4,2,"2017,2018",3,1
soe,Latn,soe_Latn,Songomeno,Y,Lu,LATIN CAPITAL LETTER Y,4,1,2017,4,0
soe,Latn,soe_Latn,Songomeno,T,Lu,LATIN CAPITAL LETTER T,3,2,"2017,2018",2,1
soe,Latn,soe_Latn,Songomeno,0,Nd,DIGIT ZERO,3,1,2018,0,3
soe,Latn,soe_Latn,Songomeno,N,Lu,LATIN CAPITAL LETTER N,2,1,2017,2,0
soe,Latn,soe_Latn,Songomeno,;,Po,SEMICOLON,2,2,"2017,2018",1,1
soe,Latn,soe_Latn,Songomeno,K,Lu,LATIN CAPITAL LETTER K,2,1,2017,2,0
soe,Latn,soe_Latn,Songomeno,ì,Ll,LATIN SMALL LETTER I WITH GRAVE,2,1,2018,0,2
soe,Latn,soe_Latn,Songomeno,2,Nd,DIGIT TWO,2,1,2018,0,2
soe,Latn,soe_Latn,Songomeno,í,Ll,LATIN SMALL LETTER I WITH ACUTE,1,1,2017,1,0
soe,Latn,soe_Latn,Songomeno,A,Lu,LATIN CAPITAL LETTER A,1,1,2017,1,0
soe,Latn,soe_Latn,Songomeno,M,Lu,LATIN CAPITAL LETTER M,1,1,2018,0,1
soe,Latn,soe_Latn,Songomeno,1,Nd,DIGIT ONE,1,1,2018,0,1
soe,Latn,soe_Latn,Songomeno,W,Lu,LATIN CAPITAL LETTER W,1,1,2018,0,1
