iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2018_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
spl,Latn,spl_Latn,Selepet, ,Zs,SPACE,310842,4,"2018,2022,2023,2024",281148,10378,15952,3364
spl,Latn,spl_Latn,Selepet,â,Ll,LATIN SMALL LETTER A WITH CIRCUMFLEX,177912,4,"2018,2022,2023,2024",159484,6564,9717,2147
spl,Latn,spl_Latn,Selepet,e,Ll,LATIN SMALL LETTER E,167841,4,"2018,2022,2023,2024",151379,5905,8679,1878
spl,Latn,spl_Latn,Selepet,a,Ll,LATIN SMALL LETTER A,135642,4,"2018,2022,2023,2024",122271,4667,7172,1532
spl,Latn,spl_Latn,Selepet,m,Ll,LATIN SMALL LETTER M,127608,4,"2018,2022,2023,2024",114060,4734,7209,1605
spl,Latn,spl_Latn,Selepet,n,Ll,LATIN SMALL LETTER N,114187,4,"2018,2022,2023,2024",101600,4605,6520,1462
spl,Latn,spl_Latn,Selepet,t,Ll,LATIN SMALL LETTER T,109734,4,"2018,2022,2023,2024",98624,4028,5820,1262
spl,Latn,spl_Latn,Selepet,i,Ll,LATIN SMALL LETTER I,108932,4,"2018,2022,2023,2024",96860,4276,6380,1416
spl,Latn,spl_Latn,Selepet,o,Ll,LATIN SMALL LETTER O,96150,4,"2018,2022,2023,2024",87379,3068,4721,982
spl,Latn,spl_Latn,Selepet,ŋ,Ll,LATIN SMALL LETTER ENG,95273,4,"2018,2022,2023,2024",84502,3884,5566,1321
spl,Latn,spl_Latn,Selepet,u,Ll,LATIN SMALL LETTER U,79818,4,"2018,2022,2023,2024",72373,2544,4067,834
spl,Latn,spl_Latn,Selepet,k,Ll,LATIN SMALL LETTER K,78207,4,"2018,2022,2023,2024",70167,2924,4226,890
spl,Latn,spl_Latn,Selepet,y,Ll,LATIN SMALL LETTER Y,55738,4,"2018,2022,2023,2024",49883,1969,3194,692
spl,Latn,spl_Latn,Selepet,p,Ll,LATIN SMALL LETTER P,49800,4,"2018,2022,2023,2024",45072,1640,2566,522
spl,Latn,spl_Latn,Selepet,g,Ll,LATIN SMALL LETTER G,49143,4,"2018,2022,2023,2024",43905,1867,2713,658
spl,Latn,spl_Latn,Selepet,l,Ll,LATIN SMALL LETTER L,44704,4,"2018,2022,2023,2024",40430,1475,2339,460
spl,Latn,spl_Latn,Selepet,h,Ll,LATIN SMALL LETTER H,44288,4,"2018,2022,2023,2024",40218,1484,2149,437
spl,Latn,spl_Latn,Selepet,s,Ll,LATIN SMALL LETTER S,38632,4,"2018,2022,2023,2024",36065,869,1448,250
spl,Latn,spl_Latn,Selepet,w,Ll,LATIN SMALL LETTER W,36583,4,"2018,2022,2023,2024",33266,1149,1799,369
spl,Latn,spl_Latn,Selepet,r,Ll,LATIN SMALL LETTER R,30669,4,"2018,2022,2023,2024",28207,860,1332,270
spl,Latn,spl_Latn,Selepet,b,Ll,LATIN SMALL LETTER B,30358,4,"2018,2022,2023,2024",27163,1093,1741,361
spl,Latn,spl_Latn,Selepet,.,Po,FULL STOP,29955,4,"2018,2022,2023,2024",27279,920,1445,311
spl,Latn,spl_Latn,Selepet,Y,Lu,LATIN CAPITAL LETTER Y,17891,4,"2018,2022,2023,2024",16353,538,813,187
spl,Latn,spl_Latn,Selepet,d,Ll,LATIN SMALL LETTER D,14721,4,"2018,2022,2023,2024",13498,420,682,121
spl,Latn,spl_Latn,Selepet,A,Lu,LATIN CAPITAL LETTER A,6807,4,"2018,2022,2023,2024",5952,345,395,115
spl,Latn,spl_Latn,Selepet,",",Po,COMMA,5433,4,"2018,2022,2023,2024",5099,151,170,13
spl,Latn,spl_Latn,Selepet,1,Nd,DIGIT ONE,5210,4,"2018,2022,2023,2024",4792,147,226,45
spl,Latn,spl_Latn,Selepet,K,Lu,LATIN CAPITAL LETTER K,3775,4,"2018,2022,2023,2024",3156,255,315,49
spl,Latn,spl_Latn,Selepet,2,Nd,DIGIT TWO,3633,4,"2018,2022,2023,2024",3343,99,148,43
spl,Latn,spl_Latn,Selepet,S,Lu,LATIN CAPITAL LETTER S,3420,4,"2018,2022,2023,2024",3347,25,41,7
spl,Latn,spl_Latn,Selepet,O,Lu,LATIN CAPITAL LETTER O,3330,4,"2018,2022,2023,2024",2944,128,214,44
spl,Latn,spl_Latn,Selepet,“,Pi,LEFT DOUBLE QUOTATION MARK,3120,4,"2018,2022,2023,2024",2984,33,89,14
spl,Latn,spl_Latn,Selepet,”,Pf,RIGHT DOUBLE QUOTATION MARK,3052,4,"2018,2022,2023,2024",2918,31,89,14
spl,Latn,spl_Latn,Selepet,P,Lu,LATIN CAPITAL LETTER P,2446,4,"2018,2022,2023,2024",2379,37,25,5
spl,Latn,spl_Latn,Selepet,E,Lu,LATIN CAPITAL LETTER E,2404,4,"2018,2022,2023,2024",2320,36,43,5
spl,Latn,spl_Latn,Selepet,3,Nd,DIGIT THREE,2383,4,"2018,2022,2023,2024",2237,34,98,14
spl,Latn,spl_Latn,Selepet,N,Lu,LATIN CAPITAL LETTER N,2314,4,"2018,2022,2023,2024",2175,51,78,10
spl,Latn,spl_Latn,Selepet,T,Lu,LATIN CAPITAL LETTER T,2261,4,"2018,2022,2023,2024",2216,25,19,1
spl,Latn,spl_Latn,Selepet,c,Ll,LATIN SMALL LETTER C,2175,1,2018,2175,0,0,0
spl,Latn,spl_Latn,Selepet,L,Lu,LATIN CAPITAL LETTER L,2146,4,"2018,2022,2023,2024",2021,29,72,24
