iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2016_frequency,year_2017_frequency,year_2019_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency
spp,Latn,spp_Latn,Supyire Senoufo, ,Zs,SPACE,307108,8,"2013,2014,2016,2017,2019,2021,2022,2023",245277,16865,1514,7957,15507,3021,16660,307
spp,Latn,spp_Latn,Supyire Senoufo,i,Ll,LATIN SMALL LETTER I,150020,8,"2013,2014,2016,2017,2019,2021,2022,2023",118960,8235,936,3957,7918,1271,8592,151
spp,Latn,spp_Latn,Supyire Senoufo,a,Ll,LATIN SMALL LETTER A,114458,8,"2013,2014,2016,2017,2019,2021,2022,2023",91782,6576,571,2823,5381,1325,5879,121
spp,Latn,spp_Latn,Supyire Senoufo,n,Ll,LATIN SMALL LETTER N,72346,8,"2013,2014,2016,2017,2019,2021,2022,2023",57471,4079,387,2022,3683,680,3933,91
spp,Latn,spp_Latn,Supyire Senoufo,e,Ll,LATIN SMALL LETTER E,67544,8,"2013,2014,2016,2017,2019,2021,2022,2023",54363,3726,309,1687,3329,517,3504,109
spp,Latn,spp_Latn,Supyire Senoufo,y,Ll,LATIN SMALL LETTER Y,64732,8,"2013,2014,2016,2017,2019,2021,2022,2023",51990,3406,387,1789,3051,522,3512,75
spp,Latn,spp_Latn,Supyire Senoufo,u,Ll,LATIN SMALL LETTER U,63650,8,"2013,2014,2016,2017,2019,2021,2022,2023",50686,3322,293,1545,3512,641,3552,99
spp,Latn,spp_Latn,Supyire Senoufo,m,Ll,LATIN SMALL LETTER M,41979,8,"2013,2014,2016,2017,2019,2021,2022,2023",33467,2310,209,1075,2164,449,2273,32
spp,Latn,spp_Latn,Supyire Senoufo,p,Ll,LATIN SMALL LETTER P,36994,8,"2013,2014,2016,2017,2019,2021,2022,2023",29822,2056,173,885,1823,273,1934,28
spp,Latn,spp_Latn,Supyire Senoufo,k,Ll,LATIN SMALL LETTER K,36977,8,"2013,2014,2016,2017,2019,2021,2022,2023",29749,1988,177,941,1726,337,2027,32
spp,Latn,spp_Latn,Supyire Senoufo,r,Ll,LATIN SMALL LETTER R,34613,8,"2013,2014,2016,2017,2019,2021,2022,2023",27718,1955,195,853,1678,271,1890,53
spp,Latn,spp_Latn,Supyire Senoufo,ɛ,Ll,LATIN SMALL LETTER OPEN E,32868,8,"2013,2014,2016,2017,2019,2021,2022,2023",26064,1753,133,984,1760,332,1782,60
spp,Latn,spp_Latn,Supyire Senoufo,s,Ll,LATIN SMALL LETTER S,29652,8,"2013,2014,2016,2017,2019,2021,2022,2023",23712,1709,152,769,1339,324,1606,41
spp,Latn,spp_Latn,Supyire Senoufo,w,Ll,LATIN SMALL LETTER W,26195,8,"2013,2014,2016,2017,2019,2021,2022,2023",20804,1494,139,712,1330,311,1361,44
spp,Latn,spp_Latn,Supyire Senoufo,à,Ll,LATIN SMALL LETTER A WITH GRAVE,26045,8,"2013,2014,2016,2017,2019,2021,2022,2023",20922,1415,119,689,1311,170,1396,23
spp,Latn,spp_Latn,Supyire Senoufo,l,Ll,LATIN SMALL LETTER L,25176,8,"2013,2014,2016,2017,2019,2021,2022,2023",19995,1426,117,632,1506,213,1238,49
