iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2017_frequency,year_2018_frequency,year_2021_frequency,year_2023_frequency
ssx,Latn,ssx_Latn,Samberigi,a,Ll,LATIN SMALL LETTER A,66553,4,"2017,2018,2021,2023",14582,49719,518,1734
ssx,Latn,ssx_Latn,Samberigi, ,Zs,SPACE,62346,4,"2017,2018,2021,2023",13096,47240,410,1600
ssx,Latn,ssx_Latn,Samberigi,e,Ll,LATIN SMALL LETTER E,39985,4,"2017,2018,2021,2023",7890,30874,270,951
ssx,Latn,ssx_Latn,Samberigi,꞉,Sk,MODIFIER LETTER COLON,33552,4,"2017,2018,2021,2023",7860,24557,272,863
ssx,Latn,ssx_Latn,Samberigi,i,Ll,LATIN SMALL LETTER I,27054,4,"2017,2018,2021,2023",5909,20398,191,556
ssx,Latn,ssx_Latn,Samberigi,k,Ll,LATIN SMALL LETTER K,22429,4,"2017,2018,2021,2023",4678,17078,176,497
ssx,Latn,ssx_Latn,Samberigi,o,Ll,LATIN SMALL LETTER O,21938,4,"2017,2018,2021,2023",4586,16585,143,624
ssx,Latn,ssx_Latn,Samberigi,m,Ll,LATIN SMALL LETTER M,19166,4,"2017,2018,2021,2023",4102,14405,136,523
ssx,Latn,ssx_Latn,Samberigi,p,Ll,LATIN SMALL LETTER P,17556,4,"2017,2018,2021,2023",3760,13241,141,414
ssx,Latn,ssx_Latn,Samberigi,t,Ll,LATIN SMALL LETTER T,17349,4,"2017,2018,2021,2023",3599,13184,122,444
ssx,Latn,ssx_Latn,Samberigi,n,Ll,LATIN SMALL LETTER N,17100,4,"2017,2018,2021,2023",3523,13025,144,408
ssx,Latn,ssx_Latn,Samberigi,l,Ll,LATIN SMALL LETTER L,15901,4,"2017,2018,2021,2023",3302,12122,91,386
ssx,Latn,ssx_Latn,Samberigi,h,Ll,LATIN SMALL LETTER H,11544,4,"2017,2018,2021,2023",2361,8731,89,363
ssx,Latn,ssx_Latn,Samberigi,u,Ll,LATIN SMALL LETTER U,9528,4,"2017,2018,2021,2023",2027,7127,65,309
ssx,Latn,ssx_Latn,Samberigi,d,Ll,LATIN SMALL LETTER D,6978,4,"2017,2018,2021,2023",1331,5478,43,126
