iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2015_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
stq,Latn,stq_Latn,Saterfriesisch, ,Zs,SPACE,686111,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",61627,114432,9462,12402,51122,81471,216056,67789,24367,9463,34454,3466
stq,Latn,stq_Latn,Saterfriesisch,e,Ll,LATIN SMALL LETTER E,508320,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",48386,88825,7588,10072,38591,58608,153321,49034,18388,6864,26018,2625
stq,Latn,stq_Latn,Saterfriesisch,n,Ll,LATIN SMALL LETTER N,307701,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",28842,53309,4492,5747,23705,36767,91143,30856,11388,3866,15944,1642
stq,Latn,stq_Latn,Saterfriesisch,o,Ll,LATIN SMALL LETTER O,229574,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",21111,39712,3388,4375,16795,27372,68178,23450,8685,3089,12220,1199
stq,Latn,stq_Latn,Saterfriesisch,u,Ll,LATIN SMALL LETTER U,227308,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",21470,38194,3291,4510,17172,26921,69457,21754,8709,3144,11453,1233
stq,Latn,stq_Latn,Saterfriesisch,i,Ll,LATIN SMALL LETTER I,225843,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",20647,38254,3326,4221,17101,26314,69029,21893,8438,2941,12389,1290
stq,Latn,stq_Latn,Saterfriesisch,t,Ll,LATIN SMALL LETTER T,223671,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",21300,40329,3302,4502,16751,25601,65462,22029,8057,3066,12089,1183
stq,Latn,stq_Latn,Saterfriesisch,r,Ll,LATIN SMALL LETTER R,197347,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",19218,35366,3096,3931,15085,22274,54987,21289,7483,2558,10939,1121
stq,Latn,stq_Latn,Saterfriesisch,a,Ll,LATIN SMALL LETTER A,192921,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",17805,32662,3019,3392,13502,22300,59286,20176,6884,2419,10427,1049
stq,Latn,stq_Latn,Saterfriesisch,d,Ll,LATIN SMALL LETTER D,184789,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",17566,32480,2654,3675,14361,23368,54511,16390,6594,2444,9825,921
stq,Latn,stq_Latn,Saterfriesisch,s,Ll,LATIN SMALL LETTER S,163436,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",14945,27577,2505,3137,12220,18637,49370,16413,6156,2285,9290,901
stq,Latn,stq_Latn,Saterfriesisch,l,Ll,LATIN SMALL LETTER L,128272,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",12386,22982,2017,2655,9553,13874,37025,13330,4865,1879,6974,732
stq,Latn,stq_Latn,Saterfriesisch,ä,Ll,LATIN SMALL LETTER A WITH DIAERESIS,124041,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",10819,20894,1719,2473,9968,15325,39770,10565,4033,1718,6193,564
stq,Latn,stq_Latn,Saterfriesisch,k,Ll,LATIN SMALL LETTER K,106908,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",9954,18276,1581,2234,8228,12869,31383,9989,3971,1955,5931,537
stq,Latn,stq_Latn,Saterfriesisch,m,Ll,LATIN SMALL LETTER M,66680,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",5936,11167,949,1050,4722,7321,22451,6426,2186,920,3221,331
stq,Latn,stq_Latn,Saterfriesisch,h,Ll,LATIN SMALL LETTER H,65975,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",5572,10581,842,1076,4984,7962,22426,5987,2152,719,3345,329
stq,Latn,stq_Latn,Saterfriesisch,f,Ll,LATIN SMALL LETTER F,59427,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",6009,10833,914,1205,4467,6759,16028,6200,2358,896,3456,302
stq,Latn,stq_Latn,Saterfriesisch,w,Ll,LATIN SMALL LETTER W,55404,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",4706,9051,717,922,4394,7081,18718,4302,2004,772,2513,224
