iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2018_frequency,year_2019_frequency,year_2021_frequency,year_2023_frequency,year_2024_frequency
suc,Latn,suc_Latn,Western Subanon, ,Zs,SPACE,42817,5,"2018,2019,2021,2023,2024",5859,3184,1973,24662,7139
suc,Latn,suc_Latn,Western Subanon,n,Ll,LATIN SMALL LETTER N,30441,5,"2018,2019,2021,2023,2024",5997,2139,1429,15970,4906
suc,Latn,suc_Latn,Western Subanon,o,Ll,LATIN SMALL LETTER O,27587,5,"2018,2019,2021,2023,2024",3123,2061,1417,16174,4812
suc,Latn,suc_Latn,Western Subanon,a,Ll,LATIN SMALL LETTER A,21097,5,"2018,2019,2021,2023,2024",575,1784,1136,13527,4075
suc,Latn,suc_Latn,Western Subanon,i,Ll,LATIN SMALL LETTER I,17321,5,"2018,2019,2021,2023,2024",1765,1385,794,10455,2922
suc,Latn,suc_Latn,Western Subanon,g,Ll,LATIN SMALL LETTER G,14521,5,"2018,2019,2021,2023,2024",130,1306,899,9607,2579
suc,Latn,suc_Latn,Western Subanon,u,Ll,LATIN SMALL LETTER U,11770,5,"2018,2019,2021,2023,2024",453,835,555,7733,2194
suc,Latn,suc_Latn,Western Subanon,s,Ll,LATIN SMALL LETTER S,8923,5,"2018,2019,2021,2023,2024",1791,600,335,5055,1142
suc,Latn,suc_Latn,Western Subanon,t,Ll,LATIN SMALL LETTER T,7028,5,"2018,2019,2021,2023,2024",469,611,355,4515,1078
suc,Latn,suc_Latn,Western Subanon,k,Ll,LATIN SMALL LETTER K,6674,5,"2018,2019,2021,2023,2024",3,454,355,4534,1328
suc,Latn,suc_Latn,Western Subanon,d,Ll,LATIN SMALL LETTER D,6510,5,"2018,2019,2021,2023,2024",207,468,331,4212,1292
suc,Latn,suc_Latn,Western Subanon,l,Ll,LATIN SMALL LETTER L,6357,5,"2018,2019,2021,2023,2024",309,478,348,4042,1180
suc,Latn,suc_Latn,Western Subanon,m,Ll,LATIN SMALL LETTER M,5634,5,"2018,2019,2021,2023,2024",183,465,331,3505,1150
suc,Latn,suc_Latn,Western Subanon,ꞌ,Ll,LATIN SMALL LETTER SALTILLO,5201,4,"2019,2021,2023,2024",0,464,286,3375,1076
suc,Latn,suc_Latn,Western Subanon,p,Ll,LATIN SMALL LETTER P,4572,5,"2018,2019,2021,2023,2024",183,354,176,3123,736
suc,Latn,suc_Latn,Western Subanon,b,Ll,LATIN SMALL LETTER B,3861,5,"2018,2019,2021,2023,2024",50,321,202,2594,694
suc,Latn,suc_Latn,Western Subanon,",",Po,COMMA,2411,5,"2018,2019,2021,2023,2024",57,229,147,1450,528
suc,Latn,suc_Latn,Western Subanon,.,Po,FULL STOP,2219,5,"2018,2019,2021,2023,2024",42,205,100,1480,392
suc,Latn,suc_Latn,Western Subanon,y,Ll,LATIN SMALL LETTER Y,1875,5,"2018,2019,2021,2023,2024",22,161,137,1059,496
