iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2016_frequency,year_2017_frequency,year_2023_frequency
sur,Latn,sur_Latn,Mwaghavul, ,Zs,SPACE,310926,5,"2013,2014,2016,2017,2023",268783,6855,3667,31514,107
sur,Latn,sur_Latn,Mwaghavul,i,Ll,LATIN SMALL LETTER I,142257,5,"2013,2014,2016,2017,2023",123881,3286,1678,13404,8
sur,Latn,sur_Latn,Mwaghavul,a,Ll,LATIN SMALL LETTER A,124161,5,"2013,2014,2016,2017,2023",106844,2849,1528,12906,34
sur,Latn,sur_Latn,Mwaghavul,n,Ll,LATIN SMALL LETTER N,103743,5,"2013,2014,2016,2017,2023",89210,2276,1287,10938,32
sur,Latn,sur_Latn,Mwaghavul,e,Ll,LATIN SMALL LETTER E,81304,5,"2013,2014,2016,2017,2023",69948,1823,1082,8444,7
sur,Latn,sur_Latn,Mwaghavul,m,Ll,LATIN SMALL LETTER M,71348,5,"2013,2014,2016,2017,2023",62468,1589,847,6423,21
sur,Latn,sur_Latn,Mwaghavul,u,Ll,LATIN SMALL LETTER U,67740,5,"2013,2014,2016,2017,2023",58691,1428,804,6806,11
sur,Latn,sur_Latn,Mwaghavul,k,Ll,LATIN SMALL LETTER K,52690,5,"2013,2014,2016,2017,2023",46223,1177,622,4639,29
sur,Latn,sur_Latn,Mwaghavul,o,Ll,LATIN SMALL LETTER O,48463,5,"2013,2014,2016,2017,2023",42732,988,539,4197,7
sur,Latn,sur_Latn,Mwaghavul,s,Ll,LATIN SMALL LETTER S,40327,5,"2013,2014,2016,2017,2023",34773,905,444,4192,13
sur,Latn,sur_Latn,Mwaghavul,r,Ll,LATIN SMALL LETTER R,39786,5,"2013,2014,2016,2017,2023",34559,983,468,3768,8
sur,Latn,sur_Latn,Mwaghavul,ɗ,Ll,LATIN SMALL LETTER D WITH HOOK,36337,5,"2013,2014,2016,2017,2023",31511,823,471,3523,9
sur,Latn,sur_Latn,Mwaghavul,w,Ll,LATIN SMALL LETTER W,33368,5,"2013,2014,2016,2017,2023",28160,777,421,3993,17
sur,Latn,sur_Latn,Mwaghavul,g,Ll,LATIN SMALL LETTER G,32054,5,"2013,2014,2016,2017,2023",27695,711,419,3211,18
sur,Latn,sur_Latn,Mwaghavul,̶,Mn,COMBINING LONG STROKE OVERLAY,30664,4,"2013,2014,2016,2017",26768,717,314,2865,0
sur,Latn,sur_Latn,Mwaghavul,t,Ll,LATIN SMALL LETTER T,29178,5,"2013,2014,2016,2017,2023",25459,638,401,2673,7
sur,Latn,sur_Latn,Mwaghavul,",",Po,COMMA,27884,5,"2013,2014,2016,2017,2023",24043,624,354,2859,4
sur,Latn,sur_Latn,Mwaghavul,p,Ll,LATIN SMALL LETTER P,25293,5,"2013,2014,2016,2017,2023",21948,519,269,2544,13
sur,Latn,sur_Latn,Mwaghavul,h,Ll,LATIN SMALL LETTER H,23469,5,"2013,2014,2016,2017,2023",20513,577,292,2081,6
sur,Latn,sur_Latn,Mwaghavul,l,Ll,LATIN SMALL LETTER L,19142,5,"2013,2014,2016,2017,2023",16750,411,201,1768,12
sur,Latn,sur_Latn,Mwaghavul,y,Ll,LATIN SMALL LETTER Y,16160,5,"2013,2014,2016,2017,2023",14176,330,186,1464,4
sur,Latn,sur_Latn,Mwaghavul,.,Po,FULL STOP,14464,5,"2013,2014,2016,2017,2023",12542,337,156,1424,5
sur,Latn,sur_Latn,Mwaghavul,ɓ,Ll,LATIN SMALL LETTER B WITH HOOK,12500,5,"2013,2014,2016,2017,2023",10860,277,158,1203,2
sur,Latn,sur_Latn,Mwaghavul,b,Ll,LATIN SMALL LETTER B,10986,5,"2013,2014,2016,2017,2023",9555,252,156,1022,1
sur,Latn,sur_Latn,Mwaghavul,d,Ll,LATIN SMALL LETTER D,8491,5,"2013,2014,2016,2017,2023",7432,163,88,806,2
sur,Latn,sur_Latn,Mwaghavul,f,Ll,LATIN SMALL LETTER F,7953,4,"2013,2014,2016,2017",6956,164,110,723,0
sur,Latn,sur_Latn,Mwaghavul,c,Ll,LATIN SMALL LETTER C,6875,5,"2013,2014,2016,2017,2023",5961,157,110,646,1
sur,Latn,sur_Latn,Mwaghavul,j,Ll,LATIN SMALL LETTER J,6852,4,"2013,2014,2016,2017",6046,158,84,564,0
sur,Latn,sur_Latn,Mwaghavul,ì,Ll,LATIN SMALL LETTER I WITH GRAVE,6846,5,"2013,2014,2016,2017,2023",6077,153,68,543,5
sur,Latn,sur_Latn,Mwaghavul,̵,Mn,COMBINING SHORT STROKE OVERLAY,6844,4,"2013,2014,2016,2017",6080,153,68,543,0
sur,Latn,sur_Latn,Mwaghavul,N,Lu,LATIN CAPITAL LETTER N,5960,5,"2013,2014,2016,2017,2023",5244,132,87,496,1
sur,Latn,sur_Latn,Mwaghavul,z,Ll,LATIN SMALL LETTER Z,5162,4,"2013,2014,2016,2017",4388,94,71,609,0
sur,Latn,sur_Latn,Mwaghavul,"""",Po,QUOTATION MARK,4981,4,"2013,2014,2016,2017",4015,87,46,833,0
sur,Latn,sur_Latn,Mwaghavul,`,Sk,GRAVE ACCENT,4972,4,"2013,2014,2016,2017",4309,121,72,470,0
sur,Latn,sur_Latn,Mwaghavul,1,Nd,DIGIT ONE,4181,4,"2013,2014,2016,2017",3633,92,42,414,0
sur,Latn,sur_Latn,Mwaghavul,J,Lu,LATIN CAPITAL LETTER J,4099,4,"2013,2014,2016,2017",3353,91,36,619,0
