iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2017_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency
suz,Deva,suz_Deva,Sunwar, ,Zs,SPACE,132020,6,"2017,2019,2020,2021,2022,2023",3421,30523,496,83566,8491,5523
suz,Deva,suz_Deva,Sunwar,ा,Mc,DEVANAGARI VOWEL SIGN AA,52781,6,"2017,2019,2020,2021,2022,2023",1373,11759,198,33836,3577,2038
suz,Deva,suz_Deva,Sunwar,म,Lo,DEVANAGARI LETTER MA,45497,6,"2017,2019,2020,2021,2022,2023",1184,10330,189,28970,3024,1800
suz,Deva,suz_Deva,Sunwar,्,Mn,DEVANAGARI SIGN VIRAMA,42291,6,"2017,2019,2020,2021,2022,2023",1113,9774,150,26749,2828,1677
suz,Deva,suz_Deva,Sunwar,क,Lo,DEVANAGARI LETTER KA,40046,6,"2017,2019,2020,2021,2022,2023",1111,9010,179,25487,2844,1415
suz,Deva,suz_Deva,Sunwar,े,Mn,DEVANAGARI VOWEL SIGN E,35538,6,"2017,2019,2020,2021,2022,2023",855,8285,191,22469,2287,1451
suz,Deva,suz_Deva,Sunwar,ी,Mc,DEVANAGARI VOWEL SIGN II,29718,6,"2017,2019,2020,2021,2022,2023",820,6901,24,18617,1863,1493
suz,Deva,suz_Deva,Sunwar,न,Lo,DEVANAGARI LETTER NA,29707,6,"2017,2019,2020,2021,2022,2023",675,6719,111,18805,1817,1580
suz,Deva,suz_Deva,Sunwar,ो,Mc,DEVANAGARI VOWEL SIGN O,28739,6,"2017,2019,2020,2021,2022,2023",684,6543,152,18366,1914,1080
suz,Deva,suz_Deva,Sunwar,र,Lo,DEVANAGARI LETTER RA,26179,6,"2017,2019,2020,2021,2022,2023",639,5802,89,16767,1607,1275
suz,Deva,suz_Deva,Sunwar,ु,Mn,DEVANAGARI VOWEL SIGN U,26064,6,"2017,2019,2020,2021,2022,2023",776,5730,101,16663,1705,1089
suz,Deva,suz_Deva,Sunwar,प,Lo,DEVANAGARI LETTER PA,21536,6,"2017,2019,2020,2021,2022,2023",560,4992,64,13609,1240,1071
suz,Deva,suz_Deva,Sunwar,ल,Lo,DEVANAGARI LETTER LA,20782,6,"2017,2019,2020,2021,2022,2023",364,4567,127,13458,1408,858
