iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2014_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2021_frequency,year_2022_frequency
tar,Latn,tar_Latn,Central Tarahumara, ,Zs,SPACE,50258,6,"2014,2016,2017,2018,2021,2022",150,587,34159,10780,3293,1289
tar,Latn,tar_Latn,Central Tarahumara,i,Ll,LATIN SMALL LETTER I,37783,6,"2014,2016,2017,2018,2021,2022",78,296,27397,7293,2113,606
tar,Latn,tar_Latn,Central Tarahumara,a,Ll,LATIN SMALL LETTER A,34809,6,"2014,2016,2017,2018,2021,2022",142,356,23408,7898,2171,834
tar,Latn,tar_Latn,Central Tarahumara,e,Ll,LATIN SMALL LETTER E,13619,6,"2014,2016,2017,2018,2021,2022",59,216,8995,3189,622,538
tar,Latn,tar_Latn,Central Tarahumara,n,Ll,LATIN SMALL LETTER N,12786,6,"2014,2016,2017,2018,2021,2022",57,163,8761,2681,813,311
tar,Latn,tar_Latn,Central Tarahumara,l,Ll,LATIN SMALL LETTER L,12108,6,"2014,2016,2017,2018,2021,2022",39,128,8424,2473,652,392
tar,Latn,tar_Latn,Central Tarahumara,m,Ll,LATIN SMALL LETTER M,10785,6,"2014,2016,2017,2018,2021,2022",28,95,7384,2390,734,154
tar,Latn,tar_Latn,Central Tarahumara,r,Ll,LATIN SMALL LETTER R,10538,6,"2014,2016,2017,2018,2021,2022",59,190,6297,2935,666,391
tar,Latn,tar_Latn,Central Tarahumara,o,Ll,LATIN SMALL LETTER O,10511,6,"2014,2016,2017,2018,2021,2022",70,185,6694,2536,619,407
tar,Latn,tar_Latn,Central Tarahumara,c,Ll,LATIN SMALL LETTER C,9757,6,"2014,2016,2017,2018,2021,2022",25,108,6580,2243,625,176
tar,Latn,tar_Latn,Central Tarahumara,h,Ll,LATIN SMALL LETTER H,9229,6,"2014,2016,2017,2018,2021,2022",18,145,6416,1956,590,104
tar,Latn,tar_Latn,Central Tarahumara,k,Ll,LATIN SMALL LETTER K,8352,6,"2014,2016,2017,2018,2021,2022",16,44,5980,1768,461,83
tar,Latn,tar_Latn,Central Tarahumara,s,Ll,LATIN SMALL LETTER S,6988,6,"2014,2016,2017,2018,2021,2022",27,97,4498,1648,453,265
tar,Latn,tar_Latn,Central Tarahumara,t,Ll,LATIN SMALL LETTER T,6462,6,"2014,2016,2017,2018,2021,2022",29,119,4245,1475,388,206
tar,Latn,tar_Latn,Central Tarahumara,á,Ll,LATIN SMALL LETTER A WITH ACUTE,6213,6,"2014,2016,2017,2018,2021,2022",5,56,4274,1345,526,7
tar,Latn,tar_Latn,Central Tarahumara,u,Ll,LATIN SMALL LETTER U,6190,6,"2014,2016,2017,2018,2021,2022",27,137,3720,1611,414,281
tar,Latn,tar_Latn,Central Tarahumara,í,Ll,LATIN SMALL LETTER I WITH ACUTE,6109,6,"2014,2016,2017,2018,2021,2022",1,44,4245,1371,414,34
tar,Latn,tar_Latn,Central Tarahumara,p,Ll,LATIN SMALL LETTER P,6082,6,"2014,2016,2017,2018,2021,2022",7,33,4228,1290,407,117
tar,Latn,tar_Latn,Central Tarahumara,w,Ll,LATIN SMALL LETTER W,6018,6,"2014,2016,2017,2018,2021,2022",15,50,4125,1344,386,98
tar,Latn,tar_Latn,Central Tarahumara,b,Ll,LATIN SMALL LETTER B,5745,6,"2014,2016,2017,2018,2021,2022",6,48,3874,1358,308,151
tar,Latn,tar_Latn,Central Tarahumara,é,Ll,LATIN SMALL LETTER E WITH ACUTE,5614,6,"2014,2016,2017,2018,2021,2022",3,31,3943,1164,457,16
tar,Latn,tar_Latn,Central Tarahumara,j,Ll,LATIN SMALL LETTER J,5600,6,"2014,2016,2017,2018,2021,2022",2,21,4129,1010,360,78
tar,Latn,tar_Latn,Central Tarahumara,.,Po,FULL STOP,3063,6,"2014,2016,2017,2018,2021,2022",1,17,2218,621,159,47
tar,Latn,tar_Latn,Central Tarahumara,",",Po,COMMA,2419,6,"2014,2016,2017,2018,2021,2022",4,20,1738,452,157,48
tar,Latn,tar_Latn,Central Tarahumara,ú,Ll,LATIN SMALL LETTER U WITH ACUTE,2364,5,"2016,2017,2018,2021,2022",0,7,1647,505,202,3
tar,Latn,tar_Latn,Central Tarahumara,y,Ll,LATIN SMALL LETTER Y,1853,6,"2014,2016,2017,2018,2021,2022",14,42,1196,368,145,88
tar,Latn,tar_Latn,Central Tarahumara,J,Lu,LATIN CAPITAL LETTER J,1809,4,"2017,2018,2021,2022",0,0,1407,267,106,29
tar,Latn,tar_Latn,Central Tarahumara,ó,Ll,LATIN SMALL LETTER O WITH ACUTE,1736,6,"2014,2016,2017,2018,2021,2022",4,13,1136,437,105,41
tar,Latn,tar_Latn,Central Tarahumara,g,Ll,LATIN SMALL LETTER G,1342,6,"2014,2016,2017,2018,2021,2022",9,28,837,372,58,38
tar,Latn,tar_Latn,Central Tarahumara,ʼ,Lm,MODIFIER LETTER APOSTROPHE,1320,3,"2017,2018,2021",0,0,1032,225,63,0
tar,Latn,tar_Latn,Central Tarahumara,A,Lu,LATIN CAPITAL LETTER A,1252,5,"2016,2017,2018,2021,2022",0,14,922,197,113,6
tar,Latn,tar_Latn,Central Tarahumara,1,Nd,DIGIT ONE,1134,3,"2017,2018,2021",0,0,844,208,82,0
tar,Latn,tar_Latn,Central Tarahumara,:,Po,COLON,1007,6,"2014,2016,2017,2018,2021,2022",1,1,765,179,58,3
tar,Latn,tar_Latn,Central Tarahumara,E,Lu,LATIN CAPITAL LETTER E,994,6,"2014,2016,2017,2018,2021,2022",3,7,737,177,65,5
tar,Latn,tar_Latn,Central Tarahumara,d,Ll,LATIN SMALL LETTER D,877,6,"2014,2016,2017,2018,2021,2022",6,34,348,344,51,94
tar,Latn,tar_Latn,Central Tarahumara,I,Lu,LATIN CAPITAL LETTER I,875,6,"2014,2016,2017,2018,2021,2022",1,6,604,151,108,5
tar,Latn,tar_Latn,Central Tarahumara,O,Lu,LATIN CAPITAL LETTER O,784,5,"2016,2017,2018,2021,2022",0,5,588,130,60,1
tar,Latn,tar_Latn,Central Tarahumara,2,Nd,DIGIT TWO,673,3,"2017,2018,2021",0,0,499,137,37,0
