iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency
tbc,Latn,tbc_Latn,Takia, ,Zs,SPACE,366024,5,"2013,2014,2016,2017,2018",276711,16131,1898,1473,69811
tbc,Latn,tbc_Latn,Takia,a,Ll,LATIN SMALL LETTER A,254306,5,"2013,2014,2016,2017,2018",193191,11375,1445,1014,47281
tbc,Latn,tbc_Latn,Takia,i,Ll,LATIN SMALL LETTER I,146919,5,"2013,2014,2016,2017,2018",111818,6550,711,516,27324
tbc,Latn,tbc_Latn,Takia,n,Ll,LATIN SMALL LETTER N,133146,5,"2013,2014,2016,2017,2018",100759,6077,739,511,25060
tbc,Latn,tbc_Latn,Takia,o,Ll,LATIN SMALL LETTER O,89403,5,"2013,2014,2016,2017,2018",67148,3824,436,354,17641
tbc,Latn,tbc_Latn,Takia,u,Ll,LATIN SMALL LETTER U,87884,5,"2013,2014,2016,2017,2018",67362,4023,483,355,15661
tbc,Latn,tbc_Latn,Takia,e,Ll,LATIN SMALL LETTER E,73664,5,"2013,2014,2016,2017,2018",53550,3209,349,293,16263
tbc,Latn,tbc_Latn,Takia,d,Ll,LATIN SMALL LETTER D,70840,5,"2013,2014,2016,2017,2018",53831,3011,334,221,13443
tbc,Latn,tbc_Latn,Takia,l,Ll,LATIN SMALL LETTER L,59195,5,"2013,2014,2016,2017,2018",44506,2567,287,232,11603
tbc,Latn,tbc_Latn,Takia,m,Ll,LATIN SMALL LETTER M,56183,5,"2013,2014,2016,2017,2018",42667,2426,295,226,10569
tbc,Latn,tbc_Latn,Takia,g,Ll,LATIN SMALL LETTER G,53178,5,"2013,2014,2016,2017,2018",40728,2598,242,184,9426
tbc,Latn,tbc_Latn,Takia,t,Ll,LATIN SMALL LETTER T,51970,5,"2013,2014,2016,2017,2018",38585,2159,291,240,10695
tbc,Latn,tbc_Latn,Takia,s,Ll,LATIN SMALL LETTER S,49786,5,"2013,2014,2016,2017,2018",35983,2088,223,221,11271
tbc,Latn,tbc_Latn,Takia,ŋ,Ll,LATIN SMALL LETTER ENG,47460,5,"2013,2014,2016,2017,2018",36671,2230,246,211,8102
tbc,Latn,tbc_Latn,Takia,k,Ll,LATIN SMALL LETTER K,36095,5,"2013,2014,2016,2017,2018",27484,1600,180,128,6703
tbc,Latn,tbc_Latn,Takia,p,Ll,LATIN SMALL LETTER P,29348,5,"2013,2014,2016,2017,2018",22117,1388,231,100,5512
tbc,Latn,tbc_Latn,Takia,r,Ll,LATIN SMALL LETTER R,28982,5,"2013,2014,2016,2017,2018",20308,1189,132,179,7174
tbc,Latn,tbc_Latn,Takia,b,Ll,LATIN SMALL LETTER B,24372,5,"2013,2014,2016,2017,2018",18326,1017,135,140,4754
tbc,Latn,tbc_Latn,Takia,",",Po,COMMA,24127,5,"2013,2014,2016,2017,2018",18443,1074,153,93,4364
tbc,Latn,tbc_Latn,Takia,.,Po,FULL STOP,20307,5,"2013,2014,2016,2017,2018",15251,981,105,101,3869
tbc,Latn,tbc_Latn,Takia,y,Ll,LATIN SMALL LETTER Y,20257,5,"2013,2014,2016,2017,2018",15306,916,102,106,3827
tbc,Latn,tbc_Latn,Takia,w,Ll,LATIN SMALL LETTER W,14840,5,"2013,2014,2016,2017,2018",11066,607,85,58,3024
tbc,Latn,tbc_Latn,Takia,A,Lu,LATIN CAPITAL LETTER A,13730,5,"2013,2014,2016,2017,2018",10559,649,83,48,2391
tbc,Latn,tbc_Latn,Takia,f,Ll,LATIN SMALL LETTER F,8962,5,"2013,2014,2016,2017,2018",6547,342,49,45,1979
tbc,Latn,tbc_Latn,Takia,1,Nd,DIGIT ONE,5558,5,"2013,2014,2016,2017,2018",4013,312,30,46,1157
tbc,Latn,tbc_Latn,Takia,T,Lu,LATIN CAPITAL LETTER T,4445,5,"2013,2014,2016,2017,2018",2958,178,16,29,1264
tbc,Latn,tbc_Latn,Takia,J,Lu,LATIN CAPITAL LETTER J,4251,5,"2013,2014,2016,2017,2018",3110,187,28,6,920
tbc,Latn,tbc_Latn,Takia,2,Nd,DIGIT TWO,3718,5,"2013,2014,2016,2017,2018",2792,183,23,19,701
tbc,Latn,tbc_Latn,Takia,“,Pi,LEFT DOUBLE QUOTATION MARK,2707,5,"2013,2014,2016,2017,2018",2137,129,19,5,417
tbc,Latn,tbc_Latn,Takia,h,Ll,LATIN SMALL LETTER H,2682,5,"2013,2014,2016,2017,2018",707,36,4,18,1917
tbc,Latn,tbc_Latn,Takia,M,Lu,LATIN CAPITAL LETTER M,2590,5,"2013,2014,2016,2017,2018",1935,121,15,8,511
tbc,Latn,tbc_Latn,Takia,I,Lu,LATIN CAPITAL LETTER I,2517,5,"2013,2014,2016,2017,2018",1779,90,10,20,618
tbc,Latn,tbc_Latn,Takia,3,Nd,DIGIT THREE,2479,5,"2013,2014,2016,2017,2018",1864,148,13,11,443
tbc,Latn,tbc_Latn,Takia,S,Lu,LATIN CAPITAL LETTER S,2437,5,"2013,2014,2016,2017,2018",1495,79,12,2,849
tbc,Latn,tbc_Latn,Takia,”,Pf,RIGHT DOUBLE QUOTATION MARK,2393,5,"2013,2014,2016,2017,2018",1883,122,15,6,367
tbc,Latn,tbc_Latn,Takia,K,Lu,LATIN CAPITAL LETTER K,2124,5,"2013,2014,2016,2017,2018",1484,82,3,18,537
tbc,Latn,tbc_Latn,Takia,4,Nd,DIGIT FOUR,1849,5,"2013,2014,2016,2017,2018",1408,111,7,4,319
tbc,Latn,tbc_Latn,Takia,G,Lu,LATIN CAPITAL LETTER G,1769,5,"2013,2014,2016,2017,2018",1210,72,11,10,466
tbc,Latn,tbc_Latn,Takia,N,Lu,LATIN CAPITAL LETTER N,1629,5,"2013,2014,2016,2017,2018",1077,83,5,17,447
tbc,Latn,tbc_Latn,Takia,P,Lu,LATIN CAPITAL LETTER P,1621,4,"2013,2014,2016,2018",1116,94,3,0,408
tbc,Latn,tbc_Latn,Takia,5,Nd,DIGIT FIVE,1498,5,"2013,2014,2016,2017,2018",1148,92,7,8,243
tbc,Latn,tbc_Latn,Takia,?,Po,QUESTION MARK,1488,5,"2013,2014,2016,2017,2018",1191,63,11,2,221
tbc,Latn,tbc_Latn,Takia,9,Nd,DIGIT NINE,1474,5,"2013,2014,2016,2017,2018",1165,87,5,42,175
tbc,Latn,tbc_Latn,Takia,E,Lu,LATIN CAPITAL LETTER E,1369,5,"2013,2014,2016,2017,2018",635,101,2,17,614
tbc,Latn,tbc_Latn,Takia,0,Nd,DIGIT ZERO,1275,5,"2013,2014,2016,2017,2018",941,75,5,3,251
tbc,Latn,tbc_Latn,Takia,6,Nd,DIGIT SIX,1244,5,"2013,2014,2016,2017,2018",939,75,7,9,214
tbc,Latn,tbc_Latn,Takia,8,Nd,DIGIT EIGHT,1205,5,"2013,2014,2016,2017,2018",873,62,8,9,253
tbc,Latn,tbc_Latn,Takia,7,Nd,DIGIT SEVEN,1115,5,"2013,2014,2016,2017,2018",854,58,5,3,195
tbc,Latn,tbc_Latn,Takia,Ŋ,Lu,LATIN CAPITAL LETTER ENG,1110,5,"2013,2014,2016,2017,2018",860,55,7,5,183
tbc,Latn,tbc_Latn,Takia,V,Lu,LATIN CAPITAL LETTER V,1068,4,"2013,2014,2017,2018",335,20,0,25,688
