iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2014_frequency,year_2018_frequency,year_2019_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency
tbg,Latn,tbg_Latn,North Tairora,a,Ll,LATIN SMALL LETTER A,907406,6,"2014,2018,2019,2021,2022,2023",2003,735326,2654,118288,43483,5652
tbg,Latn,tbg_Latn,North Tairora, ,Zs,SPACE,610402,6,"2014,2018,2019,2021,2022,2023",1305,505081,1783,71875,26698,3660
tbg,Latn,tbg_Latn,North Tairora,i,Ll,LATIN SMALL LETTER I,462084,6,"2014,2018,2019,2021,2022,2023",1154,376989,1321,57979,21690,2951
tbg,Latn,tbg_Latn,North Tairora,v,Ll,LATIN SMALL LETTER V,315603,6,"2014,2018,2019,2021,2022,2023",803,255611,1042,40693,15417,2037
tbg,Latn,tbg_Latn,North Tairora,r,Ll,LATIN SMALL LETTER R,313080,6,"2014,2018,2019,2021,2022,2023",679,255252,585,40065,14434,2065
tbg,Latn,tbg_Latn,North Tairora,t,Ll,LATIN SMALL LETTER T,238968,6,"2014,2018,2019,2021,2022,2023",629,197167,460,28317,10932,1463
tbg,Latn,tbg_Latn,North Tairora,n,Ll,LATIN SMALL LETTER N,205751,6,"2014,2018,2019,2021,2022,2023",487,170024,617,24477,8957,1189
tbg,Latn,tbg_Latn,North Tairora,o,Ll,LATIN SMALL LETTER O,188314,6,"2014,2018,2019,2021,2022,2023",432,154446,674,23663,7803,1296
tbg,Latn,tbg_Latn,North Tairora,e,Ll,LATIN SMALL LETTER E,181779,6,"2014,2018,2019,2021,2022,2023",289,154009,443,19239,6748,1051
tbg,Latn,tbg_Latn,North Tairora,u,Ll,LATIN SMALL LETTER U,156613,6,"2014,2018,2019,2021,2022,2023",303,126975,502,20001,7863,969
tbg,Latn,tbg_Latn,North Tairora,k,Ll,LATIN SMALL LETTER K,127166,6,"2014,2018,2019,2021,2022,2023",191,103740,546,16489,5389,811
tbg,Latn,tbg_Latn,North Tairora,q,Ll,LATIN SMALL LETTER Q,109240,6,"2014,2018,2019,2021,2022,2023",178,88059,315,14919,5101,668
tbg,Latn,tbg_Latn,North Tairora,m,Ll,LATIN SMALL LETTER M,90655,6,"2014,2018,2019,2021,2022,2023",201,75011,240,10573,4066,564
tbg,Latn,tbg_Latn,North Tairora,h,Ll,LATIN SMALL LETTER H,79612,6,"2014,2018,2019,2021,2022,2023",164,67438,187,8340,3102,381
tbg,Latn,tbg_Latn,North Tairora,",",Po,COMMA,43944,6,"2014,2018,2019,2021,2022,2023",109,36057,127,5280,2064,307
tbg,Latn,tbg_Latn,North Tairora,s,Ll,LATIN SMALL LETTER S,41031,6,"2014,2018,2019,2021,2022,2023",27,37669,176,2232,785,142
tbg,Latn,tbg_Latn,North Tairora,.,Po,FULL STOP,36355,6,"2014,2018,2019,2021,2022,2023",97,30040,114,4352,1539,213
tbg,Latn,tbg_Latn,North Tairora,p,Ll,LATIN SMALL LETTER P,19401,6,"2014,2018,2019,2021,2022,2023",34,16445,35,2078,679,130
tbg,Latn,tbg_Latn,North Tairora,V,Lu,LATIN CAPITAL LETTER V,16312,6,"2014,2018,2019,2021,2022,2023",36,14257,34,1395,507,83
tbg,Latn,tbg_Latn,North Tairora,K,Lu,LATIN CAPITAL LETTER K,16257,6,"2014,2018,2019,2021,2022,2023",36,13678,85,1552,821,85
tbg,Latn,tbg_Latn,North Tairora,I,Lu,LATIN CAPITAL LETTER I,13137,6,"2014,2018,2019,2021,2022,2023",69,11378,14,1141,477,58
tbg,Latn,tbg_Latn,North Tairora,l,Ll,LATIN SMALL LETTER L,12014,6,"2014,2018,2019,2021,2022,2023",5,10976,9,657,331,36
tbg,Latn,tbg_Latn,North Tairora,N,Lu,LATIN CAPITAL LETTER N,12012,6,"2014,2018,2019,2021,2022,2023",21,10059,30,1272,532,98
tbg,Latn,tbg_Latn,North Tairora,1,Nd,DIGIT ONE,11486,6,"2014,2018,2019,2021,2022,2023",26,9587,34,1347,440,52
tbg,Latn,tbg_Latn,North Tairora,T,Lu,LATIN CAPITAL LETTER T,10938,6,"2014,2018,2019,2021,2022,2023",26,10037,3,552,288,32
