iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2016_frequency,year_2017_frequency
tby,Latn,tby_Latn,Tabaru, ,Zs,SPACE,209863,4,"2013,2014,2016,2017",197123,9871,2802,67
tby,Latn,tby_Latn,Tabaru,a,Ll,LATIN SMALL LETTER A,190531,4,"2013,2014,2016,2017",178846,8967,2654,64
tby,Latn,tby_Latn,Tabaru,o,Ll,LATIN SMALL LETTER O,132006,4,"2013,2014,2016,2017",123728,6482,1769,27
tby,Latn,tby_Latn,Tabaru,i,Ll,LATIN SMALL LETTER I,96154,4,"2013,2014,2016,2017",90462,4457,1202,33
tby,Latn,tby_Latn,Tabaru,n,Ll,LATIN SMALL LETTER N,83017,4,"2013,2014,2016,2017",78303,3633,1060,21
tby,Latn,tby_Latn,Tabaru,e,Ll,LATIN SMALL LETTER E,71838,4,"2013,2014,2016,2017",67378,3436,1001,23
tby,Latn,tby_Latn,Tabaru,',Po,APOSTROPHE,65453,4,"2013,2014,2016,2017",61421,3192,814,26
tby,Latn,tby_Latn,Tabaru,u,Ll,LATIN SMALL LETTER U,64368,4,"2013,2014,2016,2017",60413,3034,894,27
tby,Latn,tby_Latn,Tabaru,g,Ll,LATIN SMALL LETTER G,54324,4,"2013,2014,2016,2017",51089,2510,703,22
tby,Latn,tby_Latn,Tabaru,k,Ll,LATIN SMALL LETTER K,52352,4,"2013,2014,2016,2017",48916,2569,860,7
tby,Latn,tby_Latn,Tabaru,m,Ll,LATIN SMALL LETTER M,47961,4,"2013,2014,2016,2017",44946,2310,690,15
tby,Latn,tby_Latn,Tabaru,s,Ll,LATIN SMALL LETTER S,43896,4,"2013,2014,2016,2017",41204,2095,576,21
tby,Latn,tby_Latn,Tabaru,d,Ll,LATIN SMALL LETTER D,34687,4,"2013,2014,2016,2017",32551,1687,440,9
tby,Latn,tby_Latn,Tabaru,t,Ll,LATIN SMALL LETTER T,28649,4,"2013,2014,2016,2017",26821,1421,399,8
