iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2015_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
tel,Latn,tel_Latn,Telugu, ,Zs,SPACE,14947188,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",163752,459944,168026,305882,760791,963874,2258523,2297680,2226892,2845979,1966711,529134
tel,Latn,tel_Latn,Telugu,a,Ll,LATIN SMALL LETTER A,14014328,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",174048,486268,203765,364170,841804,986751,2024431,2021816,2031340,2616372,1780347,483216
tel,Latn,tel_Latn,Telugu,n,Ll,LATIN SMALL LETTER N,7583348,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",81429,236406,90355,160582,412423,502724,1107423,1110396,1126291,1466202,1010934,278183
tel,Latn,tel_Latn,Telugu,i,Ll,LATIN SMALL LETTER I,6505138,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",69251,201301,85469,167381,356818,438801,955881,963023,972849,1207498,859785,227081
tel,Latn,tel_Latn,Telugu,e,Ll,LATIN SMALL LETTER E,6067034,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",66396,183624,57718,92610,337950,410653,940862,950013,909418,1119247,790892,207651
tel,Latn,tel_Latn,Telugu,u,Ll,LATIN SMALL LETTER U,5920965,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",68338,223962,85145,136920,328422,395323,862179,874734,850158,1142870,742711,210203
tel,Latn,tel_Latn,Telugu,t,Ll,LATIN SMALL LETTER T,4433616,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",51633,146964,49541,84307,231052,299524,678938,691294,655787,814264,577704,152608
tel,Latn,tel_Latn,Telugu,h,Ll,LATIN SMALL LETTER H,4024252,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",46764,130186,50716,94666,228887,262779,573516,572841,582951,794489,537091,149366
tel,Latn,tel_Latn,Telugu,d,Ll,LATIN SMALL LETTER D,3821804,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",46085,123594,47961,78728,199339,253286,565126,572935,572179,717733,510109,134729
tel,Latn,tel_Latn,Telugu,l,Ll,LATIN SMALL LETTER L,3612178,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",41109,136983,51401,92913,209393,248089,534803,548985,525626,655022,447834,120020
tel,Latn,tel_Latn,Telugu,o,Ll,LATIN SMALL LETTER O,3481380,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",40466,117739,32759,47556,183751,238493,541894,556233,527790,634598,444745,115356
tel,Latn,tel_Latn,Telugu,k,Ll,LATIN SMALL LETTER K,2966352,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",32289,102587,42797,81906,160885,199133,426650,431152,428108,562258,393204,105383
tel,Latn,tel_Latn,Telugu,s,Ll,LATIN SMALL LETTER S,2953727,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",34523,82864,30881,62074,158937,193925,450276,459518,439080,544316,393372,103961
tel,Latn,tel_Latn,Telugu,r,Ll,LATIN SMALL LETTER R,2919749,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",38611,104370,44591,93880,179892,213923,442607,449621,423724,491119,347718,89693
tel,Latn,tel_Latn,Telugu,m,Ll,LATIN SMALL LETTER M,2670828,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",35156,102754,40922,73524,164935,190259,397017,412837,385414,454331,327736,85943
tel,Latn,tel_Latn,Telugu,c,Ll,LATIN SMALL LETTER C,2112947,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",20223,56688,22697,46689,107879,138121,315462,315032,316259,404115,292204,77578
tel,Latn,tel_Latn,Telugu,p,Ll,LATIN SMALL LETTER P,2003570,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",23325,68332,28273,56274,110512,137577,291776,291037,293530,369460,263994,69480
tel,Latn,tel_Latn,Telugu,.,Po,FULL STOP,1665849,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",23531,75877,25045,50084,121079,113040,228053,237970,232011,319026,189271,50862
tel,Latn,tel_Latn,Telugu,g,Ll,LATIN SMALL LETTER G,1620157,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",19869,64444,23383,41637,93060,110222,242467,249334,234675,287960,198352,54754
tel,Latn,tel_Latn,Telugu,v,Ll,LATIN SMALL LETTER V,1616355,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",19166,58095,27917,58874,104818,113299,221506,218614,226169,315857,197937,54103
tel,Latn,tel_Latn,Telugu,y,Ll,LATIN SMALL LETTER Y,1313389,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",16043,42962,18647,38395,75076,90784,198496,197450,195875,226076,168276,45309
tel,Latn,tel_Latn,Telugu,b,Ll,LATIN SMALL LETTER B,738490,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",10720,31467,11436,20962,42582,51356,108859,113511,106673,123770,92763,24391
tel,Latn,tel_Latn,Telugu,A,Lu,LATIN CAPITAL LETTER A,578944,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",5459,52253,34224,106225,53097,42029,60803,69952,49483,54573,40917,9929
tel,Latn,tel_Latn,Telugu,",",Po,COMMA,466021,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",10071,21008,6505,12494,21591,36098,80601,83258,70520,64056,47477,12342
tel,Latn,tel_Latn,Telugu,f,Ll,LATIN SMALL LETTER F,381358,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",4514,9757,1766,4056,15602,23811,62829,65560,58017,71823,50662,12961
tel,Latn,tel_Latn,Telugu,N,Lu,LATIN CAPITAL LETTER N,284017,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2852,9025,4110,7466,18550,18296,37856,39391,39555,61718,34648,10550
tel,Latn,tel_Latn,Telugu,j,Ll,LATIN SMALL LETTER J,276030,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",4629,12910,5925,11335,20318,21868,39729,40262,38779,42129,30238,7908
tel,Latn,tel_Latn,Telugu,M,Lu,LATIN CAPITAL LETTER M,273969,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",3101,16266,16635,45804,14898,18748,32314,32751,34674,30735,22306,5737
tel,Latn,tel_Latn,Telugu,T,Lu,LATIN CAPITAL LETTER T,272562,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",3241,21522,10829,27800,19737,19744,36082,38693,31952,34580,22055,6327
tel,Latn,tel_Latn,Telugu,w,Ll,LATIN SMALL LETTER W,267444,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",4358,8461,2370,5233,14988,19216,43198,46074,41805,43031,31066,7644
tel,Latn,tel_Latn,Telugu,S,Lu,LATIN CAPITAL LETTER S,227101,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2199,11769,6120,11986,20520,20248,34706,37579,32005,24490,20910,4569
tel,Latn,tel_Latn,Telugu,E,Lu,LATIN CAPITAL LETTER E,215674,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",3007,20677,12155,39686,23330,17843,23536,24205,18379,17274,12904,2678
tel,Latn,tel_Latn,Telugu,D,Lu,LATIN CAPITAL LETTER D,161957,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2181,16190,9756,25558,16401,14236,19887,21353,15492,10190,8892,1821
tel,Latn,tel_Latn,Telugu,I,Lu,LATIN CAPITAL LETTER I,154574,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1885,6364,5237,15448,6781,9104,20347,22384,21139,23441,18333,4111
tel,Latn,tel_Latn,Telugu,O,Lu,LATIN CAPITAL LETTER O,146909,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1924,15826,9642,28317,16829,12440,14851,15857,12181,9801,7595,1646
tel,Latn,tel_Latn,Telugu,:,Po,COLON,141663,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1910,6282,5538,1347,7620,13313,18513,20659,22953,19835,18406,5287
tel,Latn,tel_Latn,Telugu,x,Ll,LATIN SMALL LETTER X,133700,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",999,3444,685,769,7726,9478,25843,27055,17883,21253,14582,3983
tel,Latn,tel_Latn,Telugu,P,Lu,LATIN CAPITAL LETTER P,123173,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1348,5266,2422,2572,10975,11377,19046,21599,20095,13627,12028,2818
tel,Latn,tel_Latn,Telugu,1,Nd,DIGIT ONE,116290,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2463,8088,1888,1720,9172,9486,16678,22524,15895,14309,11148,2919
tel,Latn,tel_Latn,Telugu,R,Lu,LATIN CAPITAL LETTER R,114710,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1231,7880,3277,5913,10566,9767,15660,17399,16511,13005,11250,2251
tel,Latn,tel_Latn,Telugu,K,Lu,LATIN CAPITAL LETTER K,114333,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1247,7225,2441,2985,8619,9486,18010,20649,16235,14186,10722,2528
tel,Latn,tel_Latn,Telugu,2,Nd,DIGIT TWO,102764,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1656,6243,1637,1272,6224,6453,14450,19579,15703,16477,10343,2727
tel,Latn,tel_Latn,Telugu,0,Nd,DIGIT ZERO,100884,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1910,8724,2618,1064,5827,8158,14201,18757,14962,12516,9584,2563
tel,Latn,tel_Latn,Telugu,C,Lu,LATIN CAPITAL LETTER C,95540,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1137,3586,2011,2852,7207,8231,15114,15821,15267,11642,10184,2488
tel,Latn,tel_Latn,Telugu,|,Sm,VERTICAL LINE,92175,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1333,3683,220,552,32130,15650,8601,13408,11313,3025,1817,443
tel,Latn,tel_Latn,Telugu,-,Pd,HYPHEN-MINUS,90625,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2024,7253,1541,3059,6939,10256,13384,14955,11635,8074,9602,1903
