iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2016_frequency,year_2017_frequency,year_2020_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
thk,Latn,thk_Latn,Tharaka,a,Ll,LATIN SMALL LETTER A,235204,8,"2013,2014,2016,2017,2020,2022,2023,2024",200186,11278,1551,19646,301,1485,618,139
thk,Latn,thk_Latn,Tharaka, ,Zs,SPACE,222437,8,"2013,2014,2016,2017,2020,2022,2023,2024",188957,10177,1391,19035,385,1686,607,199
thk,Latn,thk_Latn,Tharaka,n,Ll,LATIN SMALL LETTER N,92007,8,"2013,2014,2016,2017,2020,2022,2023,2024",78297,4228,619,7687,186,686,254,50
thk,Latn,thk_Latn,Tharaka,û,Ll,LATIN SMALL LETTER U WITH CIRCUMFLEX,86404,7,"2013,2014,2016,2017,2022,2023,2024",73702,3941,599,7479,0,469,206,8
thk,Latn,thk_Latn,Tharaka,î,Ll,LATIN SMALL LETTER I WITH CIRCUMFLEX,83579,8,"2013,2014,2016,2017,2020,2022,2023,2024",71394,3775,521,6678,153,801,208,49
thk,Latn,thk_Latn,Tharaka,r,Ll,LATIN SMALL LETTER R,81746,8,"2013,2014,2016,2017,2020,2022,2023,2024",69733,3862,527,6505,149,661,237,72
thk,Latn,thk_Latn,Tharaka,i,Ll,LATIN SMALL LETTER I,76242,8,"2013,2014,2016,2017,2020,2022,2023,2024",64645,3761,474,6350,161,528,240,83
thk,Latn,thk_Latn,Tharaka,t,Ll,LATIN SMALL LETTER T,69658,8,"2013,2014,2016,2017,2020,2022,2023,2024",59950,3054,467,5444,105,411,184,43
thk,Latn,thk_Latn,Tharaka,e,Ll,LATIN SMALL LETTER E,66530,8,"2013,2014,2016,2017,2020,2022,2023,2024",56803,3045,338,5499,121,522,164,38
thk,Latn,thk_Latn,Tharaka,g,Ll,LATIN SMALL LETTER G,53432,8,"2013,2014,2016,2017,2020,2022,2023,2024",45658,2485,353,4367,89,324,129,27
thk,Latn,thk_Latn,Tharaka,k,Ll,LATIN SMALL LETTER K,53340,8,"2013,2014,2016,2017,2020,2022,2023,2024",45690,2366,354,4317,65,318,184,46
thk,Latn,thk_Latn,Tharaka,b,Ll,LATIN SMALL LETTER B,48242,8,"2013,2014,2016,2017,2020,2022,2023,2024",41658,2184,275,3825,9,177,98,16
thk,Latn,thk_Latn,Tharaka,m,Ll,LATIN SMALL LETTER M,42857,8,"2013,2014,2016,2017,2020,2022,2023,2024",36258,1979,286,3649,94,381,167,43
thk,Latn,thk_Latn,Tharaka,w,Ll,LATIN SMALL LETTER W,40168,8,"2013,2014,2016,2017,2020,2022,2023,2024",34300,1728,231,3447,54,247,137,24
thk,Latn,thk_Latn,Tharaka,u,Ll,LATIN SMALL LETTER U,36945,8,"2013,2014,2016,2017,2020,2022,2023,2024",31332,1794,258,2979,49,372,93,68
thk,Latn,thk_Latn,Tharaka,o,Ll,LATIN SMALL LETTER O,34769,8,"2013,2014,2016,2017,2020,2022,2023,2024",29713,1615,186,2656,100,323,142,34
thk,Latn,thk_Latn,Tharaka,h,Ll,LATIN SMALL LETTER H,20510,8,"2013,2014,2016,2017,2020,2022,2023,2024",17616,902,126,1435,71,264,72,24
thk,Latn,thk_Latn,Tharaka,y,Ll,LATIN SMALL LETTER Y,17992,8,"2013,2014,2016,2017,2020,2022,2023,2024",15286,801,144,1547,26,129,50,9
thk,Latn,thk_Latn,Tharaka,.,Po,FULL STOP,17738,8,"2013,2014,2016,2017,2020,2022,2023,2024",14982,881,107,1509,28,166,51,14
thk,Latn,thk_Latn,Tharaka,",",Po,COMMA,15241,8,"2013,2014,2016,2017,2020,2022,2023,2024",12733,802,80,1484,11,109,15,7
thk,Latn,thk_Latn,Tharaka,d,Ll,LATIN SMALL LETTER D,11437,8,"2013,2014,2016,2017,2020,2022,2023,2024",9611,492,82,1086,26,92,36,12
thk,Latn,thk_Latn,Tharaka,N,Lu,LATIN CAPITAL LETTER N,9141,8,"2013,2014,2016,2017,2020,2022,2023,2024",7718,483,47,742,15,106,17,13
thk,Latn,thk_Latn,Tharaka,s,Ll,LATIN SMALL LETTER S,6506,8,"2013,2014,2016,2017,2020,2022,2023,2024",5347,381,46,680,1,40,8,3
thk,Latn,thk_Latn,Tharaka,"""",Po,QUOTATION MARK,6153,5,"2013,2014,2016,2017,2023",4894,387,37,831,0,0,4,0
thk,Latn,thk_Latn,Tharaka,',Po,APOSTROPHE,5863,7,"2013,2014,2016,2017,2022,2023,2024",4971,261,38,579,0,7,6,1
thk,Latn,thk_Latn,Tharaka,c,Ll,LATIN SMALL LETTER C,5421,8,"2013,2014,2016,2017,2020,2022,2023,2024",4509,309,26,400,28,104,36,9
thk,Latn,thk_Latn,Tharaka,1,Nd,DIGIT ONE,5048,7,"2013,2014,2016,2017,2022,2023,2024",4299,238,28,397,0,66,10,10
thk,Latn,thk_Latn,Tharaka,A,Lu,LATIN CAPITAL LETTER A,4652,8,"2013,2014,2016,2017,2020,2022,2023,2024",3957,258,19,349,1,25,14,29
thk,Latn,thk_Latn,Tharaka,M,Lu,LATIN CAPITAL LETTER M,4618,8,"2013,2014,2016,2017,2020,2022,2023,2024",3834,208,26,414,34,64,16,22
thk,Latn,thk_Latn,Tharaka,2,Nd,DIGIT TWO,3767,7,"2013,2014,2016,2017,2022,2023,2024",3155,179,19,349,0,52,10,3
thk,Latn,thk_Latn,Tharaka,K,Lu,LATIN CAPITAL LETTER K,3689,8,"2013,2014,2016,2017,2020,2022,2023,2024",3164,159,28,292,2,16,15,13
thk,Latn,thk_Latn,Tharaka,Y,Lu,LATIN CAPITAL LETTER Y,3387,6,"2013,2014,2016,2017,2023,2024",2686,221,24,449,0,0,3,4
