iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2017_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
thl,Deva,thl_Deva,Dangaura Tharu, ,Zs,SPACE,299873,7,"2017,2019,2020,2021,2022,2023,2024",6072,1473,22008,60211,107943,93640,8526
thl,Deva,thl_Deva,Dangaura Tharu,ा,Mc,DEVANAGARI VOWEL SIGN AA,129978,7,"2017,2019,2020,2021,2022,2023,2024",2675,677,9485,26105,46472,40308,4256
thl,Deva,thl_Deva,Dangaura Tharu,र,Lo,DEVANAGARI LETTER RA,92033,7,"2017,2019,2020,2021,2022,2023,2024",1911,433,6718,18210,32858,28893,3010
thl,Deva,thl_Deva,Dangaura Tharu,क,Lo,DEVANAGARI LETTER KA,83628,7,"2017,2019,2020,2021,2022,2023,2024",1755,489,5535,17580,30481,25230,2558
thl,Deva,thl_Deva,Dangaura Tharu,्,Mn,DEVANAGARI SIGN VIRAMA,83420,7,"2017,2019,2020,2021,2022,2023,2024",2171,492,5695,16581,29725,25701,3055
thl,Deva,thl_Deva,Dangaura Tharu,न,Lo,DEVANAGARI LETTER NA,70987,7,"2017,2019,2020,2021,2022,2023,2024",1315,365,5013,15305,25813,21259,1917
thl,Deva,thl_Deva,Dangaura Tharu,ि,Mc,DEVANAGARI VOWEL SIGN I,56919,7,"2017,2019,2020,2021,2022,2023,2024",1188,407,4199,10901,20639,17974,1611
thl,Deva,thl_Deva,Dangaura Tharu,ल,Lo,DEVANAGARI LETTER LA,54840,7,"2017,2019,2020,2021,2022,2023,2024",1036,201,4208,10812,19169,17898,1516
thl,Deva,thl_Deva,Dangaura Tharu,े,Mn,DEVANAGARI VOWEL SIGN E,51007,7,"2017,2019,2020,2021,2022,2023,2024",755,227,4231,10194,19462,15042,1096
thl,Deva,thl_Deva,Dangaura Tharu,ह,Lo,DEVANAGARI LETTER HA,50699,7,"2017,2019,2020,2021,2022,2023,2024",1055,223,3664,9990,18309,15870,1588
thl,Deva,thl_Deva,Dangaura Tharu,स,Lo,DEVANAGARI LETTER SA,49839,7,"2017,2019,2020,2021,2022,2023,2024",1042,316,3372,10180,17824,15448,1657
thl,Deva,thl_Deva,Dangaura Tharu,म,Lo,DEVANAGARI LETTER MA,47677,7,"2017,2019,2020,2021,2022,2023,2024",1063,246,3388,9453,17715,14083,1729
thl,Deva,thl_Deva,Dangaura Tharu,ु,Mn,DEVANAGARI VOWEL SIGN U,43245,7,"2017,2019,2020,2021,2022,2023,2024",829,170,3301,8373,15708,13618,1246
thl,Deva,thl_Deva,Dangaura Tharu,ब,Lo,DEVANAGARI LETTER BA,36489,7,"2017,2019,2020,2021,2022,2023,2024",764,204,2522,6890,13106,12017,986
thl,Deva,thl_Deva,Dangaura Tharu,ट,Lo,DEVANAGARI LETTER TTA,34211,7,"2017,2019,2020,2021,2022,2023,2024",592,144,2760,6190,12198,11625,702
thl,Deva,thl_Deva,Dangaura Tharu,प,Lo,DEVANAGARI LETTER PA,27703,7,"2017,2019,2020,2021,2022,2023,2024",499,135,1834,5643,9740,9052,800
thl,Deva,thl_Deva,Dangaura Tharu,।,Po,DEVANAGARI DANDA,25951,7,"2017,2019,2020,2021,2022,2023,2024",588,78,1826,4861,9398,8463,737
thl,Deva,thl_Deva,Dangaura Tharu,ग,Lo,DEVANAGARI LETTER GA,25582,7,"2017,2019,2020,2021,2022,2023,2024",538,176,1770,4985,8886,8524,703
thl,Deva,thl_Deva,Dangaura Tharu,ज,Lo,DEVANAGARI LETTER JA,23361,7,"2017,2019,2020,2021,2022,2023,2024",509,154,1705,4922,8527,6812,732
thl,Deva,thl_Deva,Dangaura Tharu,य,Lo,DEVANAGARI LETTER YA,22375,7,"2017,2019,2020,2021,2022,2023,2024",614,169,1386,4689,7920,6683,914
