iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2019_frequency,year_2020_frequency,year_2022_frequency
tke,Latn,tke_Latn,Takwane,a,Ll,LATIN SMALL LETTER A,21828,3,"2019,2020,2022",13132,7759,937
tke,Latn,tke_Latn,Takwane, ,Zs,SPACE,18976,3,"2019,2020,2022",11198,6968,810
tke,Latn,tke_Latn,Takwane,i,Ll,LATIN SMALL LETTER I,11836,3,"2019,2020,2022",7278,4127,431
tke,Latn,tke_Latn,Takwane,e,Ll,LATIN SMALL LETTER E,11091,3,"2019,2020,2022",6459,4268,364
tke,Latn,tke_Latn,Takwane,u,Ll,LATIN SMALL LETTER U,8873,3,"2019,2020,2022",5670,2962,241
tke,Latn,tke_Latn,Takwane,o,Ll,LATIN SMALL LETTER O,8431,3,"2019,2020,2022",4630,3462,339
tke,Latn,tke_Latn,Takwane,n,Ll,LATIN SMALL LETTER N,8177,3,"2019,2020,2022",4926,2963,288
tke,Latn,tke_Latn,Takwane,l,Ll,LATIN SMALL LETTER L,6449,3,"2019,2020,2022",3564,2609,276
tke,Latn,tke_Latn,Takwane,w,Ll,LATIN SMALL LETTER W,6058,3,"2019,2020,2022",3451,2378,229
tke,Latn,tke_Latn,Takwane,m,Ll,LATIN SMALL LETTER M,5465,3,"2019,2020,2022",3020,2144,301
tke,Latn,tke_Latn,Takwane,h,Ll,LATIN SMALL LETTER H,4831,3,"2019,2020,2022",2505,2210,116
tke,Latn,tke_Latn,Takwane,d,Ll,LATIN SMALL LETTER D,3914,3,"2019,2020,2022",2305,1547,62
tke,Latn,tke_Latn,Takwane,y,Ll,LATIN SMALL LETTER Y,3718,3,"2019,2020,2022",2276,1278,164
tke,Latn,tke_Latn,Takwane,g,Ll,LATIN SMALL LETTER G,3177,3,"2019,2020,2022",1977,1130,70
tke,Latn,tke_Latn,Takwane,k,Ll,LATIN SMALL LETTER K,2738,3,"2019,2020,2022",1891,758,89
tke,Latn,tke_Latn,Takwane,t,Ll,LATIN SMALL LETTER T,2303,3,"2019,2020,2022",1489,745,69
tke,Latn,tke_Latn,Takwane,r,Ll,LATIN SMALL LETTER R,2296,3,"2019,2020,2022",1071,1080,145
tke,Latn,tke_Latn,Takwane,b,Ll,LATIN SMALL LETTER B,2119,3,"2019,2020,2022",1270,713,136
tke,Latn,tke_Latn,Takwane,s,Ll,LATIN SMALL LETTER S,2069,3,"2019,2020,2022",1395,615,59
tke,Latn,tke_Latn,Takwane,v,Ll,LATIN SMALL LETTER V,1739,3,"2019,2020,2022",1062,619,58
