iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2023_frequency,year_2024_frequency
tkr,Cyrl,tkr_Cyrl,Tsakhur,а,Ll,CYRILLIC SMALL LETTER A,97206,7,"2017,2018,2019,2020,2021,2023,2024",3535,12021,2587,4084,10795,7840,56344
tkr,Cyrl,tkr_Cyrl,Tsakhur, ,Zs,SPACE,91668,7,"2017,2018,2019,2020,2021,2023,2024",3875,10461,2745,4914,12628,7016,50029
tkr,Cyrl,tkr_Cyrl,Tsakhur,и,Ll,CYRILLIC SMALL LETTER I,51457,7,"2017,2018,2019,2020,2021,2023,2024",2297,5896,1662,2665,7302,3801,27834
tkr,Cyrl,tkr_Cyrl,Tsakhur,н,Ll,CYRILLIC SMALL LETTER EN,40511,7,"2017,2018,2019,2020,2021,2023,2024",1252,5690,819,825,2027,3721,26177
tkr,Cyrl,tkr_Cyrl,Tsakhur,е,Ll,CYRILLIC SMALL LETTER IE,35393,7,"2017,2018,2019,2020,2021,2023,2024",1320,4673,586,1345,2900,2927,21642
tkr,Cyrl,tkr_Cyrl,Tsakhur,ы,Ll,CYRILLIC SMALL LETTER YERU,30295,7,"2017,2018,2019,2020,2021,2023,2024",1248,3272,1018,1793,4758,2086,16120
tkr,Cyrl,tkr_Cyrl,Tsakhur,д,Ll,CYRILLIC SMALL LETTER DE,27604,7,"2017,2018,2019,2020,2021,2023,2024",1285,2719,1128,2100,4916,1956,13500
tkr,Cyrl,tkr_Cyrl,Tsakhur,р,Ll,CYRILLIC SMALL LETTER ER,25793,7,"2017,2018,2019,2020,2021,2023,2024",1052,2588,818,1788,5193,1773,12581
tkr,Cyrl,tkr_Cyrl,Tsakhur,х,Ll,CYRILLIC SMALL LETTER HA,22083,7,"2017,2018,2019,2020,2021,2023,2024",803,2742,559,1147,2712,1610,12510
tkr,Cyrl,tkr_Cyrl,Tsakhur,ь,Ll,CYRILLIC SMALL LETTER SOFT SIGN,21097,7,"2017,2018,2019,2020,2021,2023,2024",884,2250,703,1380,3756,1452,10672
tkr,Cyrl,tkr_Cyrl,Tsakhur,л,Ll,CYRILLIC SMALL LETTER EL,21050,7,"2017,2018,2019,2020,2021,2023,2024",804,2623,519,938,2317,1715,12134
tkr,Cyrl,tkr_Cyrl,Tsakhur,к,Ll,CYRILLIC SMALL LETTER KA,21014,7,"2017,2018,2019,2020,2021,2023,2024",860,2583,686,911,2446,1598,11930
tkr,Cyrl,tkr_Cyrl,Tsakhur,ъ,Ll,CYRILLIC SMALL LETTER HARD SIGN,20739,7,"2017,2018,2019,2020,2021,2023,2024",837,2451,477,999,2482,1605,11888
tkr,Cyrl,tkr_Cyrl,Tsakhur,у,Ll,CYRILLIC SMALL LETTER U,20428,7,"2017,2018,2019,2020,2021,2023,2024",861,2211,721,1344,3536,1462,10293
tkr,Cyrl,tkr_Cyrl,Tsakhur,г,Ll,CYRILLIC SMALL LETTER GHE,20151,7,"2017,2018,2019,2020,2021,2023,2024",804,2256,582,1268,2730,1650,10861
tkr,Cyrl,tkr_Cyrl,Tsakhur,б,Ll,CYRILLIC SMALL LETTER BE,19104,7,"2017,2018,2019,2020,2021,2023,2024",602,2515,251,529,1445,1578,12184
tkr,Cyrl,tkr_Cyrl,Tsakhur,с,Ll,CYRILLIC SMALL LETTER ES,17758,7,"2017,2018,2019,2020,2021,2023,2024",723,2152,526,856,2101,1414,9986
