iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2017_frequency,year_2019_frequency,year_2020_frequency
tlb,Latn,tlb_Latn,Tobelo,a,Ll,LATIN SMALL LETTER A,16129,3,"2017,2019,2020",3011,12535,583
tlb,Latn,tlb_Latn,Tobelo, ,Zs,SPACE,11209,3,"2017,2019,2020",2982,7610,617
tlb,Latn,tlb_Latn,Tobelo,i,Ll,LATIN SMALL LETTER I,11142,3,"2017,2019,2020",1453,9472,217
tlb,Latn,tlb_Latn,Tobelo,o,Ll,LATIN SMALL LETTER O,9082,3,"2017,2019,2020",1699,7010,373
tlb,Latn,tlb_Latn,Tobelo,n,Ll,LATIN SMALL LETTER N,5623,3,"2017,2019,2020",1712,3695,216
tlb,Latn,tlb_Latn,Tobelo,k,Ll,LATIN SMALL LETTER K,5219,3,"2017,2019,2020",596,4501,122
tlb,Latn,tlb_Latn,Tobelo,h,Ll,LATIN SMALL LETTER H,5142,3,"2017,2019,2020",720,4292,130
tlb,Latn,tlb_Latn,Tobelo,u,Ll,LATIN SMALL LETTER U,4928,3,"2017,2019,2020",780,4030,118
tlb,Latn,tlb_Latn,Tobelo,m,Ll,LATIN SMALL LETTER M,4470,3,"2017,2019,2020",587,3754,129
tlb,Latn,tlb_Latn,Tobelo,g,Ll,LATIN SMALL LETTER G,4037,3,"2017,2019,2020",1031,2861,145
tlb,Latn,tlb_Latn,Tobelo,e,Ll,LATIN SMALL LETTER E,2938,3,"2017,2019,2020",530,2305,103
tlb,Latn,tlb_Latn,Tobelo,t,Ll,LATIN SMALL LETTER T,2781,3,"2017,2019,2020",463,2264,54
tlb,Latn,tlb_Latn,Tobelo,d,Ll,LATIN SMALL LETTER D,2672,3,"2017,2019,2020",537,2065,70
tlb,Latn,tlb_Latn,Tobelo,r,Ll,LATIN SMALL LETTER R,2377,3,"2017,2019,2020",340,1964,73
tlb,Latn,tlb_Latn,Tobelo,l,Ll,LATIN SMALL LETTER L,2007,3,"2017,2019,2020",151,1813,43
tlb,Latn,tlb_Latn,Tobelo,b,Ll,LATIN SMALL LETTER B,1216,3,"2017,2019,2020",169,1007,40
tlb,Latn,tlb_Latn,Tobelo,w,Ll,LATIN SMALL LETTER W,1213,3,"2017,2019,2020",273,900,40
tlb,Latn,tlb_Latn,Tobelo,-,Pd,HYPHEN-MINUS,985,3,"2017,2019,2020",95,878,12
tlb,Latn,tlb_Latn,Tobelo,ö,Ll,LATIN SMALL LETTER O WITH DIAERESIS,776,3,"2017,2019,2020",102,668,6
tlb,Latn,tlb_Latn,Tobelo,p,Ll,LATIN SMALL LETTER P,597,3,"2017,2019,2020",45,549,3
tlb,Latn,tlb_Latn,Tobelo,ä,Ll,LATIN SMALL LETTER A WITH DIAERESIS,439,3,"2017,2019,2020",76,335,28
tlb,Latn,tlb_Latn,Tobelo,y,Ll,LATIN SMALL LETTER Y,397,3,"2017,2019,2020",166,200,31
tlb,Latn,tlb_Latn,Tobelo,s,Ll,LATIN SMALL LETTER S,306,3,"2017,2019,2020",99,143,64
tlb,Latn,tlb_Latn,Tobelo,ë,Ll,LATIN SMALL LETTER E WITH DIAERESIS,274,3,"2017,2019,2020",116,139,19
tlb,Latn,tlb_Latn,Tobelo,j,Ll,LATIN SMALL LETTER J,273,3,"2017,2019,2020",10,262,1
tlb,Latn,tlb_Latn,Tobelo,",",Po,COMMA,242,2,"2017,2020",182,0,60
