iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2015_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
tll,Latn,tll_Latn,Tetela, ,Zs,SPACE,137609,9,"2015,2017,2018,2019,2020,2021,2022,2023,2024",537,9255,6109,54211,2232,173,59688,4810,594
tll,Latn,tll_Latn,Tetela,a,Ll,LATIN SMALL LETTER A,119751,9,"2015,2017,2018,2019,2020,2021,2022,2023,2024",474,7792,5565,47821,1980,153,51487,3974,505
tll,Latn,tll_Latn,Tetela,n,Ll,LATIN SMALL LETTER N,49998,9,"2015,2017,2018,2019,2020,2021,2022,2023,2024",103,3294,2243,20117,1104,56,21281,1616,184
tll,Latn,tll_Latn,Tetela,i,Ll,LATIN SMALL LETTER I,46788,9,"2015,2017,2018,2019,2020,2021,2022,2023,2024",150,3838,1530,14787,1224,50,23178,1767,264
tll,Latn,tll_Latn,Tetela,k,Ll,LATIN SMALL LETTER K,45295,9,"2015,2017,2018,2019,2020,2021,2022,2023,2024",49,2954,2098,19004,691,58,18784,1476,181
tll,Latn,tll_Latn,Tetela,l,Ll,LATIN SMALL LETTER L,43647,9,"2015,2017,2018,2019,2020,2021,2022,2023,2024",239,2897,1654,16082,619,74,20329,1559,194
tll,Latn,tll_Latn,Tetela,u,Ll,LATIN SMALL LETTER U,43498,9,"2015,2017,2018,2019,2020,2021,2022,2023,2024",87,3908,502,4477,314,21,31426,2443,320
tll,Latn,tll_Latn,Tetela,e,Ll,LATIN SMALL LETTER E,42720,9,"2015,2017,2018,2019,2020,2021,2022,2023,2024",165,3160,1632,14839,886,88,20102,1677,171
tll,Latn,tll_Latn,Tetela,o,Ll,LATIN SMALL LETTER O,41747,9,"2015,2017,2018,2019,2020,2021,2022,2023,2024",191,2864,2328,21750,1428,118,12009,976,83
tll,Latn,tll_Latn,Tetela,m,Ll,LATIN SMALL LETTER M,32069,9,"2015,2017,2018,2019,2020,2021,2022,2023,2024",115,2048,1368,12184,492,45,14610,1140,67
tll,Latn,tll_Latn,Tetela,d,Ll,LATIN SMALL LETTER D,31321,9,"2015,2017,2018,2019,2020,2021,2022,2023,2024",44,2366,1303,12282,855,24,13284,1004,159
tll,Latn,tll_Latn,Tetela,t,Ll,LATIN SMALL LETTER T,28353,9,"2015,2017,2018,2019,2020,2021,2022,2023,2024",96,1760,1227,11399,332,24,12288,1068,159
tll,Latn,tll_Latn,Tetela,s,Ll,LATIN SMALL LETTER S,22421,9,"2015,2017,2018,2019,2020,2021,2022,2023,2024",127,1537,995,9272,382,41,9004,956,107
tll,Latn,tll_Latn,Tetela,y,Ll,LATIN SMALL LETTER Y,19703,9,"2015,2017,2018,2019,2020,2021,2022,2023,2024",19,1264,663,6487,416,27,10059,661,107
tll,Latn,tll_Latn,Tetela,w,Ll,LATIN SMALL LETTER W,18763,9,"2015,2017,2018,2019,2020,2021,2022,2023,2024",13,1002,1026,8634,183,24,7266,570,45
tll,Latn,tll_Latn,Tetela,h,Ll,LATIN SMALL LETTER H,18636,9,"2015,2017,2018,2019,2020,2021,2022,2023,2024",86,1228,840,7353,267,18,8105,662,77
tll,Latn,tll_Latn,Tetela,b,Ll,LATIN SMALL LETTER B,14941,9,"2015,2017,2018,2019,2020,2021,2022,2023,2024",10,1075,829,6045,392,23,6056,463,48
