iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2015_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
toi,Latn,toi_Latn,Tonga (Zambia),a,Ll,LATIN SMALL LETTER A,1064858,10,"2013,2015,2017,2018,2019,2020,2021,2022,2023,2024",1806,1570,4084,84072,764528,43953,49487,61829,37782,15747
toi,Latn,toi_Latn,Tonga (Zambia), ,Zs,SPACE,886174,10,"2013,2015,2017,2018,2019,2020,2021,2022,2023,2024",1534,1260,3330,63208,624476,37028,44882,61609,31270,17577
toi,Latn,toi_Latn,Tonga (Zambia),i,Ll,LATIN SMALL LETTER I,575542,10,"2013,2015,2017,2018,2019,2020,2021,2022,2023,2024",1036,827,2234,40244,415689,22521,28478,35395,20704,8414
toi,Latn,toi_Latn,Tonga (Zambia),u,Ll,LATIN SMALL LETTER U,506707,10,"2013,2015,2017,2018,2019,2020,2021,2022,2023,2024",1073,928,1878,34268,361345,18653,24568,34128,20013,9853
toi,Latn,toi_Latn,Tonga (Zambia),k,Ll,LATIN SMALL LETTER K,396246,10,"2013,2015,2017,2018,2019,2020,2021,2022,2023,2024",775,679,1559,25744,286957,14835,18884,24978,15081,6754
toi,Latn,toi_Latn,Tonga (Zambia),n,Ll,LATIN SMALL LETTER N,349896,10,"2013,2015,2017,2018,2019,2020,2021,2022,2023,2024",718,618,1367,26821,250035,12066,16624,22358,13131,6158
toi,Latn,toi_Latn,Tonga (Zambia),o,Ll,LATIN SMALL LETTER O,326041,10,"2013,2015,2017,2018,2019,2020,2021,2022,2023,2024",468,390,1177,26475,231665,13749,15571,20507,10721,5318
toi,Latn,toi_Latn,Tonga (Zambia),e,Ll,LATIN SMALL LETTER E,325854,10,"2013,2015,2017,2018,2019,2020,2021,2022,2023,2024",659,537,1262,26024,228052,13624,15586,21927,11688,6495
toi,Latn,toi_Latn,Tonga (Zambia),b,Ll,LATIN SMALL LETTER B,320918,10,"2013,2015,2017,2018,2019,2020,2021,2022,2023,2024",404,365,1189,25139,232365,13324,15237,17567,11180,4148
toi,Latn,toi_Latn,Tonga (Zambia),l,Ll,LATIN SMALL LETTER L,314347,10,"2013,2015,2017,2018,2019,2020,2021,2022,2023,2024",779,676,1269,24137,222331,11877,15066,20750,11780,5682
toi,Latn,toi_Latn,Tonga (Zambia),m,Ll,LATIN SMALL LETTER M,294106,10,"2013,2015,2017,2018,2019,2020,2021,2022,2023,2024",525,441,1107,22384,209673,12474,14542,17754,10729,4477
toi,Latn,toi_Latn,Tonga (Zambia),w,Ll,LATIN SMALL LETTER W,241945,10,"2013,2015,2017,2018,2019,2020,2021,2022,2023,2024",507,441,937,17641,169227,11648,13024,15732,8999,3789
toi,Latn,toi_Latn,Tonga (Zambia),y,Ll,LATIN SMALL LETTER Y,216316,10,"2013,2015,2017,2018,2019,2020,2021,2022,2023,2024",376,330,928,15346,158070,6804,9751,13807,7462,3442
toi,Latn,toi_Latn,Tonga (Zambia),t,Ll,LATIN SMALL LETTER T,190870,10,"2013,2015,2017,2018,2019,2020,2021,2022,2023,2024",323,231,791,11907,137626,7970,9194,12412,6844,3572
toi,Latn,toi_Latn,Tonga (Zambia),z,Ll,LATIN SMALL LETTER Z,147479,10,"2013,2015,2017,2018,2019,2020,2021,2022,2023,2024",196,158,531,11955,104614,6159,6742,8683,5811,2630
