iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2015_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
toj,Latn,toj_Latn,Tojolabal, ,Zs,SPACE,472225,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2042,2734,57,1357,122724,238158,7609,2370,15507,55693,523,23451
toj,Latn,toj_Latn,Tojolabal,a,Ll,LATIN SMALL LETTER A,366912,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1627,1838,9,875,97350,189629,5284,1857,11106,39639,367,17331
toj,Latn,toj_Latn,Tojolabal,j,Ll,LATIN SMALL LETTER J,172800,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",925,767,5,436,45528,90120,1497,838,5141,18883,149,8511
toj,Latn,toj_Latn,Tojolabal,i,Ll,LATIN SMALL LETTER I,164648,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",897,841,7,257,42981,83047,2744,820,5221,19539,143,8151
toj,Latn,toj_Latn,Tojolabal,o,Ll,LATIN SMALL LETTER O,116052,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",487,797,9,428,29911,57650,3037,526,4009,13256,161,5781
toj,Latn,toj_Latn,Tojolabal,e,Ll,LATIN SMALL LETTER E,114243,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",314,814,5,554,29937,55601,3326,603,4135,13023,166,5765
toj,Latn,toj_Latn,Tojolabal,l,Ll,LATIN SMALL LETTER L,111976,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",654,409,4,198,31470,59484,2272,475,2836,9707,103,4364
toj,Latn,toj_Latn,Tojolabal,n,Ll,LATIN SMALL LETTER N,110762,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",619,647,1,251,29579,56152,2418,522,3682,11638,130,5123
toj,Latn,toj_Latn,Tojolabal,s,Ll,LATIN SMALL LETTER S,108364,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",492,669,6,334,29173,56871,2438,426,3121,10621,127,4086
toj,Latn,toj_Latn,Tojolabal,ʼ,Lm,MODIFIER LETTER APOSTROPHE,104155,3,"2017,2018,2020",0,0,0,0,36154,67973,0,28,0,0,0,0
toj,Latn,toj_Latn,Tojolabal,k,Ll,LATIN SMALL LETTER K,100544,10,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023",622,101,0,25,34413,64361,637,246,3,56,80,0
toj,Latn,toj_Latn,Tojolabal,u,Ll,LATIN SMALL LETTER U,98657,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",533,558,1,145,22560,43466,1542,447,4466,16896,88,7955
