iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2015_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
ton,Latn,ton_Latn,Tonga (Tonga Islands), ,Zs,SPACE,4627795,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",729908,146608,144206,115757,739718,765621,359829,286117,711042,252519,249191,127279
ton,Latn,ton_Latn,Tonga (Tonga Islands),a,Ll,LATIN SMALL LETTER A,3172979,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",480032,101289,95949,81367,500502,522269,243643,192786,501680,186890,179217,87355
ton,Latn,ton_Latn,Tonga (Tonga Islands),e,Ll,LATIN SMALL LETTER E,1856451,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",268184,57007,54510,46141,301607,312156,151734,117692,294646,101745,99261,51768
ton,Latn,ton_Latn,Tonga (Tonga Islands),i,Ll,LATIN SMALL LETTER I,1757229,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",258831,57039,51709,42881,274002,283950,136924,111309,292001,100589,98294,49700
ton,Latn,ton_Latn,Tonga (Tonga Islands),o,Ll,LATIN SMALL LETTER O,1685251,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",256900,54048,51107,41383,265949,276199,131351,103809,276234,93092,90632,44547
ton,Latn,ton_Latn,Tonga (Tonga Islands),k,Ll,LATIN SMALL LETTER K,1251540,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",205104,41179,40329,33443,204490,208970,90933,71879,181768,70737,69792,32916
ton,Latn,ton_Latn,Tonga (Tonga Islands),u,Ll,LATIN SMALL LETTER U,1127358,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",177458,37729,35620,30732,179390,185851,83527,67318,172476,65215,62157,29885
ton,Latn,ton_Latn,Tonga (Tonga Islands),ʻ,Lm,MODIFIER LETTER TURNED COMMA,1074134,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",226146,34060,42955,13619,168753,180584,86439,36596,156704,57352,52352,18574
ton,Latn,ton_Latn,Tonga (Tonga Islands),n,Ll,LATIN SMALL LETTER N,945219,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",142158,31268,29717,23326,141180,147430,73728,60140,161404,55859,52031,26978
ton,Latn,ton_Latn,Tonga (Tonga Islands),t,Ll,LATIN SMALL LETTER T,848465,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",127496,28721,26487,21019,125461,133947,64259,56654,143722,48579,47805,24315
ton,Latn,ton_Latn,Tonga (Tonga Islands),h,Ll,LATIN SMALL LETTER H,814428,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",129259,26382,25945,19392,124252,131004,62166,48976,130134,47306,46756,22856
ton,Latn,ton_Latn,Tonga (Tonga Islands),l,Ll,LATIN SMALL LETTER L,629296,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",91349,20465,19201,15430,91450,96280,48937,42363,113790,36943,35214,17874
ton,Latn,ton_Latn,Tonga (Tonga Islands),m,Ll,LATIN SMALL LETTER M,563780,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",91766,19053,18792,14428,85537,85663,40739,34900,92541,33040,32535,14786
ton,Latn,ton_Latn,Tonga (Tonga Islands),f,Ll,LATIN SMALL LETTER F,488902,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",77983,17197,15890,13200,72938,73882,36814,30744,78242,29115,29088,13809
ton,Latn,ton_Latn,Tonga (Tonga Islands),g,Ll,LATIN SMALL LETTER G,384023,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",55749,12733,11890,9760,53243,53866,28551,25589,69599,28091,24234,10718
ton,Latn,ton_Latn,Tonga (Tonga Islands),p,Ll,LATIN SMALL LETTER P,326787,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",44870,9997,8827,8545,53519,55770,25706,21204,51896,18457,17759,10237
ton,Latn,ton_Latn,Tonga (Tonga Islands),s,Ll,LATIN SMALL LETTER S,224134,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",21445,7311,5286,4456,23212,26902,19661,20051,56421,15076,14713,9600
ton,Latn,ton_Latn,Tonga (Tonga Islands),",",Po,COMMA,217087,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",37219,5636,6458,3804,38144,42261,16565,10502,32856,10307,9999,3336
ton,Latn,ton_Latn,Tonga (Tonga Islands),.,Po,FULL STOP,172411,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",25552,6638,5391,4363,25543,24904,13087,12663,29505,9079,9855,5831
ton,Latn,ton_Latn,Tonga (Tonga Islands),‘,Pi,LEFT SINGLE QUOTATION MARK,126109,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",3487,2651,646,10988,19096,18705,8667,13343,17310,10958,11470,8788
ton,Latn,ton_Latn,Tonga (Tonga Islands),v,Ll,LATIN SMALL LETTER V,120745,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",14980,3863,3192,2697,17897,20384,9348,8538,22302,7240,6896,3408
ton,Latn,ton_Latn,Tonga (Tonga Islands),',Po,APOSTROPHE,115643,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",3896,4713,528,339,20271,24965,8361,14785,26685,3079,6894,1127
ton,Latn,ton_Latn,Tonga (Tonga Islands),ā,Ll,LATIN SMALL LETTER A WITH MACRON,102459,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",24995,4687,5358,2035,15610,15294,10687,3964,10053,4109,3890,1777
ton,Latn,ton_Latn,Tonga (Tonga Islands),r,Ll,LATIN SMALL LETTER R,102214,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",4278,2852,1679,1479,5196,9642,8525,12837,34690,7690,7537,5809
ton,Latn,ton_Latn,Tonga (Tonga Islands),K,Lu,LATIN CAPITAL LETTER K,87121,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",12172,3071,2426,2119,14165,13496,9815,5776,11322,4852,5078,2829
ton,Latn,ton_Latn,Tonga (Tonga Islands),’,Pf,RIGHT SINGLE QUOTATION MARK,71417,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2326,1816,448,8463,11381,12297,4103,8114,8241,5194,3210,5824
ton,Latn,ton_Latn,Tonga (Tonga Islands),P,Lu,LATIN CAPITAL LETTER P,63991,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",6693,1376,1281,1183,11757,12992,7002,3842,9901,3573,2901,1490
ton,Latn,ton_Latn,Tonga (Tonga Islands),O,Lu,LATIN CAPITAL LETTER O,61600,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",11214,2106,1957,1252,8347,8854,4819,3863,8717,4551,4132,1788
