iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2016_frequency,year_2017_frequency,year_2019_frequency,year_2021_frequency,year_2022_frequency
tos,Latn,tos_Latn,Highland Totonac,a,Ll,LATIN SMALL LETTER A,344319,7,"2013,2014,2016,2017,2019,2021,2022",283229,4833,1433,28982,1805,17012,7025
tos,Latn,tos_Latn,Highland Totonac,̱,Mn,COMBINING MACRON BELOW,310067,7,"2013,2014,2016,2017,2019,2021,2022",254860,4514,1301,26489,1605,15176,6122
tos,Latn,tos_Latn,Highland Totonac, ,Zs,SPACE,267295,7,"2013,2014,2016,2017,2019,2021,2022",220762,3950,1123,22288,1457,12690,5025
tos,Latn,tos_Latn,Highland Totonac,i,Ll,LATIN SMALL LETTER I,166915,7,"2013,2014,2016,2017,2019,2021,2022",136602,2391,680,14677,825,8365,3375
tos,Latn,tos_Latn,Highland Totonac,u,Ll,LATIN SMALL LETTER U,166275,7,"2013,2014,2016,2017,2019,2021,2022",136836,2451,615,14324,878,8079,3092
tos,Latn,tos_Latn,Highland Totonac,n,Ll,LATIN SMALL LETTER N,160672,7,"2013,2014,2016,2017,2019,2021,2022",131977,2348,645,13724,795,7899,3284
tos,Latn,tos_Latn,Highland Totonac,t,Ll,LATIN SMALL LETTER T,149203,7,"2013,2014,2016,2017,2019,2021,2022",122466,2027,489,13020,769,7409,3023
tos,Latn,tos_Latn,Highland Totonac,c,Ll,LATIN SMALL LETTER C,126479,7,"2013,2014,2016,2017,2019,2021,2022",104503,1822,553,10624,678,5889,2410
tos,Latn,tos_Latn,Highland Totonac,h,Ll,LATIN SMALL LETTER H,122148,7,"2013,2014,2016,2017,2019,2021,2022",101546,1868,511,10142,642,5339,2100
tos,Latn,tos_Latn,Highland Totonac,l,Ll,LATIN SMALL LETTER L,120078,7,"2013,2014,2016,2017,2019,2021,2022",99159,1728,574,9873,592,5838,2314
tos,Latn,tos_Latn,Highland Totonac,x,Ll,LATIN SMALL LETTER X,63369,7,"2013,2014,2016,2017,2019,2021,2022",52446,945,252,5180,348,3082,1116
tos,Latn,tos_Latn,Highland Totonac,m,Ll,LATIN SMALL LETTER M,62448,7,"2013,2014,2016,2017,2019,2021,2022",51389,904,294,5207,331,3045,1278
tos,Latn,tos_Latn,Highland Totonac,k,Ll,LATIN SMALL LETTER K,60153,7,"2013,2014,2016,2017,2019,2021,2022",50152,908,270,4669,315,2711,1128
tos,Latn,tos_Latn,Highland Totonac,p,Ll,LATIN SMALL LETTER P,51191,7,"2013,2014,2016,2017,2019,2021,2022",41893,737,257,4506,279,2454,1065
tos,Latn,tos_Latn,Highland Totonac,á,Ll,LATIN SMALL LETTER A WITH ACUTE,50846,7,"2013,2014,2016,2017,2019,2021,2022",41654,777,185,4599,252,2383,996
tos,Latn,tos_Latn,Highland Totonac,s,Ll,LATIN SMALL LETTER S,46310,7,"2013,2014,2016,2017,2019,2021,2022",38207,658,197,3699,251,2455,843
tos,Latn,tos_Latn,Highland Totonac,y,Ll,LATIN SMALL LETTER Y,34774,7,"2013,2014,2016,2017,2019,2021,2022",28384,510,131,3108,200,1769,672
tos,Latn,tos_Latn,Highland Totonac,o,Ll,LATIN SMALL LETTER O,32419,7,"2013,2014,2016,2017,2019,2021,2022",26823,579,203,2358,174,1699,583
tos,Latn,tos_Latn,Highland Totonac,",",Po,COMMA,25561,7,"2013,2014,2016,2017,2019,2021,2022",21312,366,113,2060,126,1115,469
