iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2014_frequency,year_2021_frequency
tpw,Latn,tpw_Latn,UNKNOWN, ,Zs,SPACE,968,2,"2014,2021",708,260
tpw,Latn,tpw_Latn,UNKNOWN,a,Ll,LATIN SMALL LETTER A,848,2,"2014,2021",695,153
tpw,Latn,tpw_Latn,UNKNOWN,e,Ll,LATIN SMALL LETTER E,607,2,"2014,2021",436,171
tpw,Latn,tpw_Latn,UNKNOWN,o,Ll,LATIN SMALL LETTER O,533,2,"2014,2021",401,132
tpw,Latn,tpw_Latn,UNKNOWN,r,Ll,LATIN SMALL LETTER R,513,2,"2014,2021",415,98
tpw,Latn,tpw_Latn,UNKNOWN,n,Ll,LATIN SMALL LETTER N,342,2,"2014,2021",264,78
tpw,Latn,tpw_Latn,UNKNOWN,i,Ll,LATIN SMALL LETTER I,321,2,"2014,2021",238,83
tpw,Latn,tpw_Latn,UNKNOWN,m,Ll,LATIN SMALL LETTER M,293,2,"2014,2021",213,80
tpw,Latn,tpw_Latn,UNKNOWN,b,Ll,LATIN SMALL LETTER B,272,2,"2014,2021",223,49
tpw,Latn,tpw_Latn,UNKNOWN,t,Ll,LATIN SMALL LETTER T,252,2,"2014,2021",206,46
tpw,Latn,tpw_Latn,UNKNOWN,u,Ll,LATIN SMALL LETTER U,246,2,"2014,2021",192,54
tpw,Latn,tpw_Latn,UNKNOWN,s,Ll,LATIN SMALL LETTER S,217,2,"2014,2021",154,63
tpw,Latn,tpw_Latn,UNKNOWN,p,Ll,LATIN SMALL LETTER P,204,2,"2014,2021",174,30
tpw,Latn,tpw_Latn,UNKNOWN,.,Po,FULL STOP,188,2,"2014,2021",108,80
tpw,Latn,tpw_Latn,UNKNOWN,y,Ll,LATIN SMALL LETTER Y,140,2,"2014,2021",101,39
tpw,Latn,tpw_Latn,UNKNOWN,g,Ll,LATIN SMALL LETTER G,131,2,"2014,2021",104,27
tpw,Latn,tpw_Latn,UNKNOWN,c,Ll,LATIN SMALL LETTER C,131,2,"2014,2021",124,7
tpw,Latn,tpw_Latn,UNKNOWN,d,Ll,LATIN SMALL LETTER D,117,2,"2014,2021",74,43
tpw,Latn,tpw_Latn,UNKNOWN,h,Ll,LATIN SMALL LETTER H,116,2,"2014,2021",74,42
tpw,Latn,tpw_Latn,UNKNOWN,k,Ll,LATIN SMALL LETTER K,109,2,"2014,2021",77,32
tpw,Latn,tpw_Latn,UNKNOWN,é,Ll,LATIN SMALL LETTER E WITH ACUTE,105,2,"2014,2021",74,31
tpw,Latn,tpw_Latn,UNKNOWN,T,Lu,LATIN CAPITAL LETTER T,104,2,"2014,2021",73,31
tpw,Latn,tpw_Latn,UNKNOWN,",",Po,COMMA,88,2,"2014,2021",79,9
tpw,Latn,tpw_Latn,UNKNOWN,',Po,APOSTROPHE,85,2,"2014,2021",58,27
tpw,Latn,tpw_Latn,UNKNOWN,î,Ll,LATIN SMALL LETTER I WITH CIRCUMFLEX,70,2,"2014,2021",55,15
tpw,Latn,tpw_Latn,UNKNOWN,-,Pd,HYPHEN-MINUS,58,2,"2014,2021",19,39
tpw,Latn,tpw_Latn,UNKNOWN,A,Lu,LATIN CAPITAL LETTER A,55,2,"2014,2021",46,9
tpw,Latn,tpw_Latn,UNKNOWN,û,Ll,LATIN SMALL LETTER U WITH CIRCUMFLEX,49,2,"2014,2021",40,9
tpw,Latn,tpw_Latn,UNKNOWN,M,Lu,LATIN CAPITAL LETTER M,49,2,"2014,2021",40,9
tpw,Latn,tpw_Latn,UNKNOWN,l,Ll,LATIN SMALL LETTER L,48,2,"2014,2021",22,26
tpw,Latn,tpw_Latn,UNKNOWN,S,Lu,LATIN CAPITAL LETTER S,46,2,"2014,2021",42,4
tpw,Latn,tpw_Latn,UNKNOWN,á,Ll,LATIN SMALL LETTER A WITH ACUTE,45,2,"2014,2021",29,16
tpw,Latn,tpw_Latn,UNKNOWN,ã,Ll,LATIN SMALL LETTER A WITH TILDE,45,2,"2014,2021",39,6
tpw,Latn,tpw_Latn,UNKNOWN,ê,Ll,LATIN SMALL LETTER E WITH CIRCUMFLEX,43,2,"2014,2021",42,1
tpw,Latn,tpw_Latn,UNKNOWN,N,Lu,LATIN CAPITAL LETTER N,40,2,"2014,2021",35,5
tpw,Latn,tpw_Latn,UNKNOWN,P,Lu,LATIN CAPITAL LETTER P,35,2,"2014,2021",31,4
tpw,Latn,tpw_Latn,UNKNOWN,(,Ps,LEFT PARENTHESIS,30,1,2014,30,0
tpw,Latn,tpw_Latn,UNKNOWN,),Pe,RIGHT PARENTHESIS,30,1,2014,30,0
tpw,Latn,tpw_Latn,UNKNOWN,I,Lu,LATIN CAPITAL LETTER I,29,2,"2014,2021",14,15
tpw,Latn,tpw_Latn,UNKNOWN,â,Ll,LATIN SMALL LETTER A WITH CIRCUMFLEX,28,1,2014,28,0
