iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2021_frequency,year_2023_frequency
trs,Latn,trs_Latn,Chicahuaxtla Triqui, ,Zs,SPACE,3516,6,"2016,2017,2018,2019,2021,2023",331,340,896,1662,211,76
trs,Latn,trs_Latn,Chicahuaxtla Triqui,n,Ll,LATIN SMALL LETTER N,2470,6,"2016,2017,2018,2019,2021,2023",266,261,625,1082,182,54
trs,Latn,trs_Latn,Chicahuaxtla Triqui,a,Ll,LATIN SMALL LETTER A,1706,6,"2016,2017,2018,2019,2021,2023",137,140,403,873,107,46
trs,Latn,trs_Latn,Chicahuaxtla Triqui,i,Ll,LATIN SMALL LETTER I,1323,6,"2016,2017,2018,2019,2021,2023",132,126,324,648,76,17
trs,Latn,trs_Latn,Chicahuaxtla Triqui,u,Ll,LATIN SMALL LETTER U,1016,6,"2016,2017,2018,2019,2021,2023",85,101,317,470,27,16
trs,Latn,trs_Latn,Chicahuaxtla Triqui,j,Ll,LATIN SMALL LETTER J,879,6,"2016,2017,2018,2019,2021,2023",104,104,232,369,54,16
trs,Latn,trs_Latn,Chicahuaxtla Triqui,g,Ll,LATIN SMALL LETTER G,748,6,"2016,2017,2018,2019,2021,2023",69,68,213,344,45,9
trs,Latn,trs_Latn,Chicahuaxtla Triqui,h,Ll,LATIN SMALL LETTER H,546,6,"2016,2017,2018,2019,2021,2023",35,43,109,240,102,17
trs,Latn,trs_Latn,Chicahuaxtla Triqui,r,Ll,LATIN SMALL LETTER R,538,6,"2016,2017,2018,2019,2021,2023",30,28,150,275,40,15
trs,Latn,trs_Latn,Chicahuaxtla Triqui,e,Ll,LATIN SMALL LETTER E,499,6,"2016,2017,2018,2019,2021,2023",51,52,142,218,26,10
trs,Latn,trs_Latn,Chicahuaxtla Triqui,d,Ll,LATIN SMALL LETTER D,471,6,"2016,2017,2018,2019,2021,2023",21,29,139,254,26,2
trs,Latn,trs_Latn,Chicahuaxtla Triqui,s,Ll,LATIN SMALL LETTER S,471,6,"2016,2017,2018,2019,2021,2023",34,33,125,245,26,8
trs,Latn,trs_Latn,Chicahuaxtla Triqui,’,Pf,RIGHT SINGLE QUOTATION MARK,452,2,"2018,2019",0,0,239,213,0,0
trs,Latn,trs_Latn,Chicahuaxtla Triqui,̱,Mn,COMBINING MACRON BELOW,307,4,"2016,2017,2019,2023",84,77,0,129,0,17
trs,Latn,trs_Latn,Chicahuaxtla Triqui,t,Ll,LATIN SMALL LETTER T,284,6,"2016,2017,2018,2019,2021,2023",23,20,78,151,9,3
trs,Latn,trs_Latn,Chicahuaxtla Triqui,à,Ll,LATIN SMALL LETTER A WITH GRAVE,264,6,"2016,2017,2018,2019,2021,2023",20,25,57,115,43,4
trs,Latn,trs_Latn,Chicahuaxtla Triqui,o,Ll,LATIN SMALL LETTER O,258,6,"2016,2017,2018,2019,2021,2023",20,21,59,149,5,4
trs,Latn,trs_Latn,Chicahuaxtla Triqui,',Po,APOSTROPHE,257,2,"2018,2019",0,0,3,254,0,0
trs,Latn,trs_Latn,Chicahuaxtla Triqui,ñ,Ll,LATIN SMALL LETTER N WITH TILDE,254,5,"2016,2017,2018,2019,2023",31,30,77,114,0,2
