iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2020_frequency
ttq,Tfng,ttq_Tfng,Tawallammat Tamajaq, ,Zs,SPACE,495,1,2020,495
ttq,Tfng,ttq_Tfng,Tawallammat Tamajaq,ⵏ,Lo,TIFINAGH LETTER YAN,256,1,2020,256
ttq,Tfng,ttq_Tfng,Tawallammat Tamajaq,ⴹ,Lo,TIFINAGH LETTER YADD,162,1,2020,162
ttq,Tfng,ttq_Tfng,Tawallammat Tamajaq,ⵜ,Lo,TIFINAGH LETTER YAT,135,1,2020,135
ttq,Tfng,ttq_Tfng,Tawallammat Tamajaq,ⵔ,Lo,TIFINAGH LETTER YAR,134,1,2020,134
ttq,Tfng,ttq_Tfng,Tawallammat Tamajaq,ⵙ,Lo,TIFINAGH LETTER YAS,114,1,2020,114
ttq,Tfng,ttq_Tfng,Tawallammat Tamajaq,ⵍ,Lo,TIFINAGH LETTER YAL,111,1,2020,111
ttq,Tfng,ttq_Tfng,Tawallammat Tamajaq,ⵎ,Lo,TIFINAGH LETTER YAM,95,1,2020,95
ttq,Tfng,ttq_Tfng,Tawallammat Tamajaq,ⵢ,Lo,TIFINAGH LETTER YAY,85,1,2020,85
ttq,Tfng,ttq_Tfng,Tawallammat Tamajaq,ⵓ,Lo,TIFINAGH LETTER YU,83,1,2020,83
ttq,Tfng,ttq_Tfng,Tawallammat Tamajaq,ⴰ,Lo,TIFINAGH LETTER YA,67,1,2020,67
ttq,Tfng,ttq_Tfng,Tawallammat Tamajaq,ⵗ,Lo,TIFINAGH LETTER TUAREG YAGH,62,1,2020,62
ttq,Tfng,ttq_Tfng,Tawallammat Tamajaq,ⴾ,Lo,TIFINAGH LETTER TUAREG YAK,47,1,2020,47
ttq,Tfng,ttq_Tfng,Tawallammat Tamajaq,ⴶ,Lo,TIFINAGH LETTER YAJ,47,1,2020,47
ttq,Tfng,ttq_Tfng,Tawallammat Tamajaq,ⴼ,Lo,TIFINAGH LETTER YAF,34,1,2020,34
ttq,Tfng,ttq_Tfng,Tawallammat Tamajaq,ⵀ,Lo,TIFINAGH LETTER YAH,34,1,2020,34
ttq,Tfng,ttq_Tfng,Tawallammat Tamajaq,ⵂ,Lo,TIFINAGH LETTER TUAREG YAH,34,1,2020,34
ttq,Tfng,ttq_Tfng,Tawallammat Tamajaq,⵰,Po,TIFINAGH SEPARATOR MARK,31,1,2020,31
ttq,Tfng,ttq_Tfng,Tawallammat Tamajaq,⵿,Mn,TIFINAGH CONSONANT JOINER,31,1,2020,31
ttq,Tfng,ttq_Tfng,Tawallammat Tamajaq,ⵤ,Lo,TIFINAGH LETTER TAWELLEMET YAZ,31,1,2020,31
ttq,Tfng,ttq_Tfng,Tawallammat Tamajaq,1,Nd,DIGIT ONE,13,1,2020,13
ttq,Tfng,ttq_Tfng,Tawallammat Tamajaq,ⵛ,Lo,TIFINAGH LETTER YASH,12,1,2020,12
ttq,Tfng,ttq_Tfng,Tawallammat Tamajaq,ⵆ,Lo,TIFINAGH LETTER TUAREG YAKH,9,1,2020,9
ttq,Tfng,ttq_Tfng,Tawallammat Tamajaq,«,Pi,LEFT-POINTING DOUBLE ANGLE QUOTATION MARK,8,1,2020,8
ttq,Tfng,ttq_Tfng,Tawallammat Tamajaq,»,Pf,RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK,8,1,2020,8
ttq,Tfng,ttq_Tfng,Tawallammat Tamajaq,ⵈ,Lo,TIFINAGH LETTER TUAREG YAQ,8,1,2020,8
ttq,Tfng,ttq_Tfng,Tawallammat Tamajaq,2,Nd,DIGIT TWO,8,1,2020,8
ttq,Tfng,ttq_Tfng,Tawallammat Tamajaq,ⵌ,Lo,TIFINAGH LETTER TUAREG YAZH,5,1,2020,5
ttq,Tfng,ttq_Tfng,Tawallammat Tamajaq,3,Nd,DIGIT THREE,3,1,2020,3
ttq,Tfng,ttq_Tfng,Tawallammat Tamajaq,4,Nd,DIGIT FOUR,2,1,2020,2
ttq,Tfng,ttq_Tfng,Tawallammat Tamajaq,5,Nd,DIGIT FIVE,2,1,2020,2
ttq,Tfng,ttq_Tfng,Tawallammat Tamajaq,6,Nd,DIGIT SIX,2,1,2020,2
ttq,Tfng,ttq_Tfng,Tawallammat Tamajaq,"""",Po,QUOTATION MARK,2,1,2020,2
ttq,Tfng,ttq_Tfng,Tawallammat Tamajaq,7,Nd,DIGIT SEVEN,2,1,2020,2
ttq,Tfng,ttq_Tfng,Tawallammat Tamajaq,8,Nd,DIGIT EIGHT,2,1,2020,2
ttq,Tfng,ttq_Tfng,Tawallammat Tamajaq,9,Nd,DIGIT NINE,2,1,2020,2
ttq,Tfng,ttq_Tfng,Tawallammat Tamajaq,0,Nd,DIGIT ZERO,2,1,2020,2
