iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
tuk,Cyrl,tuk_Cyrl,Turkmen, ,Zs,SPACE,2203329,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",8135,20747,58586,325998,358053,192793,589552,477146,116563,48246,7510
tuk,Cyrl,tuk_Cyrl,Turkmen,а,Ll,CYRILLIC SMALL LETTER A,1426625,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",5529,12172,38394,214381,226457,123951,378101,308523,83102,31537,4478
tuk,Cyrl,tuk_Cyrl,Turkmen,я,Ll,CYRILLIC SMALL LETTER YA,1357175,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",404,11274,39112,164375,225122,125790,370860,301815,85860,28450,4113
tuk,Cyrl,tuk_Cyrl,Turkmen,и,Ll,CYRILLIC SMALL LETTER I,1341449,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",3973,12284,41118,176989,229945,125110,354175,285332,76578,31290,4655
tuk,Cyrl,tuk_Cyrl,Turkmen,н,Ll,CYRILLIC SMALL LETTER EN,1045687,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",2654,9553,28017,151345,166692,93376,281786,222543,62457,23711,3553
tuk,Cyrl,tuk_Cyrl,Turkmen,р,Ll,CYRILLIC SMALL LETTER ER,987650,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",2971,8777,28067,138419,162900,87870,259340,215118,58842,21812,3534
tuk,Cyrl,tuk_Cyrl,Turkmen,л,Ll,CYRILLIC SMALL LETTER EL,909849,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",2805,7291,27391,121585,156381,83697,236130,197695,52554,21113,3207
tuk,Cyrl,tuk_Cyrl,Turkmen,д,Ll,CYRILLIC SMALL LETTER DE,718303,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",2170,6236,17338,108861,116882,61332,190415,156030,41495,15378,2166
tuk,Cyrl,tuk_Cyrl,Turkmen,ы,Ll,CYRILLIC SMALL LETTER YERU,578319,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",2647,4700,14287,98531,92591,47799,151185,117651,35043,12152,1733
tuk,Cyrl,tuk_Cyrl,Turkmen,м,Ll,CYRILLIC SMALL LETTER EM,530211,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",2101,4983,14993,72674,89339,50593,138725,113656,30182,11439,1526
tuk,Cyrl,tuk_Cyrl,Turkmen,с,Ll,CYRILLIC SMALL LETTER ES,490434,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",1443,4631,15306,66434,82515,45145,129215,104452,27640,12005,1648
tuk,Cyrl,tuk_Cyrl,Turkmen,т,Ll,CYRILLIC SMALL LETTER TE,456842,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",1736,5158,15304,62098,75265,44009,116825,97126,26747,10970,1604
tuk,Cyrl,tuk_Cyrl,Turkmen,й,Ll,CYRILLIC SMALL LETTER SHORT I,394364,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",755,3550,11621,56325,62982,34316,106790,85553,22696,8596,1180
tuk,Cyrl,tuk_Cyrl,Turkmen,у,Ll,CYRILLIC SMALL LETTER U,347512,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",1094,3442,7911,52940,54007,30383,94630,76135,18525,7371,1074
tuk,Cyrl,tuk_Cyrl,Turkmen,е,Ll,CYRILLIC SMALL LETTER IE,335575,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",4372,4373,10371,56437,57952,29150,80875,66762,16046,7775,1462
tuk,Cyrl,tuk_Cyrl,Turkmen,б,Ll,CYRILLIC SMALL LETTER BE,316306,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",1546,2894,7808,50050,51423,25542,84783,68426,17227,5896,711
