iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2015_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
tur,Latn,tur_Latn,Turkish, ,Zs,SPACE,34863838226,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",61380659,376501679,227801703,1117599643,3963759375,3544146693,3693177265,4082253237,5579070452,4457480701,5046703311,2713963508
tur,Latn,tur_Latn,Turkish,a,Ll,LATIN SMALL LETTER A,26007271604,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",42949746,278116147,168536187,812964430,2919001711,2625043190,2755382926,3050847577,4192664016,3330279287,3782189331,2049297056
tur,Latn,tur_Latn,Turkish,e,Ll,LATIN SMALL LETTER E,22066230349,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",38988031,232195386,140970148,680681308,2433414544,2189303244,2334405738,2586716119,3539708078,2822801759,3272350246,1794695748
tur,Latn,tur_Latn,Turkish,i,Ll,LATIN SMALL LETTER I,20376362130,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",34465301,212043294,128787468,625026256,2216830214,1989833135,2141336852,2384145729,3276585738,2612947515,3061326230,1693034398
tur,Latn,tur_Latn,Turkish,n,Ll,LATIN SMALL LETTER N,16534245789,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",27001573,174978064,106030364,519792809,1856222625,1629481959,1744060914,1932242598,2654916980,2120500911,2429491707,1339525285
tur,Latn,tur_Latn,Turkish,r,Ll,LATIN SMALL LETTER R,16002214313,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",27691419,170190670,103409189,494488077,1752321727,1578872216,1686156561,1866439907,2565318571,2048750512,2391740665,1316834799
tur,Latn,tur_Latn,Turkish,l,Ll,LATIN SMALL LETTER L,15833855983,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",25962825,166094946,100983176,493291245,1744532003,1560171424,1660614730,1843328319,2526705194,2021644261,2375093971,1315433889
tur,Latn,tur_Latn,Turkish,ı,Ll,LATIN SMALL LETTER DOTLESS I,10270368134,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",15625957,108131517,64891501,322515487,1164086083,1012328802,1093115806,1211610934,1668301582,1311505437,1493528606,804726422
tur,Latn,tur_Latn,Turkish,k,Ll,LATIN SMALL LETTER K,9528762020,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",15749558,102344004,61657589,297675778,1066097891,965007751,1016597759,1121392198,1530417860,1213014077,1390770611,748036944
tur,Latn,tur_Latn,Turkish,d,Ll,LATIN SMALL LETTER D,8712052110,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",14546820,94137890,56766326,282206057,1021004993,881248354,932527824,1030334457,1407707138,1109689153,1232561172,649321926
