iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2016_frequency,year_2018_frequency,year_2019_frequency,year_2021_frequency,year_2023_frequency,year_2024_frequency
txq,Latn,txq_Latn,Tii,a,Ll,LATIN SMALL LETTER A,147640,6,"2016,2018,2019,2021,2023,2024",78,84,137050,6792,2738,898
txq,Latn,txq_Latn,Tii, ,Zs,SPACE,140757,6,"2016,2018,2019,2021,2023,2024",116,83,130901,6356,2480,821
txq,Latn,txq_Latn,Tii,n,Ll,LATIN SMALL LETTER N,59608,6,"2016,2018,2019,2021,2023,2024",54,39,55498,2562,1010,445
txq,Latn,txq_Latn,Tii,e,Ll,LATIN SMALL LETTER E,57113,6,"2016,2018,2019,2021,2023,2024",49,40,53009,2720,990,305
txq,Latn,txq_Latn,Tii,o,Ll,LATIN SMALL LETTER O,39686,6,"2016,2018,2019,2021,2023,2024",22,21,36838,1809,813,183
txq,Latn,txq_Latn,Tii,u,Ll,LATIN SMALL LETTER U,39267,6,"2016,2018,2019,2021,2023,2024",42,27,36332,1818,834,214
txq,Latn,txq_Latn,Tii,i,Ll,LATIN SMALL LETTER I,36943,6,"2016,2018,2019,2021,2023,2024",59,29,34130,1813,686,226
txq,Latn,txq_Latn,Tii,m,Ll,LATIN SMALL LETTER M,27327,6,"2016,2018,2019,2021,2023,2024",41,14,25351,1326,445,150
txq,Latn,txq_Latn,Tii,k,Ll,LATIN SMALL LETTER K,25019,6,"2016,2018,2019,2021,2023,2024",1,15,23155,1156,509,183
txq,Latn,txq_Latn,Tii,t,Ll,LATIN SMALL LETTER T,24542,6,"2016,2018,2019,2021,2023,2024",14,18,22595,1229,538,148
txq,Latn,txq_Latn,Tii,s,Ll,LATIN SMALL LETTER S,23129,6,"2016,2018,2019,2021,2023,2024",36,15,21397,1146,390,145
txq,Latn,txq_Latn,Tii,l,Ll,LATIN SMALL LETTER L,22789,6,"2016,2018,2019,2021,2023,2024",8,19,21110,1084,460,108
txq,Latn,txq_Latn,Tii,r,Ll,LATIN SMALL LETTER R,21927,6,"2016,2018,2019,2021,2023,2024",21,14,20401,880,503,108
txq,Latn,txq_Latn,Tii,d,Ll,LATIN SMALL LETTER D,16997,6,"2016,2018,2019,2021,2023,2024",10,11,15661,894,333,88
txq,Latn,txq_Latn,Tii,h,Ll,LATIN SMALL LETTER H,16054,6,"2016,2018,2019,2021,2023,2024",11,13,14887,715,360,68
txq,Latn,txq_Latn,Tii,b,Ll,LATIN SMALL LETTER B,14749,6,"2016,2018,2019,2021,2023,2024",2,8,13838,603,203,95
txq,Latn,txq_Latn,Tii,",",Po,COMMA,12145,5,"2018,2019,2021,2023,2024",0,6,11387,525,177,50
txq,Latn,txq_Latn,Tii,g,Ll,LATIN SMALL LETTER G,9234,6,"2016,2018,2019,2021,2023,2024",11,10,8576,369,168,100
txq,Latn,txq_Latn,Tii,.,Po,FULL STOP,8733,5,"2018,2019,2021,2023,2024",0,7,8125,392,156,53
txq,Latn,txq_Latn,Tii,f,Ll,LATIN SMALL LETTER F,8140,6,"2016,2018,2019,2021,2023,2024",7,3,7553,409,121,47
txq,Latn,txq_Latn,Tii,-,Pd,HYPHEN-MINUS,7149,6,"2016,2018,2019,2021,2023,2024",6,3,6531,396,182,31
txq,Latn,txq_Latn,Tii,ꞌ,Ll,LATIN SMALL LETTER SALTILLO,5685,4,"2019,2021,2023,2024",0,0,5366,222,75,22
txq,Latn,txq_Latn,Tii,A,Lu,LATIN CAPITAL LETTER A,4349,5,"2018,2019,2021,2023,2024",0,3,4051,208,72,15
txq,Latn,txq_Latn,Tii,M,Lu,LATIN CAPITAL LETTER M,3867,5,"2018,2019,2021,2023,2024",0,7,3554,187,98,21
txq,Latn,txq_Latn,Tii,Y,Lu,LATIN CAPITAL LETTER Y,2736,5,"2018,2019,2021,2023,2024",0,4,2599,100,29,4
txq,Latn,txq_Latn,Tii,N,Lu,LATIN CAPITAL LETTER N,2408,5,"2016,2019,2021,2023,2024",1,0,2262,98,38,9
