iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2019_frequency
tzl,Latn,tzl_Latn,Talossan, ,Zs,SPACE,237,1,2019,237
tzl,Latn,tzl_Latn,Talossan,a,Ll,LATIN SMALL LETTER A,142,1,2019,142
tzl,Latn,tzl_Latn,Talossan,s,Ll,LATIN SMALL LETTER S,112,1,2019,112
tzl,Latn,tzl_Latn,Talossan,e,Ll,LATIN SMALL LETTER E,107,1,2019,107
tzl,Latn,tzl_Latn,Talossan,n,Ll,LATIN SMALL LETTER N,101,1,2019,101
tzl,Latn,tzl_Latn,Talossan,t,Ll,LATIN SMALL LETTER T,98,1,2019,98
tzl,Latn,tzl_Latn,Talossan,i,Ll,LATIN SMALL LETTER I,85,1,2019,85
tzl,Latn,tzl_Latn,Talossan,c,Ll,LATIN SMALL LETTER C,83,1,2019,83
tzl,Latn,tzl_Latn,Talossan,r,Ll,LATIN SMALL LETTER R,82,1,2019,82
tzl,Latn,tzl_Latn,Talossan,u,Ll,LATIN SMALL LETTER U,79,1,2019,79
tzl,Latn,tzl_Latn,Talossan,l,Ll,LATIN SMALL LETTER L,59,1,2019,59
tzl,Latn,tzl_Latn,Talossan,d,Ll,LATIN SMALL LETTER D,37,1,2019,37
tzl,Latn,tzl_Latn,Talossan,h,Ll,LATIN SMALL LETTER H,37,1,2019,37
tzl,Latn,tzl_Latn,Talossan,o,Ll,LATIN SMALL LETTER O,32,1,2019,32
tzl,Latn,tzl_Latn,Talossan,é,Ll,LATIN SMALL LETTER E WITH ACUTE,30,1,2019,30
tzl,Latn,tzl_Latn,Talossan,v,Ll,LATIN SMALL LETTER V,27,1,2019,27
tzl,Latn,tzl_Latn,Talossan,ü,Ll,LATIN SMALL LETTER U WITH DIAERESIS,26,1,2019,26
tzl,Latn,tzl_Latn,Talossan,m,Ll,LATIN SMALL LETTER M,26,1,2019,26
tzl,Latn,tzl_Latn,Talossan,T,Lu,LATIN CAPITAL LETTER T,19,1,2019,19
tzl,Latn,tzl_Latn,Talossan,p,Ll,LATIN SMALL LETTER P,17,1,2019,17
tzl,Latn,tzl_Latn,Talossan,f,Ll,LATIN SMALL LETTER F,16,1,2019,16
tzl,Latn,tzl_Latn,Talossan,z,Ll,LATIN SMALL LETTER Z,15,1,2019,15
tzl,Latn,tzl_Latn,Talossan,",",Po,COMMA,14,1,2019,14
tzl,Latn,tzl_Latn,Talossan,',Po,APOSTROPHE,14,1,2019,14
tzl,Latn,tzl_Latn,Talossan,x,Ll,LATIN SMALL LETTER X,14,1,2019,14
tzl,Latn,tzl_Latn,Talossan,ç,Ll,LATIN SMALL LETTER C WITH CEDILLA,13,1,2019,13
tzl,Latn,tzl_Latn,Talossan,g,Ll,LATIN SMALL LETTER G,13,1,2019,13
tzl,Latn,tzl_Latn,Talossan,â,Ll,LATIN SMALL LETTER A WITH CIRCUMFLEX,13,1,2019,13
tzl,Latn,tzl_Latn,Talossan,b,Ll,LATIN SMALL LETTER B,10,1,2019,10
tzl,Latn,tzl_Latn,Talossan,q,Ll,LATIN SMALL LETTER Q,8,1,2019,8
tzl,Latn,tzl_Latn,Talossan,è,Ll,LATIN SMALL LETTER E WITH GRAVE,7,1,2019,7
tzl,Latn,tzl_Latn,Talossan,.,Po,FULL STOP,7,1,2019,7
tzl,Latn,tzl_Latn,Talossan,î,Ll,LATIN SMALL LETTER I WITH CIRCUMFLEX,6,1,2019,6
tzl,Latn,tzl_Latn,Talossan,ë,Ll,LATIN SMALL LETTER E WITH DIAERESIS,5,1,2019,5
tzl,Latn,tzl_Latn,Talossan,à,Ll,LATIN SMALL LETTER A WITH GRAVE,5,1,2019,5
tzl,Latn,tzl_Latn,Talossan,!,Po,EXCLAMATION MARK,5,1,2019,5
tzl,Latn,tzl_Latn,Talossan,S,Lu,LATIN CAPITAL LETTER S,4,1,2019,4
tzl,Latn,tzl_Latn,Talossan,;,Po,SEMICOLON,4,1,2019,4
tzl,Latn,tzl_Latn,Talossan,ô,Ll,LATIN SMALL LETTER O WITH CIRCUMFLEX,4,1,2019,4
tzl,Latn,tzl_Latn,Talossan,E,Lu,LATIN CAPITAL LETTER E,4,1,2019,4
tzl,Latn,tzl_Latn,Talossan,P,Lu,LATIN CAPITAL LETTER P,3,1,2019,3
tzl,Latn,tzl_Latn,Talossan,á,Ll,LATIN SMALL LETTER A WITH ACUTE,3,1,2019,3
tzl,Latn,tzl_Latn,Talossan,þ,Ll,LATIN SMALL LETTER THORN,3,1,2019,3
tzl,Latn,tzl_Latn,Talossan,ä,Ll,LATIN SMALL LETTER A WITH DIAERESIS,3,1,2019,3
tzl,Latn,tzl_Latn,Talossan,û,Ll,LATIN SMALL LETTER U WITH CIRCUMFLEX,2,1,2019,2
tzl,Latn,tzl_Latn,Talossan,ì,Ll,LATIN SMALL LETTER I WITH GRAVE,2,1,2019,2
tzl,Latn,tzl_Latn,Talossan,"""",Po,QUOTATION MARK,2,1,2019,2
tzl,Latn,tzl_Latn,Talossan,M,Lu,LATIN CAPITAL LETTER M,2,1,2019,2
tzl,Latn,tzl_Latn,Talossan,-,Pd,HYPHEN-MINUS,2,1,2019,2
tzl,Latn,tzl_Latn,Talossan,O,Lu,LATIN CAPITAL LETTER O,2,1,2019,2
tzl,Latn,tzl_Latn,Talossan,Q,Lu,LATIN CAPITAL LETTER Q,2,1,2019,2
tzl,Latn,tzl_Latn,Talossan,ê,Ll,LATIN SMALL LETTER E WITH CIRCUMFLEX,2,1,2019,2
tzl,Latn,tzl_Latn,Talossan,ñ,Ll,LATIN SMALL LETTER N WITH TILDE,2,1,2019,2
tzl,Latn,tzl_Latn,Talossan,C,Lu,LATIN CAPITAL LETTER C,2,1,2019,2
tzl,Latn,tzl_Latn,Talossan,I,Lu,LATIN CAPITAL LETTER I,2,1,2019,2
tzl,Latn,tzl_Latn,Talossan,N,Lu,LATIN CAPITAL LETTER N,2,1,2019,2
tzl,Latn,tzl_Latn,Talossan,A,Lu,LATIN CAPITAL LETTER A,2,1,2019,2
tzl,Latn,tzl_Latn,Talossan,ú,Ll,LATIN SMALL LETTER U WITH ACUTE,1,1,2019,1
tzl,Latn,tzl_Latn,Talossan,Ç,Lu,LATIN CAPITAL LETTER C WITH CEDILLA,1,1,2019,1
tzl,Latn,tzl_Latn,Talossan,’,Pf,RIGHT SINGLE QUOTATION MARK,1,1,2019,1
tzl,Latn,tzl_Latn,Talossan,j,Ll,LATIN SMALL LETTER J,1,1,2019,1
tzl,Latn,tzl_Latn,Talossan,R,Lu,LATIN CAPITAL LETTER R,1,1,2019,1
