iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2015_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
und,Beng,und_Beng,Undetermined, ,Zs,SPACE,4862383,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",61853,472478,399818,192220,63074,63010,873466,1030004,591182,353026,707506,54746
und,Beng,und_Beng,Undetermined,১,Nd,BENGALI DIGIT ONE,3024251,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",27898,217434,182813,89212,53679,60704,388466,487587,282516,147946,868995,217001
und,Beng,und_Beng,Undetermined,২,Nd,BENGALI DIGIT TWO,2160453,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",26546,205928,173505,84218,39011,53669,294758,389841,221578,123701,451784,95914
und,Beng,und_Beng,Undetermined,০,Nd,BENGALI DIGIT ZERO,1721827,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",6531,54482,44458,23313,68375,51097,286890,429379,261994,86946,328888,79474
und,Beng,und_Beng,Undetermined,৩,Nd,BENGALI DIGIT THREE,1643539,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",9530,75922,63206,31630,36471,37058,254178,338559,202671,102074,405968,86272
und,Beng,und_Beng,Undetermined,৪,Nd,BENGALI DIGIT FOUR,1480339,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",6609,54229,44549,23010,37655,34195,220792,300770,196019,91470,383157,87884
und,Beng,und_Beng,Undetermined,৫,Nd,BENGALI DIGIT FIVE,1406568,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",6641,54710,44851,23260,34743,29869,202179,287780,180654,85943,371311,84627
und,Beng,und_Beng,Undetermined,৬,Nd,BENGALI DIGIT SIX,1301859,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",6443,51846,42930,21751,29062,25304,185960,258737,159937,78571,357593,83725
und,Beng,und_Beng,Undetermined,৭,Nd,BENGALI DIGIT SEVEN,1245273,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",6370,50682,42158,21127,28058,26375,174652,238242,155142,69274,349428,83765
und,Beng,und_Beng,Undetermined,৮,Nd,BENGALI DIGIT EIGHT,1220723,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",6424,51563,42742,21594,28292,27030,164993,224856,162160,66702,342747,81620
und,Beng,und_Beng,Undetermined,৯,Nd,BENGALI DIGIT NINE,1186749,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",6502,52027,43079,21834,27251,25496,156472,212966,147041,70811,341783,81487
und,Beng,und_Beng,Undetermined,|,Sm,VERTICAL LINE,389787,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",11330,103870,80830,47214,23258,17620,3203,5024,19755,17690,33812,26181
und,Beng,und_Beng,Undetermined,0,Nd,DIGIT ZERO,359864,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",9,0,0,0,1648,2849,107824,22025,52378,73824,89338,9969
und,Beng,und_Beng,Undetermined,া,Mc,BENGALI VOWEL SIGN AA,354174,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2710,20990,17707,8572,9496,18876,21717,31506,62150,27685,104643,28122
und,Beng,und_Beng,Undetermined,র,Lo,BENGALI LETTER RA,294320,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2866,22030,18693,8975,6190,11561,15338,22191,50273,21301,92373,22529
und,Beng,und_Beng,Undetermined,্,Mn,BENGALI SIGN VIRAMA,255455,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2575,19755,16848,8039,3430,11121,11998,16496,33434,20027,93737,17995
und,Beng,und_Beng,Undetermined,ি,Mc,BENGALI VOWEL SIGN I,219311,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",3414,27484,22768,11489,5587,8340,10007,14141,28147,13551,58642,15741
und,Beng,und_Beng,Undetermined,৳,Sc,BENGALI RUPEE SIGN,206925,8,"2017,2018,2019,2020,2021,2022,2023,2024",0,0,0,0,634,2579,38615,15072,39368,44057,58924,7676
und,Beng,und_Beng,Undetermined,ন,Lo,BENGALI LETTER NA,188540,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1605,12376,10446,5075,4916,10038,9250,13741,35624,13905,58563,13001
und,Beng,und_Beng,Undetermined,ম,Lo,BENGALI LETTER MA,166075,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2091,15845,13038,6696,5685,9483,7584,14081,31816,10117,38539,11100
und,Beng,und_Beng,Undetermined,ে,Mc,BENGALI VOWEL SIGN E,161683,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2738,19595,16224,8212,3242,4284,6542,8988,16798,8187,52733,14140
und,Beng,und_Beng,Undetermined,ব,Lo,BENGALI LETTER BA,154552,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1861,14290,12113,5817,3110,6925,12027,15434,25349,8964,38851,9811
und,Beng,und_Beng,Undetermined,ক,Lo,BENGALI LETTER KA,151787,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1553,11975,10102,4866,2601,5773,6086,8301,26926,14458,49405,9741
und,Beng,und_Beng,Undetermined,স,Lo,BENGALI LETTER SA,128216,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1053,9249,7368,4057,3026,4514,7343,9852,21720,9700,41243,9091
und,Beng,und_Beng,Undetermined,ত,Lo,BENGALI LETTER TA,127844,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1844,14095,11928,5722,1640,3615,6606,10003,20756,9115,34112,8408
und,Beng,und_Beng,Undetermined,প,Lo,BENGALI LETTER PA,126775,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1506,11550,9775,4690,2017,3437,8914,10790,16817,9353,38656,9270
und,Beng,und_Beng,Undetermined,ল,Lo,BENGALI LETTER LA,124230,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1219,8190,6932,3374,2891,5829,5318,8354,28007,10203,36151,7762
und,Beng,und_Beng,Undetermined,.,Po,FULL STOP,113812,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",592,8715,5866,4632,5936,2868,33764,7536,3163,17634,21663,1443
und,Beng,und_Beng,Undetermined,ু,Mn,BENGALI VOWEL SIGN U,104536,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1005,7740,6543,3148,3219,5838,6386,9099,19153,8366,27600,6439
und,Beng,und_Beng,Undetermined,য,Lo,BENGALI LETTER YA,97099,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",524,3960,3395,1613,1763,3991,6996,10004,17446,6908,31102,9397
und,Beng,und_Beng,Undetermined,5,Nd,DIGIT FIVE,95038,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",4,0,0,0,256,1394,20866,5077,18046,19839,25589,3967
und,Beng,und_Beng,Undetermined,দ,Lo,BENGALI LETTER DA,90424,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",174,1325,1131,543,2912,6716,6736,8808,20629,7861,27127,6462
und,Beng,und_Beng,Undetermined,",",Po,COMMA,89575,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",7,45,46,24,358,3365,26120,10855,7820,17444,20782,2709
und,Beng,und_Beng,Undetermined,1,Nd,DIGIT ONE,84471,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",5,0,0,0,356,1454,17402,6639,15875,17404,22109,3227
und,Beng,und_Beng,Undetermined,়,Mn,BENGALI SIGN NUKTA,77976,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",516,3945,3385,1605,1961,4183,7700,10182,11034,4868,21867,6730
und,Beng,und_Beng,Undetermined,জ,Lo,BENGALI LETTER JA,75616,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",843,6430,5447,2615,2377,5657,3695,5127,16786,3802,17701,5136
und,Beng,und_Beng,Undetermined,9,Nd,DIGIT NINE,71672,8,"2017,2018,2019,2020,2021,2022,2023,2024",0,0,0,0,502,1097,12086,3651,16201,12778,20412,4945
und,Beng,und_Beng,Undetermined,2,Nd,DIGIT TWO,63050,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",8,0,0,0,160,1208,14386,6081,11912,12423,15099,1773
und,Beng,und_Beng,Undetermined,হ,Lo,BENGALI LETTER HA,55494,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",341,2620,2205,1067,1938,4014,4482,7034,11691,3177,12738,4187
und,Beng,und_Beng,Undetermined,গ,Lo,BENGALI LETTER GA,53973,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",349,2680,2282,1102,922,2614,3181,5441,9641,5145,16542,4074
und,Beng,und_Beng,Undetermined,ো,Mc,BENGALI VOWEL SIGN O,53774,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",554,4265,3615,1735,1311,2646,2270,4420,8695,3527,16307,4429
und,Beng,und_Beng,Undetermined,ী,Mc,BENGALI VOWEL SIGN II,50651,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",346,2650,2260,1082,942,1814,2187,3978,8599,4011,18765,4017
