iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2015_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
und,Ethi,und_Ethi,Undetermined, ,Zs,SPACE,365914,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1422,4365,3330,2856,7998,10415,30578,20299,71035,103873,62220,47523
und,Ethi,und_Ethi,Undetermined,|,Sm,VERTICAL LINE,36279,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",192,0,0,0,2534,1490,2071,1651,6760,11794,6027,3760
und,Ethi,und_Ethi,Undetermined,o,Ll,LATIN SMALL LETTER O,20539,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",33,45,54,36,207,278,856,724,4013,7008,4026,3259
und,Ethi,und_Ethi,Undetermined,i,Ll,LATIN SMALL LETTER I,19151,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",34,60,72,48,250,380,853,655,3854,6260,3791,2894
und,Ethi,und_Ethi,Undetermined,e,Ll,LATIN SMALL LETTER E,18646,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",32,30,36,24,251,427,911,588,3570,6245,3620,2912
und,Ethi,und_Ethi,Undetermined,፲,No,ETHIOPIC NUMBER TEN,15822,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",321,4815,2898,2892,1544,1212,681,205,545,382,278,49
und,Ethi,und_Ethi,Undetermined,t,Ll,LATIN SMALL LETTER T,13711,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",25,15,18,12,188,338,699,568,2727,4437,2712,1972
und,Ethi,und_Ethi,Undetermined,c,Ll,LATIN SMALL LETTER C,12639,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",13,45,54,36,128,205,534,219,2340,4456,2530,2079
und,Ethi,und_Ethi,Undetermined,a,Ll,LATIN SMALL LETTER A,11958,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",20,0,0,0,199,405,548,396,2636,3723,2277,1754
und,Ethi,und_Ethi,Undetermined,ን,Lo,ETHIOPIC SYLLABLE NE,10750,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",165,2460,1485,1479,564,792,843,643,966,530,512,311
und,Ethi,und_Ethi,Undetermined,፳,No,ETHIOPIC NUMBER TWENTY,10425,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",219,3285,1980,1974,883,749,359,109,330,236,255,46
und,Ethi,und_Ethi,Undetermined,(,Ps,LEFT PARENTHESIS,9194,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",189,2670,1647,1617,611,615,280,76,500,480,294,215
