iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2015_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
und,Knda,und_Knda,Undetermined, ,Zs,SPACE,786391,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2999,163694,134762,101974,123923,50736,41207,94403,36924,24702,10377,690
und,Knda,und_Knda,Undetermined,|,Sm,VERTICAL LINE,230651,11,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",820,68056,56686,39605,43080,12578,800,2219,3612,2666,529,0
und,Knda,und_Knda,Undetermined,೨,Nd,KANNADA DIGIT TWO,204998,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",294,47772,39810,27874,29886,9776,6114,30292,6108,3119,3315,638
und,Knda,und_Knda,Undetermined,೧,Nd,KANNADA DIGIT ONE,179971,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",312,34752,28960,20279,22740,8659,8912,39401,7948,3363,4001,644
und,Knda,und_Knda,Undetermined,ಸ,Lo,KANNADA LETTER SA,164266,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",338,47625,39709,28014,29357,8902,2096,2332,2314,2308,1105,166
und,Knda,und_Knda,Undetermined,ಿ,Mn,KANNADA VOWEL SIGN I,148439,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",432,42159,35326,25090,25111,8400,1530,3526,2365,2166,1901,433
und,Knda,und_Knda,Undetermined,೩,Nd,KANNADA DIGIT THREE,112794,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",215,22764,18970,13286,14399,5168,4624,23095,4615,2438,2665,555
und,Knda,und_Knda,Undetermined,ಮ,Lo,KANNADA LETTER MA,90910,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",198,24575,20516,14567,16312,4784,1891,1592,2366,3035,941,133
und,Knda,und_Knda,Undetermined,a,Ll,LATIN SMALL LETTER A,87088,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",106,23805,19336,14081,14285,4748,1491,2324,3101,2010,1681,120
und,Knda,und_Knda,Undetermined,ರ,Lo,KANNADA LETTER RA,84564,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",354,21483,18068,12872,14091,5034,2369,2628,3114,2774,1527,250
und,Knda,und_Knda,Undetermined,ಪ,Lo,KANNADA LETTER PA,81626,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",187,22210,18503,13133,14105,4616,1776,2098,1858,1963,1012,165
und,Knda,und_Knda,Undetermined,ನ,Lo,KANNADA LETTER NA,81374,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",210,21253,17764,12599,14089,4503,2014,1842,2336,3078,1503,183
und,Knda,und_Knda,Undetermined,ದ,Lo,KANNADA LETTER DA,78769,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",208,21207,17672,12530,13572,4425,1701,1875,2213,2131,1093,142
und,Knda,und_Knda,Undetermined,ಗ,Lo,KANNADA LETTER GA,78759,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",206,21235,17717,12560,13269,4660,1646,2361,2055,1799,1109,142
und,Knda,und_Knda,Undetermined,೦,Nd,KANNADA DIGIT ZERO,46824,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",13,24,65,21,1852,1579,5478,28913,5256,1594,1742,287
und,Knda,und_Knda,Undetermined,i,Ll,LATIN SMALL LETTER I,45325,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",83,12039,9725,7037,7231,2736,959,1282,1822,1340,971,100
und,Knda,und_Knda,Undetermined,ಠ,Lo,KANNADA LETTER TTHA,44721,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2174,218,170,4227,6836,5886,12939,1533,9777,562,381,18
und,Knda,und_Knda,Undetermined,n,Ll,LATIN SMALL LETTER N,38422,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",90,9460,7663,5725,5863,2030,603,1739,2112,1692,1338,107
und,Knda,und_Knda,Undetermined,್,Mn,KANNADA SIGN VIRAMA,37775,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",188,1229,1120,788,1064,2445,5335,8058,7253,5487,4496,312
und,Knda,und_Knda,Undetermined,೪,Nd,KANNADA DIGIT FOUR,34297,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",23,24,20,21,964,1126,3795,19219,3942,2202,2467,494
und,Knda,und_Knda,Undetermined,h,Ll,LATIN SMALL LETTER H,32838,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",39,9078,7379,5355,5420,1798,743,681,1246,623,441,35
und,Knda,und_Knda,Undetermined,r,Ll,LATIN SMALL LETTER R,32145,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",69,8214,6603,4820,5097,2062,1311,771,1405,1033,678,82
und,Knda,und_Knda,Undetermined,೫,Nd,KANNADA DIGIT FIVE,31309,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",23,12,10,14,918,1062,3500,17677,3589,1927,2277,300
und,Knda,und_Knda,Undetermined,೬,Nd,KANNADA DIGIT SIX,28868,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",23,24,20,21,896,1030,3171,16177,3326,1818,2084,278
und,Knda,und_Knda,Undetermined,೭,Nd,KANNADA DIGIT SEVEN,26952,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",16,12,10,14,886,1021,3011,14942,3071,1741,1953,275
und,Knda,und_Knda,Undetermined,ಾ,Mc,KANNADA VOWEL SIGN AA,26232,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",81,1485,1401,1947,5834,1317,2762,1566,2583,5508,1528,220
und,Knda,und_Knda,Undetermined,೮,Nd,KANNADA DIGIT EIGHT,25952,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",13,24,20,21,877,996,2980,14380,2961,1670,1734,276
und,Knda,und_Knda,Undetermined,೯,Nd,KANNADA DIGIT NINE,25634,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",13,24,20,21,879,946,2979,14136,2942,1653,1743,278
und,Knda,und_Knda,Undetermined,e,Ll,LATIN SMALL LETTER E,21588,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",105,4353,3541,2893,3173,1609,1367,898,1297,1248,999,105
und,Knda,und_Knda,Undetermined,s,Ll,LATIN SMALL LETTER S,20979,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",88,4130,3375,2793,3168,1367,1329,1088,1738,1083,729,91
und,Knda,und_Knda,Undetermined,t,Ll,LATIN SMALL LETTER T,20014,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",101,4329,3488,2773,3026,1411,586,1119,1155,1125,801,100
und,Knda,und_Knda,Undetermined,ā,Ll,LATIN SMALL LETTER A WITH MACRON,19403,10,"2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",0,6245,5050,3535,3535,1010,6,8,6,4,4,0
