iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
und,Lina,und_Lina,Undetermined, ,Zs,SPACE,300873,8,"2017,2018,2019,2020,2021,2022,2023,2024",3890,7085,25027,172176,35006,2240,30204,25245
und,Lina,und_Lina,Undetermined,|,Sm,VERTICAL LINE,32510,8,"2017,2018,2019,2020,2021,2022,2023,2024",24,12,536,20404,4652,1432,3968,1482
und,Lina,und_Lina,Undetermined,-,Pd,HYPHEN-MINUS,31762,8,"2017,2018,2019,2020,2021,2022,2023,2024",3402,7228,19570,1457,38,7,34,26
und,Lina,und_Lina,Undetermined,e,Ll,LATIN SMALL LETTER E,20266,8,"2017,2018,2019,2020,2021,2022,2023,2024",118,188,820,12389,2563,213,2162,1813
und,Lina,und_Lina,Undetermined,o,Ll,LATIN SMALL LETTER O,14688,8,"2017,2018,2019,2020,2021,2022,2023,2024",58,78,497,9119,1878,155,1565,1338
und,Lina,und_Lina,Undetermined,i,Ll,LATIN SMALL LETTER I,14458,8,"2017,2018,2019,2020,2021,2022,2023,2024",82,107,600,8832,1826,141,1572,1298
und,Lina,und_Lina,Undetermined,n,Ll,LATIN SMALL LETTER N,14450,8,"2017,2018,2019,2020,2021,2022,2023,2024",82,125,607,8808,1822,149,1562,1295
und,Lina,und_Lina,Undetermined,a,Ll,LATIN SMALL LETTER A,13183,8,"2017,2018,2019,2020,2021,2022,2023,2024",98,125,576,8053,1682,138,1343,1168
und,Lina,und_Lina,Undetermined,r,Ll,LATIN SMALL LETTER R,12971,8,"2017,2018,2019,2020,2021,2022,2023,2024",74,107,525,7943,1630,119,1400,1173
und,Lina,und_Lina,Undetermined,0,Nd,DIGIT ZERO,9871,8,"2017,2018,2019,2020,2021,2022,2023,2024",454,950,2813,3332,859,150,497,816
und,Lina,und_Lina,Undetermined,A,Lu,LATIN CAPITAL LETTER A,7829,8,"2017,2018,2019,2020,2021,2022,2023,2024",34,69,302,4786,986,80,837,735
und,Lina,und_Lina,Undetermined,c,Ll,LATIN SMALL LETTER C,7805,8,"2017,2018,2019,2020,2021,2022,2023,2024",52,68,280,4763,998,85,848,711
und,Lina,und_Lina,Undetermined,t,Ll,LATIN SMALL LETTER T,7245,8,"2017,2018,2019,2020,2021,2022,2023,2024",52,72,327,4414,917,77,747,639
und,Lina,und_Lina,Undetermined,d,Ll,LATIN SMALL LETTER D,6511,8,"2017,2018,2019,2020,2021,2022,2023,2024",36,56,236,3988,831,67,706,591
und,Lina,und_Lina,Undetermined,1,Nd,DIGIT ONE,6399,8,"2017,2018,2019,2020,2021,2022,2023,2024",238,501,1492,2466,587,119,369,627
und,Lina,und_Lina,Undetermined,L,Lu,LATIN CAPITAL LETTER L,6339,8,"2017,2018,2019,2020,2021,2022,2023,2024",20,35,175,3959,807,64,696,583
